========================================
General Configuration:
	Wighting: MoCo
	Architecture: HPS
	Rep_Grad: False
	Multi_Input: True
	Seed: 0
	Device: cuda:0
MoCo Configuration:
	weighting: MoCo
	beta_moco: 1.0
	gamma_moco: 0.1
	rho_moco: 0.01
	moco_gn: none
Optimizer Configuration:
	optim: adam
	lr: 0.01
	weight_decay: 1e-05
========================================
Total Params: 11487901
Trainable Params: 11487901
Non-trainable Params: 0
========================================
LOG FORMAT | amazon_LOSS Acc | dslr_LOSS Acc | webcam_LOSS Acc | TIME
Epoch: 0000 | TRAIN: 3.8256 0.0415 | 3.3140 0.1094 | 3.2662 0.1262 | Time: 40.8442 | VAL: 6.3141 0.0471 | 7.8904 0.0562 | 3.6213 0.1745 | Time: 2.4597 | TEST: 6.2162 0.0513 | 7.7190 0.0656 | 3.5145 0.1611 | Time: 2.8862
Epoch: 0001 | TRAIN: 3.6964 0.0895 | 2.3591 0.2806 | 2.3363 0.3023 | Time: 40.0190 | VAL: 4.9959 0.0598 | 7.9627 0.0787 | 2.6563 0.2483 | Time: 2.4648 | TEST: 5.0324 0.0632 | 9.5026 0.1230 | 2.6646 0.2889 | Time: 2.8717
Epoch: 0002 | TRAIN: 3.4907 0.1256 | 1.8075 0.4429 | 1.9952 0.3876 | Time: 40.4572 | VAL: 4.7367 0.0562 | 5.5801 0.0899 | 2.3645 0.3423 | Time: 2.4588 | TEST: 4.8266 0.0598 | 4.8000 0.1475 | 2.4207 0.3222 | Time: 3.1384
Epoch: 0003 | TRAIN: 3.3698 0.1707 | 1.3139 0.5751 | 1.6310 0.4790 | Time: 39.9832 | VAL: 5.6219 0.0761 | 5.5050 0.1236 | 1.9705 0.4094 | Time: 2.4086 | TEST: 5.7141 0.0564 | 4.8113 0.1967 | 2.0863 0.3556 | Time: 2.8738
Epoch: 0004 | TRAIN: 3.2207 0.2055 | 0.9679 0.6821 | 1.2944 0.5823 | Time: 40.5038 | VAL: 5.7518 0.0598 | 5.5334 0.1798 | 2.4991 0.3221 | Time: 2.4927 | TEST: 5.4827 0.0632 | 4.9826 0.2869 | 2.6489 0.3278 | Time: 2.8986
Epoch: 0005 | TRAIN: 2.8774 0.2386 | 0.6372 0.7849 | 1.0138 0.6569 | Time: 41.2843 | VAL: 5.1560 0.0688 | 5.1706 0.2472 | 1.5210 0.5772 | Time: 2.4487 | TEST: 5.0347 0.0632 | 4.9406 0.2951 | 1.7704 0.4833 | Time: 2.8960
Epoch: 0006 | TRAIN: 2.6773 0.2674 | 0.3583 0.8918 | 0.6831 0.7632 | Time: 41.1229 | VAL: 4.4444 0.1014 | 4.8092 0.2022 | 1.3846 0.6040 | Time: 2.4710 | TEST: 4.3378 0.1026 | 4.5092 0.2295 | 1.5577 0.5444 | Time: 3.1081
Epoch: 0007 | TRAIN: 2.4390 0.3329 | 0.2267 0.9327 | 0.4646 0.8444 | Time: 40.4760 | VAL: 4.9580 0.0833 | 5.5073 0.2022 | 2.0682 0.4765 | Time: 2.5326 | TEST: 4.8214 0.0735 | 4.9495 0.2951 | 2.2837 0.4444 | Time: 2.9162
Epoch: 0008 | TRAIN: 2.3466 0.3564 | 0.1620 0.9507 | 0.4019 0.8666 | Time: 40.4054 | VAL: 5.6738 0.0707 | 4.2173 0.2921 | 1.1440 0.6913 | Time: 2.4170 | TEST: 5.6365 0.0786 | 3.9570 0.3443 | 1.5546 0.5889 | Time: 3.0100
Epoch: 0009 | TRAIN: 2.2182 0.3792 | 0.1156 0.9718 | 0.2901 0.9032 | Time: 40.1448 | VAL: 7.1476 0.0634 | 5.4524 0.2584 | 1.7664 0.5772 | Time: 2.4162 | TEST: 7.2029 0.0752 | 4.8686 0.3689 | 2.0184 0.5000 | Time: 2.8682
Epoch: 0010 | TRAIN: 2.1510 0.4026 | 0.0748 0.9832 | 0.1743 0.9471 | Time: 40.3030 | VAL: 4.4763 0.1359 | 4.6904 0.2809 | 0.6732 0.8255 | Time: 2.5808 | TEST: 4.4087 0.1504 | 4.4126 0.4180 | 1.0745 0.7444 | Time: 2.8952
