========================================
General Configuration:
	Wighting: MoCo
	Architecture: HPS
	Rep_Grad: False
	Multi_Input: True
	Seed: 0
	Device: cuda:0
MoCo Configuration:
	weighting: MoCo
	beta_moco: 1.0
	gamma_moco: 0.1
	rho_moco: 1.0
	moco_gn: none
Optimizer Configuration:
	optim: adam
	lr: 0.01
	weight_decay: 1e-05
========================================
Total Params: 11487901
Trainable Params: 11487901
Non-trainable Params: 0
========================================
LOG FORMAT | amazon_LOSS Acc | dslr_LOSS Acc | webcam_LOSS Acc | TIME
Epoch: 0000 | TRAIN: 3.8516 0.0463 | 3.4553 0.0962 | 3.3288 0.1250 | Time: 40.6212 | VAL: 7.4564 0.0598 | 6.2609 0.0562 | 3.6467 0.1409 | Time: 2.4239 | TEST: 5.8982 0.0530 | 5.9315 0.0656 | 3.3813 0.1722 | Time: 2.9033
Epoch: 0001 | TRAIN: 3.5272 0.1130 | 2.4553 0.2566 | 2.3822 0.2861 | Time: 39.9146 | VAL: 6.0093 0.0652 | 5.9714 0.1124 | 2.2993 0.2483 | Time: 2.4371 | TEST: 6.8939 0.0735 | 5.9784 0.1393 | 2.3024 0.3222 | Time: 2.9012
Epoch: 0002 | TRAIN: 3.3189 0.1550 | 1.7782 0.4567 | 1.8641 0.4135 | Time: 39.9708 | VAL: 5.4089 0.0652 | 5.3879 0.1124 | 2.3637 0.3557 | Time: 2.4137 | TEST: 5.5305 0.0530 | 5.0591 0.1475 | 2.6377 0.2889 | Time: 2.8723
Epoch: 0003 | TRAIN: 3.1520 0.1929 | 1.1353 0.6244 | 1.3521 0.5619 | Time: 39.8257 | VAL: 5.4234 0.0471 | 4.8731 0.1573 | 1.8625 0.4295 | Time: 2.4203 | TEST: 5.6903 0.0530 | 4.2891 0.1967 | 1.9018 0.4389 | Time: 2.9241
Epoch: 0004 | TRAIN: 3.0830 0.2344 | 0.7371 0.7530 | 1.0163 0.6749 | Time: 39.7637 | VAL: 5.5433 0.0906 | 5.9570 0.1573 | 1.4439 0.5638 | Time: 2.4336 | TEST: 5.3643 0.1145 | 5.5578 0.1721 | 1.5655 0.5611 | Time: 2.8689
Epoch: 0005 | TRAIN: 2.8229 0.2470 | 0.5075 0.8305 | 0.7923 0.7266 | Time: 39.7311 | VAL: 5.3457 0.1232 | 4.9106 0.2247 | 1.6865 0.5034 | Time: 2.4385 | TEST: 5.3550 0.1316 | 4.2567 0.3115 | 1.8211 0.4778 | Time: 2.8673
Epoch: 0006 | TRAIN: 2.5999 0.3083 | 0.3202 0.9002 | 0.5569 0.8209 | Time: 39.8047 | VAL: 4.9454 0.0761 | 4.5159 0.1798 | 1.2723 0.6174 | Time: 2.4225 | TEST: 4.8925 0.1009 | 3.9581 0.3361 | 1.4611 0.6167 | Time: 2.8699
Epoch: 0007 | TRAIN: 2.4418 0.3456 | 0.2028 0.9399 | 0.3780 0.8774 | Time: 39.8665 | VAL: 5.0753 0.0888 | 5.3052 0.2584 | 1.0493 0.6913 | Time: 2.4402 | TEST: 5.0865 0.1060 | 4.7347 0.2869 | 1.2890 0.6778 | Time: 2.8875
Epoch: 0008 | TRAIN: 2.2872 0.3510 | 0.1587 0.9549 | 0.3126 0.9008 | Time: 40.0833 | VAL: 5.4632 0.0978 | 4.8304 0.1910 | 0.9295 0.7584 | Time: 2.4228 | TEST: 5.4501 0.0974 | 4.4123 0.2295 | 1.0089 0.7278 | Time: 2.8761
Epoch: 0009 | TRAIN: 2.1441 0.3876 | 0.1091 0.9766 | 0.2081 0.9381 | Time: 40.0605 | VAL: 5.3265 0.1395 | 4.8669 0.2809 | 0.8730 0.7584 | Time: 2.4358 | TEST: 5.2883 0.1282 | 4.6238 0.2459 | 1.1331 0.7389 | Time: 2.8699
Epoch: 0010 | TRAIN: 1.9957 0.4297 | 0.0772 0.9844 | 0.1460 0.9555 | Time: 39.7955 | VAL: 4.9864 0.1322 | 5.2818 0.2360 | 0.9383 0.7785 | Time: 2.3850 | TEST: 4.9002 0.1487 | 4.8368 0.2869 | 1.3842 0.7111 | Time: 2.8262
