========================================
General Configuration:
	Wighting: MoCo
	Architecture: HPS
	Rep_Grad: False
	Multi_Input: True
	Seed: 0
	Device: cuda:0
MoCo Configuration:
	weighting: MoCo
	beta_moco: 0.1
	gamma_moco: 1.0
	rho_moco: 0.1
	moco_gn: none
Optimizer Configuration:
	optim: adam
	lr: 0.01
	weight_decay: 1e-05
========================================
Total Params: 11487901
Trainable Params: 11487901
Non-trainable Params: 0
========================================
LOG FORMAT | amazon_LOSS Acc | dslr_LOSS Acc | webcam_LOSS Acc | TIME
Epoch: 0000 | TRAIN: 3.7710 0.0391 | 3.5082 0.0787 | 3.5857 0.0673 | Time: 40.4982 | VAL: 48.6455 0.0326 | 79.0027 0.0449 | 19.0637 0.0336 | Time: 2.4266 | TEST: 49.3947 0.0308 | 74.0423 0.0492 | 23.7741 0.0444 | Time: 2.8991
Epoch: 0001 | TRAIN: 3.6372 0.0517 | 3.1529 0.1016 | 3.2099 0.1094 | Time: 40.0281 | VAL: 19.6393 0.0362 | 3.8757 0.1011 | 3.1015 0.0940 | Time: 2.4505 | TEST: 15.4138 0.0274 | 3.2724 0.0820 | 3.0713 0.0944 | Time: 2.8988
Epoch: 0002 | TRAIN: 3.5391 0.0601 | 2.9715 0.1448 | 2.9424 0.1418 | Time: 39.8311 | VAL: 5.3835 0.0634 | 3.9388 0.0674 | 2.9778 0.1678 | Time: 2.4263 | TEST: 4.1125 0.0632 | 3.8025 0.0574 | 2.9247 0.1778 | Time: 2.8982
Epoch: 0003 | TRAIN: 3.3657 0.0859 | 2.6874 0.1923 | 2.6850 0.1935 | Time: 39.8934 | VAL: 4.4528 0.0399 | 4.2543 0.0674 | 3.1229 0.1141 | Time: 2.4623 | TEST: 4.4324 0.0291 | 4.2123 0.0574 | 3.0551 0.1500 | Time: 2.8909
Epoch: 0004 | TRAIN: 3.3509 0.0859 | 2.8947 0.1532 | 2.7696 0.1707 | Time: 39.7698 | VAL: 3.4835 0.0978 | 3.9094 0.1348 | 3.1988 0.1275 | Time: 2.4325 | TEST: 3.4148 0.0940 | 4.1602 0.1148 | 3.0682 0.1333 | Time: 2.9225
Epoch: 0005 | TRAIN: 3.2618 0.0859 | 2.6697 0.2025 | 2.7681 0.1815 | Time: 39.6747 | VAL: 3.4712 0.0435 | 3.9839 0.1011 | 2.6408 0.2349 | Time: 2.4090 | TEST: 3.4999 0.0530 | 3.9994 0.0902 | 2.6259 0.2222 | Time: 2.8529
Epoch: 0006 | TRAIN: 3.1643 0.1130 | 2.3112 0.2704 | 2.3941 0.2566 | Time: 39.7510 | VAL: 3.3072 0.0851 | 6.3559 0.0562 | 2.9344 0.1879 | Time: 2.4419 | TEST: 3.3094 0.1214 | 6.2511 0.0738 | 2.9515 0.1722 | Time: 2.8889
Epoch: 0007 | TRAIN: 3.1814 0.1172 | 2.4858 0.2536 | 2.4744 0.2548 | Time: 39.9478 | VAL: 3.5188 0.0761 | 4.8714 0.0787 | 3.8891 0.1409 | Time: 2.4366 | TEST: 3.4670 0.0769 | 4.6572 0.0574 | 3.7275 0.1556 | Time: 2.9495
Epoch: 0008 | TRAIN: 3.1214 0.1292 | 2.5127 0.2380 | 2.5893 0.2296 | Time: 39.7734 | VAL: 3.5796 0.0525 | 4.4073 0.1011 | 2.9388 0.1611 | Time: 2.4464 | TEST: 3.5068 0.0718 | 4.5245 0.0902 | 2.9607 0.1333 | Time: 2.8908
Epoch: 0009 | TRAIN: 3.0732 0.1286 | 2.2625 0.2849 | 2.3708 0.2716 | Time: 39.6848 | VAL: 3.2320 0.1359 | 5.8972 0.0787 | 2.8143 0.2282 | Time: 2.4423 | TEST: 3.2615 0.1265 | 5.5502 0.0984 | 2.7581 0.2444 | Time: 2.9193
Epoch: 0010 | TRAIN: 3.0533 0.1454 | 2.0593 0.3341 | 2.1415 0.3293 | Time: 39.7711 | VAL: 3.3988 0.1141 | 5.5650 0.0674 | 2.3040 0.3423 | Time: 2.4497 | TEST: 3.3722 0.1162 | 5.4484 0.1148 | 2.3625 0.2667 | Time: 2.8674
Epoch: 0011 | TRAIN: 3.0295 0.1508 | 2.0928 0.3329 | 2.0671 0.3528 | Time: 39.7179 | VAL: 3.3644 0.0888 | 5.6635 0.0899 | 2.2545 0.2617 | Time: 2.4066 | TEST: 3.3083 0.0923 | 5.6329 0.0820 | 2.3746 0.2333 | Time: 2.9246
Epoch: 0012 | TRAIN: 2.9976 0.1785 | 2.2127 0.3179 | 2.2362 0.3173 | Time: 39.6695 | VAL: 3.1951 0.1232 | 5.4740 0.0899 | 2.8275 0.1812 | Time: 2.4374 | TEST: 3.2307 0.1111 | 5.5699 0.0492 | 2.9964 0.1500 | Time: 2.8828
Epoch: 0013 | TRAIN: 2.9900 0.1508 | 2.1082 0.3389 | 2.2990 0.3083 | Time: 39.8661 | VAL: 3.2965 0.0906 | 5.1475 0.1685 | 2.2812 0.3691 | Time: 2.4749 | TEST: 3.2485 0.1026 | 5.0424 0.1557 | 2.2453 0.3333 | Time: 2.9092
