========================================
General Configuration:
	Wighting: MoCo
	Architecture: HPS
	Rep_Grad: False
	Multi_Input: True
	Seed: 0
	Device: cuda:0
MoCo Configuration:
	weighting: MoCo
	beta_moco: 0.1
	gamma_moco: 1.0
	rho_moco: 1.0
	moco_gn: none
Optimizer Configuration:
	optim: adam
	lr: 0.01
	weight_decay: 1e-05
========================================
Total Params: 11487901
Trainable Params: 11487901
Non-trainable Params: 0
========================================
LOG FORMAT | amazon_LOSS Acc | dslr_LOSS Acc | webcam_LOSS Acc | TIME
Epoch: 0000 | TRAIN: 3.7350 0.0367 | 3.5122 0.0799 | 3.6608 0.0625 | Time: 40.4519 | VAL: 18.4096 0.0453 | 17.5786 0.0337 | 4.4173 0.0805 | Time: 2.4238 | TEST: 16.3473 0.0496 | 21.0697 0.0328 | 4.6024 0.0611 | Time: 2.8695
Epoch: 0001 | TRAIN: 3.6616 0.0541 | 3.2022 0.1178 | 3.1584 0.1196 | Time: 39.7441 | VAL: 27.3368 0.0471 | 5.6316 0.0674 | 6.7323 0.1208 | Time: 2.4125 | TEST: 22.1026 0.0479 | 5.1216 0.0328 | 6.6964 0.1389 | Time: 2.8743
Epoch: 0002 | TRAIN: 3.5530 0.0547 | 2.8849 0.1562 | 2.8758 0.1562 | Time: 39.8559 | VAL: 4.7371 0.0344 | 6.1830 0.0674 | 3.2193 0.1074 | Time: 2.4404 | TEST: 4.4415 0.0496 | 5.8623 0.0492 | 3.2673 0.1222 | Time: 2.8713
Epoch: 0003 | TRAIN: 3.3770 0.0613 | 2.7854 0.1629 | 2.7898 0.1629 | Time: 39.7988 | VAL: 3.4787 0.0743 | 6.4283 0.0449 | 3.1015 0.1342 | Time: 2.4108 | TEST: 3.3786 0.0838 | 5.9171 0.0246 | 2.9930 0.1667 | Time: 2.8791
Epoch: 0004 | TRAIN: 3.3185 0.0811 | 2.6726 0.1809 | 2.6676 0.1821 | Time: 39.9153 | VAL: 3.4031 0.0761 | 4.1203 0.0674 | 2.5540 0.2282 | Time: 2.4111 | TEST: 3.4209 0.0769 | 4.0045 0.0820 | 2.5338 0.2333 | Time: 2.8600
Epoch: 0005 | TRAIN: 3.2778 0.0986 | 2.4209 0.2404 | 2.4282 0.2422 | Time: 39.7197 | VAL: 3.5314 0.0634 | 3.9524 0.1461 | 2.7700 0.2081 | Time: 2.4246 | TEST: 3.4621 0.0718 | 4.2316 0.1066 | 2.7571 0.2056 | Time: 2.8529
Epoch: 0006 | TRAIN: 3.2266 0.1196 | 2.2835 0.2710 | 2.3326 0.2608 | Time: 39.8151 | VAL: 3.8057 0.0652 | 5.7450 0.0787 | 2.7477 0.2081 | Time: 2.4293 | TEST: 3.8063 0.0667 | 5.4167 0.0492 | 2.7526 0.2222 | Time: 2.8688
Epoch: 0007 | TRAIN: 3.1580 0.1250 | 2.2203 0.2879 | 2.2506 0.2939 | Time: 39.7473 | VAL: 4.2552 0.0688 | 6.4800 0.1236 | 2.7135 0.2081 | Time: 2.4838 | TEST: 4.1977 0.0872 | 6.0849 0.1148 | 2.5809 0.2167 | Time: 2.8594
Epoch: 0008 | TRAIN: 3.1289 0.1394 | 2.0920 0.3167 | 2.1844 0.2921 | Time: 40.0307 | VAL: 3.4121 0.0815 | 4.7699 0.0787 | 2.4567 0.2483 | Time: 2.5041 | TEST: 3.3084 0.0803 | 4.8797 0.0738 | 2.4090 0.2389 | Time: 2.8940
Epoch: 0009 | TRAIN: 3.0959 0.1388 | 2.0385 0.3233 | 2.0465 0.3395 | Time: 39.8297 | VAL: 3.9884 0.0815 | 9.1250 0.1124 | 2.9726 0.1879 | Time: 2.4139 | TEST: 3.9972 0.0838 | 8.4601 0.0820 | 3.2051 0.1667 | Time: 2.8876
Epoch: 0010 | TRAIN: 3.0477 0.1496 | 1.9564 0.3498 | 2.0469 0.3347 | Time: 39.8732 | VAL: 3.9562 0.0888 | 6.2168 0.0674 | 2.6590 0.2215 | Time: 2.4977 | TEST: 3.9013 0.0803 | 5.9675 0.1066 | 2.7923 0.1778 | Time: 2.8856
Epoch: 0011 | TRAIN: 3.0378 0.1526 | 2.0230 0.3419 | 2.0186 0.3347 | Time: 39.8954 | VAL: 4.2442 0.0598 | 5.9154 0.0899 | 2.8202 0.1611 | Time: 2.4552 | TEST: 4.1358 0.0581 | 5.8759 0.0984 | 2.9354 0.2111 | Time: 2.8750
