========================================
General Configuration:
	Wighting: MoCo
	Architecture: HPS
	Rep_Grad: False
	Multi_Input: True
	Seed: 0
	Device: cuda:0
MoCo Configuration:
	weighting: MoCo
	beta_moco: 1.0
	gamma_moco: 0.1
	rho_moco: 0.1
	moco_gn: none
Optimizer Configuration:
	optim: adam
	lr: 0.01
	weight_decay: 1e-05
========================================
Total Params: 11487901
Trainable Params: 11487901
Non-trainable Params: 0
========================================
LOG FORMAT | amazon_LOSS Acc | dslr_LOSS Acc | webcam_LOSS Acc | TIME
Epoch: 0000 | TRAIN: 3.8881 0.0391 | 3.5343 0.0769 | 3.5296 0.0751 | Time: 40.6275 | VAL: 74.0335 0.0254 | 54.2222 0.0562 | 17.3294 0.0940 | Time: 2.4485 | TEST: 61.5412 0.0239 | 56.8862 0.0492 | 16.3226 0.0778 | Time: 2.8620
Epoch: 0001 | TRAIN: 3.7307 0.0625 | 2.9222 0.1538 | 2.8821 0.1677 | Time: 39.8342 | VAL: 6.7485 0.0417 | 8.2596 0.0562 | 3.3220 0.1946 | Time: 2.4120 | TEST: 5.2559 0.0393 | 7.2565 0.0656 | 3.2961 0.1778 | Time: 2.8712
Epoch: 0002 | TRAIN: 3.6977 0.0980 | 2.4066 0.2638 | 2.4553 0.2470 | Time: 39.9101 | VAL: 4.7180 0.0435 | 6.1538 0.0674 | 2.4489 0.2819 | Time: 2.4646 | TEST: 4.7688 0.0444 | 5.5671 0.0984 | 2.3457 0.2389 | Time: 2.9228
Epoch: 0003 | TRAIN: 3.4839 0.1190 | 1.9694 0.3594 | 2.0598 0.3624 | Time: 39.9571 | VAL: 7.0338 0.0435 | 5.5658 0.1348 | 1.9730 0.3758 | Time: 2.4665 | TEST: 6.5120 0.0462 | 4.9442 0.1885 | 2.0109 0.3667 | Time: 2.9102
Epoch: 0004 | TRAIN: 3.2758 0.1815 | 1.2777 0.5841 | 1.5009 0.5312 | Time: 39.8966 | VAL: 4.0611 0.1286 | 7.6007 0.1461 | 2.6229 0.3221 | Time: 2.4525 | TEST: 4.2659 0.1248 | 7.1501 0.1721 | 2.6974 0.2556 | Time: 2.9096
Epoch: 0005 | TRAIN: 3.0049 0.2200 | 0.7987 0.7308 | 1.1036 0.6370 | Time: 39.9182 | VAL: 4.8101 0.1159 | 6.8787 0.1348 | 1.4421 0.5839 | Time: 2.4780 | TEST: 4.6100 0.1094 | 6.3927 0.2213 | 1.6508 0.5000 | Time: 2.8737
Epoch: 0006 | TRAIN: 2.7986 0.2434 | 0.4517 0.8534 | 0.7454 0.7518 | Time: 40.0309 | VAL: 4.5508 0.1449 | 7.7010 0.2135 | 1.2075 0.6376 | Time: 2.5048 | TEST: 4.4263 0.1419 | 7.1035 0.2705 | 1.4240 0.5944 | Time: 2.9038
Epoch: 0007 | TRAIN: 2.6296 0.3047 | 0.2831 0.9147 | 0.5381 0.8203 | Time: 39.8648 | VAL: 3.7279 0.1504 | 6.0999 0.1910 | 0.9830 0.7248 | Time: 2.4470 | TEST: 3.6006 0.1607 | 5.5301 0.3033 | 1.2950 0.6611 | Time: 2.9130
Epoch: 0008 | TRAIN: 2.3801 0.3492 | 0.1537 0.9615 | 0.3361 0.8936 | Time: 40.0418 | VAL: 3.7868 0.2101 | 6.7752 0.1573 | 0.9789 0.6980 | Time: 2.4593 | TEST: 3.8015 0.2137 | 6.5115 0.2787 | 1.3968 0.6556 | Time: 2.9019
Epoch: 0009 | TRAIN: 2.2423 0.3750 | 0.1165 0.9657 | 0.2416 0.9231 | Time: 40.0281 | VAL: 5.2615 0.1558 | 6.5314 0.2809 | 1.0285 0.7181 | Time: 2.4112 | TEST: 5.2456 0.1573 | 6.0183 0.2951 | 1.4663 0.6611 | Time: 2.8587
Epoch: 0010 | TRAIN: 2.1449 0.3966 | 0.0616 0.9886 | 0.1761 0.9465 | Time: 40.3715 | VAL: 4.9276 0.1649 | 5.4122 0.3258 | 0.9402 0.7517 | Time: 2.4245 | TEST: 4.8593 0.1521 | 4.9331 0.3197 | 1.4022 0.6944 | Time: 2.9618
Epoch: 0011 | TRAIN: 1.9888 0.4345 | 0.0374 0.9940 | 0.1091 0.9675 | Time: 39.8985 | VAL: 3.9641 0.2192 | 5.8409 0.2697 | 0.9834 0.7651 | Time: 2.4160 | TEST: 3.8458 0.2274 | 5.6357 0.3115 | 1.4614 0.6944 | Time: 2.8699
Epoch: 0012 | TRAIN: 1.9311 0.4393 | 0.0346 0.9928 | 0.1007 0.9718 | Time: 40.1949 | VAL: 4.5069 0.1739 | 6.6518 0.2135 | 0.9620 0.7718 | Time: 2.4962 | TEST: 4.5307 0.1744 | 5.7500 0.3525 | 1.5073 0.7000 | Time: 2.8954
Epoch: 0013 | TRAIN: 1.9278 0.4513 | 0.0231 0.9964 | 0.0831 0.9778 | Time: 39.9362 | VAL: 5.0308 0.1902 | 6.7706 0.1573 | 0.7355 0.8255 | Time: 2.4061 | TEST: 4.8558 0.2068 | 6.3138 0.3033 | 1.3457 0.7500 | Time: 2.8584
Epoch: 0014 | TRAIN: 1.7740 0.4886 | 0.0193 0.9970 | 0.0634 0.9874 | Time: 39.7178 | VAL: 4.8535 0.1866 | 5.3446 0.2584 | 0.9472 0.7987 | Time: 2.4067 | TEST: 4.8321 0.2017 | 5.1260 0.3607 | 1.4731 0.7500 | Time: 2.9106
Epoch: 0015 | TRAIN: 1.7795 0.4784 | 0.0201 0.9958 | 0.0558 0.9892 | Time: 39.5195 | VAL: 5.6615 0.2156 | 5.0260 0.2921 | 0.9245 0.7919 | Time: 2.3774 | TEST: 5.6057 0.2188 | 4.9529 0.3361 | 1.3713 0.7444 | Time: 2.8055
Epoch: 0016 | TRAIN: 1.7488 0.4976 | 0.0229 0.9958 | 0.0823 0.9760 | Time: 39.5131 | VAL: 5.2590 0.1866 | 5.6529 0.2921 | 1.6413 0.6846 | Time: 2.3792 | TEST: 5.1045 0.2068 | 5.5173 0.3033 | 1.6708 0.6333 | Time: 2.8411
Epoch: 0017 | TRAIN: 1.8746 0.4706 | 0.0448 0.9874 | 0.1010 0.9681 | Time: 39.7912 | VAL: 4.4960 0.2283 | 6.5008 0.3146 | 0.8732 0.8054 | Time: 2.4339 | TEST: 4.3146 0.2410 | 5.8419 0.3689 | 1.4379 0.7111 | Time: 2.9078
Epoch: 0018 | TRAIN: 2.0208 0.4381 | 0.1258 0.9615 | 0.1979 0.9453 | Time: 39.4527 | VAL: 7.3225 0.1377 | 9.1810 0.1685 | 2.0368 0.6242 | Time: 2.4216 | TEST: 7.1550 0.1709 | 8.3965 0.2787 | 2.3473 0.5500 | Time: 2.8944
Epoch: 0019 | TRAIN: 2.0248 0.4309 | 0.0948 0.9754 | 0.1580 0.9507 | Time: 39.5972 | VAL: 5.2508 0.2029 | 5.7011 0.2360 | 1.2148 0.7315 | Time: 2.4272 | TEST: 5.2635 0.1880 | 5.0195 0.3607 | 1.6542 0.6778 | Time: 2.9507
Epoch: 0020 | TRAIN: 1.7995 0.4778 | 0.0205 0.9982 | 0.0545 0.9844 | Time: 39.5157 | VAL: 5.3621 0.2210 | 4.7000 0.2584 | 0.8505 0.8188 | Time: 2.4282 | TEST: 5.3464 0.2325 | 4.7239 0.3361 | 1.4216 0.7389 | Time: 2.8555
Epoch: 0021 | TRAIN: 1.5812 0.5252 | 0.0083 0.9994 | 0.0520 0.9862 | Time: 40.0928 | VAL: 5.0445 0.2029 | 4.5740 0.2921 | 0.9126 0.7987 | Time: 2.4434 | TEST: 4.8127 0.2410 | 4.4634 0.3689 | 1.3853 0.7611 | Time: 2.9184
Epoch: 0022 | TRAIN: 1.4686 0.5565 | 0.0156 0.9970 | 0.0282 0.9922 | Time: 39.9189 | VAL: 4.9805 0.2228 | 4.1223 0.3483 | 0.9006 0.8188 | Time: 2.4461 | TEST: 4.8079 0.2308 | 3.9989 0.4344 | 1.3564 0.7611 | Time: 2.9065
Epoch: 0023 | TRAIN: 1.5682 0.5433 | 0.0127 0.9970 | 0.0260 0.9916 | Time: 40.1345 | VAL: 5.2013 0.2283 | 5.5957 0.2584 | 0.9387 0.8255 | Time: 2.4448 | TEST: 5.0527 0.2530 | 5.6795 0.3361 | 1.3359 0.7778 | Time: 2.9309
Epoch: 0024 | TRAIN: 1.5688 0.5463 | 0.0281 0.9916 | 0.0476 0.9880 | Time: 40.0144 | VAL: 6.5947 0.1667 | 6.0170 0.3258 | 1.1579 0.7383 | Time: 2.4422 | TEST: 6.5700 0.1812 | 5.5773 0.3443 | 1.8338 0.6889 | Time: 2.9030
Epoch: 0025 | TRAIN: 1.6013 0.5312 | 0.0507 0.9844 | 0.0714 0.9796 | Time: 40.0125 | VAL: 5.6537 0.1902 | 7.2172 0.2472 | 1.1364 0.7248 | Time: 2.4485 | TEST: 5.4973 0.2222 | 6.6558 0.2951 | 1.8111 0.6722 | Time: 2.9202
Epoch: 0026 | TRAIN: 1.7559 0.4928 | 0.0284 0.9934 | 0.0609 0.9850 | Time: 40.0022 | VAL: 4.2396 0.2500 | 4.7224 0.3258 | 0.7918 0.8255 | Time: 2.4165 | TEST: 3.9893 0.2701 | 4.2428 0.3361 | 1.1122 0.7556 | Time: 2.8721
