========================================
General Configuration:
	Wighting: MoCo
	Architecture: HPS
	Rep_Grad: False
	Multi_Input: True
	Seed: 0
	Device: cuda:0
MoCo Configuration:
	weighting: MoCo
	beta_moco: 1.0
	gamma_moco: 1.0
	rho_moco: 0.01
	moco_gn: none
Optimizer Configuration:
	optim: adam
	lr: 0.001
	weight_decay: 1e-05
========================================
Total Params: 11487901
Trainable Params: 11487901
Non-trainable Params: 0
========================================
LOG FORMAT | amazon_LOSS Acc | dslr_LOSS Acc | webcam_LOSS Acc | TIME
Epoch: 0000 | TRAIN: 2.1203 0.4645 | 1.5757 0.6989 | 2.0160 0.5264 | Time: 43.8028 | VAL: 1.5637 0.6178 | 0.8282 0.8764 | 0.8828 0.8121 | Time: 2.4846 | TEST: 1.5229 0.6222 | 0.9789 0.8033 | 0.8995 0.8333 | Time: 2.9787
Epoch: 0001 | TRAIN: 1.1876 0.7175 | 0.2804 0.9904 | 0.3294 0.9585 | Time: 43.2816 | VAL: 1.1619 0.7120 | 0.3031 0.9775 | 0.2756 0.9597 | Time: 2.5698 | TEST: 1.1342 0.7162 | 0.3048 0.9508 | 0.3211 0.9500 | Time: 3.3644
Epoch: 0002 | TRAIN: 0.7490 0.8143 | 0.0313 1.0000 | 0.0684 0.9988 | Time: 44.0967 | VAL: 1.0111 0.7464 | 0.1119 0.9775 | 0.1548 0.9866 | Time: 2.5031 | TEST: 0.9792 0.7453 | 0.1793 0.9508 | 0.1627 0.9611 | Time: 3.0031
Epoch: 0003 | TRAIN: 0.5724 0.8606 | 0.0103 1.0000 | 0.0268 1.0000 | Time: 43.3290 | VAL: 0.9516 0.7518 | 0.0682 0.9888 | 0.1161 0.9933 | Time: 2.5341 | TEST: 0.8958 0.7658 | 0.1442 0.9590 | 0.1208 0.9667 | Time: 3.2266
Epoch: 0004 | TRAIN: 0.5097 0.8732 | 0.0070 1.0000 | 0.0171 1.0000 | Time: 43.3870 | VAL: 0.9150 0.7645 | 0.0681 0.9888 | 0.0984 0.9866 | Time: 2.6399 | TEST: 0.8641 0.7641 | 0.1441 0.9590 | 0.1019 0.9722 | Time: 3.0621
Epoch: 0005 | TRAIN: 0.4562 0.8828 | 0.0056 1.0000 | 0.0123 1.0000 | Time: 43.2313 | VAL: 0.8886 0.7681 | 0.0526 0.9888 | 0.0839 0.9866 | Time: 2.6153 | TEST: 0.8398 0.7692 | 0.1290 0.9590 | 0.0921 0.9722 | Time: 3.0302
Epoch: 0006 | TRAIN: 0.4160 0.8882 | 0.0045 1.0000 | 0.0096 1.0000 | Time: 43.6415 | VAL: 0.8687 0.7754 | 0.0478 1.0000 | 0.0720 0.9933 | Time: 2.5055 | TEST: 0.8288 0.7726 | 0.1412 0.9590 | 0.0760 0.9778 | Time: 3.0274
Epoch: 0007 | TRAIN: 0.3908 0.8984 | 0.0038 1.0000 | 0.0071 1.0000 | Time: 43.3872 | VAL: 0.8625 0.7736 | 0.0465 1.0000 | 0.0686 0.9866 | Time: 2.5363 | TEST: 0.8168 0.7761 | 0.1331 0.9590 | 0.0727 0.9722 | Time: 3.0632
Epoch: 0008 | TRAIN: 0.3487 0.9129 | 0.0033 1.0000 | 0.0058 1.0000 | Time: 44.1645 | VAL: 0.8652 0.7790 | 0.0432 1.0000 | 0.0655 0.9933 | Time: 2.5740 | TEST: 0.8185 0.7795 | 0.1291 0.9590 | 0.0674 0.9833 | Time: 3.0248
Epoch: 0009 | TRAIN: 0.3287 0.9171 | 0.0030 1.0000 | 0.0046 1.0000 | Time: 44.0107 | VAL: 0.8477 0.7754 | 0.0406 1.0000 | 0.0629 0.9933 | Time: 2.5351 | TEST: 0.7978 0.7778 | 0.1313 0.9590 | 0.0697 0.9778 | Time: 2.9732
Epoch: 0010 | TRAIN: 0.2907 0.9255 | 0.0026 1.0000 | 0.0043 1.0000 | Time: 43.5508 | VAL: 0.8414 0.7736 | 0.0335 1.0000 | 0.0624 0.9933 | Time: 2.6466 | TEST: 0.7881 0.7812 | 0.1252 0.9590 | 0.0701 0.9722 | Time: 3.0065
Epoch: 0011 | TRAIN: 0.2641 0.9339 | 0.0024 1.0000 | 0.0036 1.0000 | Time: 43.4510 | VAL: 0.8425 0.7826 | 0.0328 1.0000 | 0.0554 0.9933 | Time: 2.5308 | TEST: 0.7906 0.7880 | 0.1178 0.9590 | 0.0660 0.9778 | Time: 3.0578
