========================================
General Configuration:
	Wighting: MoCo
	Architecture: HPS
	Rep_Grad: False
	Multi_Input: True
	Seed: 0
	Device: cuda:0
MoCo Configuration:
	weighting: MoCo
	beta_moco: 1.0
	gamma_moco: 1.0
	rho_moco: 1.0
	moco_gn: none
Optimizer Configuration:
	optim: adam
	lr: 0.001
	weight_decay: 1e-05
========================================
Total Params: 11487901
Trainable Params: 11487901
Non-trainable Params: 0
========================================
LOG FORMAT | amazon_LOSS Acc | dslr_LOSS Acc | webcam_LOSS Acc | TIME
Epoch: 0000 | TRAIN: 2.1203 0.4669 | 1.5778 0.6977 | 2.0174 0.5270 | Time: 40.3510 | VAL: 1.5508 0.6322 | 0.8250 0.8876 | 0.8769 0.8188 | Time: 2.4563 | TEST: 1.5093 0.6359 | 0.9778 0.8115 | 0.8921 0.8278 | Time: 2.8681
Epoch: 0001 | TRAIN: 1.1811 0.7151 | 0.2937 0.9868 | 0.3304 0.9585 | Time: 39.9589 | VAL: 1.1920 0.7065 | 0.4262 0.9551 | 0.3948 0.9262 | Time: 2.4236 | TEST: 1.1859 0.6803 | 0.4063 0.9508 | 0.4131 0.9389 | Time: 2.8812
Epoch: 0002 | TRAIN: 0.7769 0.8077 | 0.0555 1.0000 | 0.0865 0.9952 | Time: 39.7832 | VAL: 1.0695 0.7246 | 0.3211 0.9326 | 0.2314 0.9463 | Time: 2.4520 | TEST: 0.9806 0.7504 | 0.3205 0.9180 | 0.2648 0.9444 | Time: 2.8948
Epoch: 0003 | TRAIN: 0.5250 0.8732 | 0.0216 1.0000 | 0.0334 1.0000 | Time: 39.9869 | VAL: 0.9624 0.7500 | 0.1611 0.9663 | 0.1919 0.9866 | Time: 2.4086 | TEST: 0.9098 0.7744 | 0.2342 0.9344 | 0.1745 0.9500 | Time: 2.8668
Epoch: 0004 | TRAIN: 0.3486 0.9159 | 0.0153 1.0000 | 0.0212 1.0000 | Time: 39.7732 | VAL: 0.9213 0.7572 | 0.1702 0.9663 | 0.1668 0.9799 | Time: 2.4238 | TEST: 0.8404 0.7863 | 0.2584 0.9344 | 0.1933 0.9556 | Time: 2.9077
Epoch: 0005 | TRAIN: 0.3012 0.9291 | 0.0124 1.0000 | 0.0190 1.0000 | Time: 39.8461 | VAL: 0.9348 0.7736 | 0.1697 0.9551 | 0.1515 0.9530 | Time: 2.4264 | TEST: 0.8110 0.8034 | 0.2530 0.9180 | 0.1447 0.9667 | Time: 2.9536
Epoch: 0006 | TRAIN: 0.2332 0.9441 | 0.0106 1.0000 | 0.0151 1.0000 | Time: 40.5170 | VAL: 0.9101 0.7663 | 0.1712 0.9775 | 0.1665 0.9597 | Time: 2.4508 | TEST: 0.7751 0.7966 | 0.2239 0.9426 | 0.1430 0.9778 | Time: 2.9036
Epoch: 0007 | TRAIN: 0.2093 0.9519 | 0.0103 1.0000 | 0.0137 0.9994 | Time: 40.1998 | VAL: 0.9555 0.7645 | 0.1608 0.9551 | 0.1854 0.9530 | Time: 2.4278 | TEST: 0.8429 0.7744 | 0.1877 0.9344 | 0.2137 0.9389 | Time: 2.8780
Epoch: 0008 | TRAIN: 0.2053 0.9495 | 0.0107 0.9994 | 0.0131 1.0000 | Time: 40.3493 | VAL: 0.9852 0.7464 | 0.1823 0.9551 | 0.1909 0.9530 | Time: 2.4494 | TEST: 0.9370 0.7590 | 0.1650 0.9508 | 0.1748 0.9611 | Time: 2.9238
Epoch: 0009 | TRAIN: 0.1486 0.9621 | 0.0069 1.0000 | 0.0087 1.0000 | Time: 40.3013 | VAL: 1.0205 0.7373 | 0.1725 0.9551 | 0.1582 0.9732 | Time: 2.4505 | TEST: 0.9137 0.7573 | 0.2017 0.9344 | 0.1295 0.9778 | Time: 2.9136
Epoch: 0010 | TRAIN: 0.1672 0.9555 | 0.0082 0.9994 | 0.0112 1.0000 | Time: 40.3582 | VAL: 1.1228 0.7355 | 0.1833 0.9551 | 0.2554 0.9530 | Time: 2.4396 | TEST: 1.0155 0.7419 | 0.2771 0.9180 | 0.1809 0.9333 | Time: 2.9206
