========================================
General Configuration:
	Wighting: MoCo
	Architecture: HPS
	Rep_Grad: False
	Multi_Input: True
	Seed: 0
	Device: cuda:0
MoCo Configuration:
	weighting: MoCo
	beta_moco: 1.0
	gamma_moco: 0.1
	rho_moco: 1.0
	moco_gn: none
Optimizer Configuration:
	optim: adam
	lr: 0.0001
	weight_decay: 1e-05
========================================
Total Params: 11487901
Trainable Params: 11487901
Non-trainable Params: 0
========================================
LOG FORMAT | amazon_LOSS Acc | dslr_LOSS Acc | webcam_LOSS Acc | TIME
Epoch: 0000 | TRAIN: 2.9774 0.2422 | 2.3959 0.5216 | 2.1934 0.5559 | Time: 40.4996 | VAL: 2.5046 0.5507 | 1.8196 0.8090 | 1.4341 0.8255 | Time: 2.4072 | TEST: 2.5029 0.5624 | 1.8967 0.8033 | 1.4967 0.8389 | Time: 2.8662
Epoch: 0001 | TRAIN: 2.1550 0.5944 | 1.0885 0.9627 | 0.7902 0.9603 | Time: 40.0555 | VAL: 1.9780 0.7065 | 1.1619 0.9775 | 0.9363 0.9195 | Time: 2.4493 | TEST: 1.9770 0.6974 | 1.2726 0.9098 | 1.0078 0.9278 | Time: 2.8919
Epoch: 0002 | TRAIN: 1.5866 0.7422 | 0.5680 0.9970 | 0.3768 0.9904 | Time: 39.9799 | VAL: 1.5805 0.7518 | 0.8623 0.9888 | 0.6947 0.9664 | Time: 2.4497 | TEST: 1.5912 0.7453 | 0.9827 0.9344 | 0.8009 0.9556 | Time: 2.9041
Epoch: 0003 | TRAIN: 1.2017 0.8275 | 0.3144 1.0000 | 0.2250 1.0000 | Time: 39.7690 | VAL: 1.3905 0.7717 | 0.6756 0.9888 | 0.5652 0.9799 | Time: 2.4506 | TEST: 1.4001 0.7658 | 0.7980 0.9344 | 0.6542 0.9556 | Time: 2.8747
Epoch: 0004 | TRAIN: 0.9991 0.8666 | 0.1899 1.0000 | 0.1414 1.0000 | Time: 39.8243 | VAL: 1.3289 0.7862 | 0.5476 1.0000 | 0.4912 0.9732 | Time: 2.4130 | TEST: 1.3362 0.7829 | 0.6623 0.9344 | 0.5784 0.9556 | Time: 2.8886
Epoch: 0005 | TRAIN: 0.8756 0.8900 | 0.1253 1.0000 | 0.1033 1.0000 | Time: 39.7916 | VAL: 1.2786 0.8043 | 0.4771 1.0000 | 0.4411 0.9799 | Time: 2.4189 | TEST: 1.2935 0.8000 | 0.5858 0.9344 | 0.5229 0.9556 | Time: 2.8645
Epoch: 0006 | TRAIN: 0.8008 0.9002 | 0.0896 1.0000 | 0.0785 1.0000 | Time: 39.7100 | VAL: 1.2340 0.8080 | 0.4345 1.0000 | 0.4124 0.9799 | Time: 2.4026 | TEST: 1.2502 0.8034 | 0.5420 0.9344 | 0.4891 0.9556 | Time: 2.9059
Epoch: 0007 | TRAIN: 0.7503 0.9026 | 0.0704 1.0000 | 0.0658 1.0000 | Time: 39.7445 | VAL: 1.1959 0.8225 | 0.4033 1.0000 | 0.3744 0.9799 | Time: 2.4069 | TEST: 1.2115 0.8017 | 0.5109 0.9426 | 0.4520 0.9611 | Time: 2.8681
Epoch: 0008 | TRAIN: 0.6676 0.9231 | 0.0562 1.0000 | 0.0544 1.0000 | Time: 39.8506 | VAL: 1.1744 0.8207 | 0.3786 1.0000 | 0.3650 0.9799 | Time: 2.3983 | TEST: 1.1888 0.8034 | 0.4817 0.9508 | 0.4427 0.9667 | Time: 2.8501
Epoch: 0009 | TRAIN: 0.6381 0.9225 | 0.0481 1.0000 | 0.0477 1.0000 | Time: 39.7731 | VAL: 1.1373 0.8225 | 0.3821 1.0000 | 0.3516 0.9799 | Time: 2.4156 | TEST: 1.1549 0.8051 | 0.4870 0.9426 | 0.4305 0.9611 | Time: 2.8557
Epoch: 0010 | TRAIN: 0.5844 0.9351 | 0.0408 1.0000 | 0.0423 1.0000 | Time: 39.7799 | VAL: 1.1066 0.8261 | 0.3463 1.0000 | 0.3439 0.9799 | Time: 2.4221 | TEST: 1.1216 0.8051 | 0.4596 0.9426 | 0.4167 0.9611 | Time: 2.8755
Epoch: 0011 | TRAIN: 0.5293 0.9435 | 0.0370 1.0000 | 0.0360 1.0000 | Time: 39.7369 | VAL: 1.0809 0.8225 | 0.3441 1.0000 | 0.3306 0.9799 | Time: 2.4201 | TEST: 1.0974 0.8103 | 0.4516 0.9508 | 0.4050 0.9611 | Time: 2.8758
Epoch: 0012 | TRAIN: 0.4852 0.9507 | 0.0330 1.0000 | 0.0320 1.0000 | Time: 39.7585 | VAL: 1.0743 0.8315 | 0.3370 1.0000 | 0.3260 0.9799 | Time: 2.4153 | TEST: 1.0886 0.8154 | 0.4429 0.9426 | 0.4010 0.9611 | Time: 2.8652
