========================================
General Configuration:
	Wighting: MoDo
	Architecture: HPS
	Rep_Grad: False
	Multi_Input: True
	Seed: 0
	Device: cuda:0
MoDo Configuration:
	weighting: MoDo
	gamma_modo: 0.01
	rho_modo: 0.01
	modo_gn: none
Optimizer Configuration:
	optim: adam
	lr: 0.01
	weight_decay: 1e-05
========================================
Total Params: 11487901
Trainable Params: 11487901
Non-trainable Params: 0
========================================
LOG FORMAT | amazon_LOSS Acc | dslr_LOSS Acc | webcam_LOSS Acc | TIME
Epoch: 0000 | TRAIN: 3.6670 0.0610 | 3.0613 0.1343 | 3.1402 0.1250 | Time: 117.3609 | VAL: 3.8821 0.0471 | 3.2091 0.1573 | 2.4233 0.2148 | Time: 2.3761 | TEST: 3.8387 0.0376 | 3.3451 0.1393 | 2.4490 0.2556 | Time: 2.8240
Epoch: 0001 | TRAIN: 3.2921 0.1280 | 2.0161 0.3570 | 2.1305 0.3359 | Time: 116.8787 | VAL: 3.4425 0.1141 | 4.4718 0.1573 | 2.1642 0.4161 | Time: 2.4066 | TEST: 3.4943 0.1043 | 4.2771 0.1557 | 2.1152 0.3944 | Time: 2.8381
Epoch: 0002 | TRAIN: 2.8477 0.2254 | 1.0074 0.6761 | 1.3490 0.5568 | Time: 116.7926 | VAL: 3.3927 0.1268 | 5.1960 0.2360 | 1.5955 0.5302 | Time: 2.3846 | TEST: 3.4769 0.1333 | 5.2958 0.1557 | 1.8784 0.4889 | Time: 2.8268
Epoch: 0003 | TRAIN: 2.4315 0.3218 | 0.4497 0.8603 | 0.7791 0.7440 | Time: 117.3707 | VAL: 4.4029 0.1322 | 5.2828 0.2135 | 1.8485 0.4832 | Time: 2.3825 | TEST: 4.5596 0.0957 | 5.2251 0.2131 | 2.2130 0.4333 | Time: 2.8372
Epoch: 0004 | TRAIN: 2.1652 0.3825 | 0.2673 0.9216 | 0.5130 0.8305 | Time: 117.3516 | VAL: 4.6061 0.1649 | 5.0799 0.2697 | 1.3051 0.6846 | Time: 2.4104 | TEST: 4.7999 0.1521 | 4.7113 0.3115 | 1.5878 0.5833 | Time: 2.8261
Epoch: 0005 | TRAIN: 1.8656 0.4624 | 0.1622 0.9564 | 0.3246 0.9008 | Time: 116.9573 | VAL: 3.5844 0.2228 | 3.7373 0.2921 | 1.0082 0.6980 | Time: 2.4183 | TEST: 3.6880 0.1983 | 3.6987 0.3115 | 1.2985 0.6556 | Time: 2.8642
Epoch: 0006 | TRAIN: 1.6148 0.5316 | 0.1002 0.9754 | 0.2723 0.9168 | Time: 117.1471 | VAL: 4.0827 0.1975 | 4.4884 0.3034 | 1.1745 0.6376 | Time: 2.3627 | TEST: 4.1345 0.1932 | 3.8023 0.3607 | 1.3990 0.6389 | Time: 2.7969
Epoch: 0007 | TRAIN: 1.3588 0.5986 | 0.0796 0.9781 | 0.2025 0.9396 | Time: 117.1705 | VAL: 3.6304 0.2717 | 2.7143 0.4157 | 1.1060 0.7181 | Time: 2.3786 | TEST: 3.7318 0.2325 | 3.1073 0.3934 | 1.1591 0.6944 | Time: 2.8175
Epoch: 0008 | TRAIN: 1.1013 0.6719 | 0.0498 0.9883 | 0.1605 0.9459 | Time: 117.1792 | VAL: 5.4712 0.1540 | 2.6050 0.4270 | 0.8838 0.7584 | Time: 2.3889 | TEST: 5.5438 0.1385 | 2.5087 0.4426 | 1.1237 0.7000 | Time: 2.9743
Epoch: 0009 | TRAIN: 1.0002 0.7028 | 0.0552 0.9853 | 0.1294 0.9552 | Time: 117.4690 | VAL: 3.8458 0.2446 | 3.2053 0.4607 | 0.7051 0.7852 | Time: 2.4049 | TEST: 3.9867 0.2256 | 3.1673 0.4836 | 1.1764 0.7333 | Time: 2.8606
Epoch: 0010 | TRAIN: 0.7988 0.7533 | 0.0352 0.9913 | 0.1173 0.9642 | Time: 117.0561 | VAL: 3.6301 0.2953 | 3.8294 0.4157 | 0.6862 0.8054 | Time: 2.3779 | TEST: 3.5869 0.3299 | 4.0137 0.4180 | 1.0417 0.7278 | Time: 2.8730
Epoch: 0011 | TRAIN: 0.6712 0.7906 | 0.0346 0.9910 | 0.0878 0.9736 | Time: 117.0293 | VAL: 4.5787 0.2754 | 4.0569 0.3708 | 0.8033 0.7919 | Time: 2.4202 | TEST: 4.6180 0.2701 | 3.6799 0.5000 | 1.1389 0.7722 | Time: 2.8737
