========================================
General Configuration:
	Wighting: MoDo
	Architecture: HPS
	Rep_Grad: False
	Multi_Input: True
	Seed: 0
	Device: cuda:0
MoDo Configuration:
	weighting: MoDo
	gamma_modo: 0.1
	rho_modo: 1.0
	modo_gn: none
Optimizer Configuration:
	optim: adam
	lr: 0.01
	weight_decay: 1e-05
========================================
Total Params: 11487901
Trainable Params: 11487901
Non-trainable Params: 0
========================================
LOG FORMAT | amazon_LOSS Acc | dslr_LOSS Acc | webcam_LOSS Acc | TIME
Epoch: 0000 | TRAIN: 3.7658 0.0712 | 3.2257 0.1244 | 3.3465 0.0998 | Time: 130.5903 | VAL: 5.3238 0.0634 | 4.1204 0.1236 | 2.9967 0.1611 | Time: 2.9419 | TEST: 4.1802 0.0650 | 4.4356 0.0738 | 2.9591 0.1444 | Time: 3.0383
Epoch: 0001 | TRAIN: 3.4351 0.1313 | 2.2326 0.3287 | 2.3060 0.3038 | Time: 129.6219 | VAL: 3.9266 0.1033 | 4.1505 0.1910 | 2.0279 0.3624 | Time: 2.4958 | TEST: 3.8526 0.1128 | 4.2527 0.1311 | 2.1238 0.3556 | Time: 2.9122
Epoch: 0002 | TRAIN: 2.9021 0.2070 | 1.2179 0.5983 | 1.4126 0.5312 | Time: 129.1787 | VAL: 2.9078 0.2083 | 4.0815 0.2921 | 1.8357 0.4094 | Time: 2.6072 | TEST: 2.9584 0.2137 | 3.9801 0.3115 | 1.9899 0.4333 | Time: 3.0169
Epoch: 0003 | TRAIN: 2.4935 0.3041 | 0.5254 0.8401 | 0.7745 0.7500 | Time: 130.0418 | VAL: 2.8345 0.2591 | 4.2379 0.3708 | 1.2967 0.6309 | Time: 2.4958 | TEST: 2.9013 0.2359 | 4.1033 0.3279 | 1.5504 0.5944 | Time: 3.0372
Epoch: 0004 | TRAIN: 2.2340 0.3663 | 0.2728 0.9201 | 0.4574 0.8525 | Time: 128.8451 | VAL: 3.3600 0.2355 | 5.8553 0.2921 | 0.8660 0.7584 | Time: 2.4730 | TEST: 3.4603 0.2274 | 5.1747 0.3607 | 1.2882 0.6333 | Time: 3.4864
Epoch: 0005 | TRAIN: 1.9256 0.4321 | 0.1596 0.9546 | 0.2814 0.9165 | Time: 129.3039 | VAL: 4.0445 0.2120 | 2.8075 0.4607 | 0.7554 0.8121 | Time: 3.1535 | TEST: 4.1760 0.1966 | 2.5881 0.4672 | 1.0615 0.7778 | Time: 3.5074
Epoch: 0006 | TRAIN: 1.6753 0.5093 | 0.0720 0.9847 | 0.1465 0.9585 | Time: 128.8531 | VAL: 4.1850 0.2355 | 3.3567 0.4157 | 1.0902 0.6913 | Time: 2.6484 | TEST: 4.2995 0.2120 | 3.0661 0.4098 | 1.3042 0.6556 | Time: 3.0078
Epoch: 0007 | TRAIN: 1.4230 0.5811 | 0.0722 0.9814 | 0.1009 0.9739 | Time: 129.7305 | VAL: 4.9729 0.2228 | 3.4462 0.3820 | 0.8847 0.7987 | Time: 2.7324 | TEST: 5.0863 0.1966 | 2.7546 0.4672 | 1.0384 0.7722 | Time: 2.9836
Epoch: 0008 | TRAIN: 1.2794 0.6109 | 0.0528 0.9889 | 0.0945 0.9736 | Time: 129.2913 | VAL: 3.8622 0.2717 | 3.9743 0.4382 | 0.9274 0.7584 | Time: 2.5638 | TEST: 3.9374 0.2838 | 3.5786 0.5000 | 0.9596 0.7500 | Time: 3.0507
Epoch: 0009 | TRAIN: 1.0660 0.6719 | 0.0584 0.9823 | 0.0770 0.9790 | Time: 129.5550 | VAL: 3.9659 0.2935 | 3.0573 0.4831 | 1.1661 0.7383 | Time: 2.5265 | TEST: 3.8775 0.3111 | 2.5867 0.5082 | 1.1941 0.7389 | Time: 3.1020
Epoch: 0010 | TRAIN: 0.8575 0.7374 | 0.0309 0.9937 | 0.0597 0.9814 | Time: 129.7853 | VAL: 5.9698 0.2409 | 3.0159 0.4382 | 1.1853 0.7517 | Time: 2.9353 | TEST: 6.0890 0.2274 | 2.4806 0.5410 | 1.4325 0.6722 | Time: 3.0895
