========================================
General Configuration:
	Wighting: MoDo
	Architecture: HPS
	Rep_Grad: False
	Multi_Input: True
	Seed: 0
	Device: cuda:0
MoDo Configuration:
	weighting: MoDo
	gamma_modo: 1.0
	rho_modo: 1.0
	modo_gn: none
Optimizer Configuration:
	optim: adam
	lr: 0.01
	weight_decay: 1e-05
========================================
Total Params: 11487901
Trainable Params: 11487901
Non-trainable Params: 0
========================================
LOG FORMAT | amazon_LOSS Acc | dslr_LOSS Acc | webcam_LOSS Acc | TIME
Epoch: 0000 | TRAIN: 3.8465 0.0379 | 3.4949 0.0796 | 3.5879 0.0574 | Time: 117.2990 | VAL: 15.7917 0.0127 | 3.3733 0.0787 | 3.3231 0.0805 | Time: 2.3644 | TEST: 15.4276 0.0171 | 3.3699 0.0738 | 3.2619 0.1000 | Time: 2.8176
Epoch: 0001 | TRAIN: 3.7355 0.0667 | 3.1645 0.1205 | 3.1263 0.1310 | Time: 133.4431 | VAL: 11.9681 0.0308 | 4.1087 0.0562 | 3.5772 0.1946 | Time: 3.2555 | TEST: 10.6890 0.0393 | 4.2105 0.0410 | 3.2886 0.1778 | Time: 3.7942
Epoch: 0002 | TRAIN: 3.4070 0.1112 | 2.4425 0.2437 | 2.5137 0.2308 | Time: 117.2375 | VAL: 3.9042 0.1214 | 5.1512 0.0674 | 2.6381 0.1812 | Time: 2.4133 | TEST: 3.8322 0.1060 | 4.9917 0.0984 | 2.6265 0.2056 | Time: 2.8148
Epoch: 0003 | TRAIN: 2.9897 0.1827 | 1.6163 0.4778 | 1.7915 0.4285 | Time: 131.8576 | VAL: 4.5558 0.0870 | 5.3502 0.1685 | 1.9955 0.4027 | Time: 3.4972 | TEST: 4.5044 0.0889 | 4.7211 0.1639 | 2.2380 0.4111 | Time: 4.0958
Epoch: 0004 | TRAIN: 2.6744 0.2605 | 0.9538 0.6857 | 1.0954 0.6538 | Time: 118.4909 | VAL: 4.2361 0.1286 | 4.1955 0.2135 | 1.2668 0.6242 | Time: 2.4228 | TEST: 4.0786 0.1368 | 4.1657 0.1967 | 1.5480 0.5333 | Time: 2.8635
Epoch: 0005 | TRAIN: 2.4178 0.3287 | 0.6031 0.8056 | 0.7370 0.7629 | Time: 117.5392 | VAL: 4.5030 0.1703 | 5.5684 0.1236 | 1.2808 0.6711 | Time: 2.5047 | TEST: 4.2396 0.1949 | 5.5249 0.1803 | 1.4337 0.6222 | Time: 3.0089
Epoch: 0006 | TRAIN: 2.1333 0.3942 | 0.2818 0.9180 | 0.4481 0.8603 | Time: 134.1645 | VAL: 4.5591 0.2101 | 4.4513 0.2472 | 1.1811 0.6980 | Time: 2.4114 | TEST: 4.4231 0.2325 | 3.9069 0.3197 | 1.2090 0.7000 | Time: 2.9376
Epoch: 0007 | TRAIN: 1.8523 0.4775 | 0.1649 0.9531 | 0.2646 0.9183 | Time: 117.7033 | VAL: 5.2206 0.1812 | 5.0187 0.1685 | 1.0649 0.7315 | Time: 2.4300 | TEST: 5.0606 0.1880 | 4.7070 0.2459 | 1.1466 0.7500 | Time: 2.8630
Epoch: 0008 | TRAIN: 1.6623 0.5141 | 0.1215 0.9684 | 0.1867 0.9426 | Time: 117.3781 | VAL: 5.6957 0.1957 | 4.5101 0.2921 | 1.0226 0.7315 | Time: 2.4490 | TEST: 5.4789 0.1983 | 4.4053 0.3115 | 1.2043 0.7111 | Time: 2.8593
Epoch: 0009 | TRAIN: 1.4252 0.5724 | 0.1010 0.9715 | 0.1456 0.9537 | Time: 117.3291 | VAL: 4.5555 0.2264 | 5.5020 0.3146 | 1.0120 0.7047 | Time: 2.4141 | TEST: 4.3959 0.2650 | 4.9966 0.3852 | 1.2355 0.7389 | Time: 2.8762
Epoch: 0010 | TRAIN: 1.2215 0.6361 | 0.0636 0.9820 | 0.0943 0.9736 | Time: 119.5000 | VAL: 4.0725 0.2935 | 6.7083 0.2584 | 1.3803 0.6980 | Time: 3.3212 | TEST: 3.9564 0.2752 | 6.1437 0.3361 | 1.3714 0.7056 | Time: 4.1582
