========================================
General Configuration:
	Wighting: MoDo
	Architecture: HPS
	Rep_Grad: False
	Multi_Input: True
	Seed: 0
	Device: cuda:0
MoDo Configuration:
	weighting: MoDo
	gamma_modo: 1.0
	rho_modo: 0.1
	modo_gn: none
Optimizer Configuration:
	optim: adam
	lr: 0.0001
	weight_decay: 1e-05
========================================
Total Params: 11487901
Trainable Params: 11487901
Non-trainable Params: 0
========================================
LOG FORMAT | amazon_LOSS Acc | dslr_LOSS Acc | webcam_LOSS Acc | TIME
Epoch: 0000 | TRAIN: 2.4081 0.4600 | 1.7769 0.7350 | 2.1224 0.5712 | Time: 117.1717 | VAL: 1.8380 0.7192 | 1.3031 0.9326 | 1.2260 0.8792 | Time: 2.4103 | TEST: 1.8328 0.7299 | 1.3245 0.8852 | 1.2825 0.9111 | Time: 2.8811
Epoch: 0001 | TRAIN: 1.4594 0.7641 | 0.5148 0.9961 | 0.5275 0.9916 | Time: 116.4879 | VAL: 1.2985 0.7736 | 0.6912 1.0000 | 0.7344 0.9597 | Time: 2.4055 | TEST: 1.3115 0.7897 | 0.7684 0.9344 | 0.8255 0.9556 | Time: 2.8598
Epoch: 0002 | TRAIN: 0.9047 0.8696 | 0.2072 1.0000 | 0.2390 1.0000 | Time: 115.9555 | VAL: 1.1026 0.8152 | 0.4420 1.0000 | 0.5415 0.9799 | Time: 2.3831 | TEST: 1.1259 0.8154 | 0.5469 0.9672 | 0.6217 0.9611 | Time: 2.8209
Epoch: 0003 | TRAIN: 0.6319 0.9252 | 0.1009 1.0000 | 0.1434 1.0000 | Time: 116.2147 | VAL: 0.9526 0.8297 | 0.3911 1.0000 | 0.4572 0.9799 | Time: 2.3853 | TEST: 0.9765 0.8308 | 0.4902 0.9672 | 0.5398 0.9611 | Time: 2.8206
Epoch: 0004 | TRAIN: 0.4486 0.9555 | 0.0701 1.0000 | 0.0925 1.0000 | Time: 116.3875 | VAL: 0.9158 0.8370 | 0.3436 1.0000 | 0.3613 0.9799 | Time: 2.4149 | TEST: 0.9427 0.8393 | 0.4263 0.9754 | 0.4440 0.9722 | Time: 2.8711
Epoch: 0005 | TRAIN: 0.3391 0.9751 | 0.0499 1.0000 | 0.0655 1.0000 | Time: 116.7489 | VAL: 0.8603 0.8424 | 0.3214 1.0000 | 0.3372 0.9732 | Time: 2.3697 | TEST: 0.8785 0.8393 | 0.4212 0.9672 | 0.4122 0.9667 | Time: 2.8167
Epoch: 0006 | TRAIN: 0.2577 0.9850 | 0.0391 1.0000 | 0.0455 1.0000 | Time: 116.9870 | VAL: 0.8468 0.8514 | 0.3054 1.0000 | 0.3157 0.9799 | Time: 2.3797 | TEST: 0.8703 0.8410 | 0.4102 0.9672 | 0.3974 0.9667 | Time: 2.8373
Epoch: 0007 | TRAIN: 0.1835 0.9931 | 0.0331 1.0000 | 0.0383 1.0000 | Time: 116.8472 | VAL: 0.7875 0.8551 | 0.2855 1.0000 | 0.2900 0.9799 | Time: 2.4434 | TEST: 0.8062 0.8427 | 0.3936 0.9754 | 0.3623 0.9667 | Time: 2.8663
Epoch: 0008 | TRAIN: 0.1264 0.9988 | 0.0271 1.0000 | 0.0322 1.0000 | Time: 116.6431 | VAL: 0.7412 0.8569 | 0.3049 1.0000 | 0.2837 0.9799 | Time: 2.3770 | TEST: 0.7558 0.8479 | 0.4037 0.9672 | 0.3572 0.9667 | Time: 2.8112
Epoch: 0009 | TRAIN: 0.0834 1.0000 | 0.0242 1.0000 | 0.0273 1.0000 | Time: 116.6909 | VAL: 0.7179 0.8551 | 0.3081 1.0000 | 0.2760 0.9732 | Time: 2.3658 | TEST: 0.7263 0.8444 | 0.3969 0.9672 | 0.3503 0.9611 | Time: 2.8117
Epoch: 0010 | TRAIN: 0.0598 1.0000 | 0.0209 1.0000 | 0.0236 1.0000 | Time: 116.4890 | VAL: 0.6961 0.8551 | 0.2970 1.0000 | 0.2748 0.9799 | Time: 2.3901 | TEST: 0.7018 0.8444 | 0.3997 0.9672 | 0.3482 0.9611 | Time: 2.8366
