========================================
General Configuration:
	Wighting: MoDo
	Architecture: HPS
	Rep_Grad: False
	Multi_Input: True
	Seed: 0
	Device: cuda:0
MoDo Configuration:
	weighting: MoDo
	gamma_modo: 0.01
	rho_modo: 0.01
	modo_gn: none
Optimizer Configuration:
	optim: adam
	lr: 1e-05
	weight_decay: 1e-05
========================================
Total Params: 11487901
Trainable Params: 11487901
Non-trainable Params: 0
========================================
LOG FORMAT | amazon_LOSS Acc | dslr_LOSS Acc | webcam_LOSS Acc | TIME
Epoch: 0000 | TRAIN: 3.3017 0.1124 | 3.1166 0.1635 | 3.1980 0.1457 | Time: 115.9349 | VAL: 2.9828 0.2880 | 2.8696 0.3371 | 2.9407 0.3221 | Time: 2.3768 | TEST: 2.9467 0.3231 | 2.8782 0.3689 | 2.9461 0.3222 | Time: 2.8140
Epoch: 0001 | TRAIN: 2.7207 0.3591 | 2.3657 0.5610 | 2.4952 0.4751 | Time: 116.7273 | VAL: 2.5469 0.5217 | 2.3541 0.6292 | 2.4232 0.5906 | Time: 2.3545 | TEST: 2.5146 0.5453 | 2.3634 0.6393 | 2.4535 0.6278 | Time: 2.8200
Epoch: 0002 | TRAIN: 2.3357 0.5361 | 1.7782 0.8425 | 1.9772 0.7188 | Time: 116.3665 | VAL: 2.2543 0.6214 | 1.9165 0.8427 | 2.0728 0.7315 | Time: 2.4257 | TEST: 2.2288 0.6410 | 1.9456 0.7869 | 2.1182 0.7722 | Time: 2.8680
Epoch: 0003 | TRAIN: 2.0679 0.6382 | 1.2887 0.9669 | 1.6043 0.8549 | Time: 116.4159 | VAL: 2.0524 0.7011 | 1.6027 0.8876 | 1.8180 0.8188 | Time: 2.3916 | TEST: 2.0346 0.6872 | 1.6468 0.8361 | 1.8763 0.8333 | Time: 2.8512
Epoch: 0004 | TRAIN: 1.8571 0.7034 | 0.9775 0.9910 | 1.3238 0.9285 | Time: 116.6524 | VAL: 1.9082 0.7337 | 1.3735 0.8989 | 1.6044 0.8658 | Time: 2.4209 | TEST: 1.8955 0.7128 | 1.4189 0.8852 | 1.6706 0.8722 | Time: 2.8561
Epoch: 0005 | TRAIN: 1.7112 0.7497 | 0.7276 0.9970 | 1.1032 0.9606 | Time: 116.8475 | VAL: 1.8014 0.7409 | 1.1618 0.9326 | 1.4674 0.9195 | Time: 2.4745 | TEST: 1.7933 0.7350 | 1.2363 0.9180 | 1.5425 0.9111 | Time: 2.8643
Epoch: 0006 | TRAIN: 1.6006 0.7554 | 0.5472 1.0000 | 0.9302 0.9808 | Time: 116.5951 | VAL: 1.7421 0.7536 | 1.0218 0.9663 | 1.3505 0.9195 | Time: 2.4318 | TEST: 1.7377 0.7385 | 1.1007 0.9262 | 1.4320 0.9111 | Time: 2.8974
Epoch: 0007 | TRAIN: 1.5028 0.7870 | 0.4282 1.0000 | 0.8018 0.9919 | Time: 116.8507 | VAL: 1.6595 0.7609 | 0.8942 0.9888 | 1.2428 0.9329 | Time: 2.4173 | TEST: 1.6565 0.7436 | 0.9794 0.9180 | 1.3227 0.9278 | Time: 2.9020
Epoch: 0008 | TRAIN: 1.4179 0.8080 | 0.3357 1.0000 | 0.7068 0.9967 | Time: 116.5190 | VAL: 1.6112 0.7609 | 0.8220 0.9888 | 1.1756 0.9530 | Time: 2.3904 | TEST: 1.6117 0.7641 | 0.9102 0.9262 | 1.2621 0.9333 | Time: 2.8582
Epoch: 0009 | TRAIN: 1.3536 0.8251 | 0.2811 1.0000 | 0.6253 0.9970 | Time: 116.1953 | VAL: 1.5761 0.7754 | 0.7546 0.9888 | 1.0991 0.9530 | Time: 2.3731 | TEST: 1.5719 0.7692 | 0.8390 0.9262 | 1.1898 0.9333 | Time: 2.8386
Epoch: 0010 | TRAIN: 1.3011 0.8287 | 0.2340 1.0000 | 0.5427 0.9988 | Time: 116.6417 | VAL: 1.5591 0.7681 | 0.7097 1.0000 | 1.0533 0.9597 | Time: 2.3815 | TEST: 1.5537 0.7726 | 0.8028 0.9262 | 1.1452 0.9444 | Time: 2.8277
