========================================
General Configuration:
	Wighting: MoDo
	Architecture: HPS
	Rep_Grad: False
	Multi_Input: True
	Seed: 0
	Device: cuda:0
MoDo Configuration:
	weighting: MoDo
	gamma_modo: 0.01
	rho_modo: 1.0
	modo_gn: none
Optimizer Configuration:
	optim: adam
	lr: 1e-05
	weight_decay: 1e-05
========================================
Total Params: 11487901
Trainable Params: 11487901
Non-trainable Params: 0
========================================
LOG FORMAT | amazon_LOSS Acc | dslr_LOSS Acc | webcam_LOSS Acc | TIME
Epoch: 0000 | TRAIN: 3.3030 0.1118 | 3.1150 0.1635 | 3.1963 0.1469 | Time: 117.1710 | VAL: 2.9859 0.2880 | 2.8670 0.3371 | 2.9368 0.3221 | Time: 2.4229 | TEST: 2.9497 0.3179 | 2.8756 0.3689 | 2.9423 0.3222 | Time: 2.8710
Epoch: 0001 | TRAIN: 2.7259 0.3564 | 2.3610 0.5643 | 2.4872 0.4802 | Time: 116.9821 | VAL: 2.5536 0.5236 | 2.3499 0.6404 | 2.4147 0.5973 | Time: 2.4092 | TEST: 2.5212 0.5419 | 2.3598 0.6557 | 2.4449 0.6333 | Time: 2.8484
Epoch: 0002 | TRAIN: 2.3432 0.5343 | 1.7740 0.8438 | 1.9643 0.7248 | Time: 116.6836 | VAL: 2.2621 0.6196 | 1.9145 0.8427 | 2.0608 0.7517 | Time: 2.4911 | TEST: 2.2366 0.6376 | 1.9443 0.7869 | 2.1070 0.7722 | Time: 2.8661
Epoch: 0003 | TRAIN: 2.0767 0.6331 | 1.2874 0.9675 | 1.5874 0.8591 | Time: 117.0162 | VAL: 2.0609 0.6957 | 1.6033 0.8876 | 1.8023 0.8255 | Time: 2.3630 | TEST: 2.0430 0.6872 | 1.6480 0.8361 | 1.8614 0.8333 | Time: 2.8135
Epoch: 0004 | TRAIN: 1.8652 0.7025 | 0.9803 0.9910 | 1.3044 0.9312 | Time: 116.5564 | VAL: 1.9146 0.7337 | 1.3783 0.8989 | 1.5863 0.8658 | Time: 2.4112 | TEST: 1.9021 0.7094 | 1.4244 0.8852 | 1.6539 0.8722 | Time: 2.8797
Epoch: 0005 | TRAIN: 1.7162 0.7461 | 0.7356 0.9970 | 1.0809 0.9618 | Time: 116.7689 | VAL: 1.8039 0.7373 | 1.1717 0.9326 | 1.4457 0.9195 | Time: 2.4171 | TEST: 1.7961 0.7333 | 1.2466 0.9180 | 1.5226 0.9111 | Time: 2.8629
Epoch: 0006 | TRAIN: 1.6006 0.7566 | 0.5596 0.9997 | 0.9038 0.9823 | Time: 116.6286 | VAL: 1.7365 0.7536 | 1.0380 0.9663 | 1.3244 0.9195 | Time: 2.3794 | TEST: 1.7323 0.7402 | 1.1171 0.9262 | 1.4084 0.9111 | Time: 2.8568
Epoch: 0007 | TRAIN: 1.4925 0.7891 | 0.4452 1.0000 | 0.7706 0.9940 | Time: 116.6901 | VAL: 1.6419 0.7627 | 0.9198 0.9888 | 1.2101 0.9329 | Time: 2.3882 | TEST: 1.6392 0.7453 | 1.0047 0.9180 | 1.2930 0.9278 | Time: 2.8233
Epoch: 0008 | TRAIN: 1.3932 0.8113 | 0.3570 1.0000 | 0.6691 0.9976 | Time: 116.8044 | VAL: 1.5801 0.7645 | 0.8585 0.9888 | 1.1342 0.9530 | Time: 2.3895 | TEST: 1.5812 0.7692 | 0.9462 0.9262 | 1.2244 0.9389 | Time: 2.8605
Epoch: 0009 | TRAIN: 1.3131 0.8296 | 0.3066 1.0000 | 0.5783 0.9973 | Time: 117.1248 | VAL: 1.5283 0.7736 | 0.7997 0.9888 | 1.0474 0.9597 | Time: 2.3771 | TEST: 1.5251 0.7726 | 0.8842 0.9262 | 1.1424 0.9444 | Time: 2.8226
Epoch: 0010 | TRAIN: 1.2417 0.8410 | 0.2616 1.0000 | 0.4902 0.9994 | Time: 116.5432 | VAL: 1.4921 0.7699 | 0.7636 1.0000 | 0.9949 0.9530 | Time: 2.3938 | TEST: 1.4877 0.7778 | 0.8578 0.9262 | 1.0913 0.9444 | Time: 2.8393
Epoch: 0011 | TRAIN: 1.1568 0.8627 | 0.2329 1.0000 | 0.4245 0.9997 | Time: 116.8635 | VAL: 1.4325 0.7826 | 0.7351 0.9888 | 0.9229 0.9732 | Time: 2.4206 | TEST: 1.4361 0.7897 | 0.8289 0.9344 | 1.0235 0.9556 | Time: 2.8789
Epoch: 0012 | TRAIN: 1.0955 0.8732 | 0.2066 1.0000 | 0.3621 0.9994 | Time: 117.2784 | VAL: 1.3835 0.7917 | 0.7096 0.9888 | 0.8715 0.9732 | Time: 2.3974 | TEST: 1.3877 0.7897 | 0.8054 0.9344 | 0.9760 0.9556 | Time: 2.8453
Epoch: 0013 | TRAIN: 1.0296 0.8861 | 0.1848 1.0000 | 0.3282 1.0000 | Time: 116.7809 | VAL: 1.3383 0.7917 | 0.7038 0.9888 | 0.8380 0.9732 | Time: 2.3986 | TEST: 1.3444 0.8000 | 0.7983 0.9344 | 0.9383 0.9611 | Time: 2.8631
Epoch: 0014 | TRAIN: 0.9656 0.8894 | 0.1722 1.0000 | 0.2858 1.0000 | Time: 116.9213 | VAL: 1.2864 0.8080 | 0.6822 0.9888 | 0.7705 0.9732 | Time: 2.3849 | TEST: 1.2932 0.8051 | 0.7784 0.9344 | 0.8718 0.9611 | Time: 2.8346
Epoch: 0015 | TRAIN: 0.9138 0.8978 | 0.1631 1.0000 | 0.2547 1.0000 | Time: 116.8536 | VAL: 1.2609 0.8116 | 0.6858 1.0000 | 0.7570 0.9732 | Time: 2.4243 | TEST: 1.2674 0.8137 | 0.7750 0.9344 | 0.8626 0.9556 | Time: 2.8779
Epoch: 0016 | TRAIN: 0.8355 0.9117 | 0.1500 1.0000 | 0.2224 1.0000 | Time: 117.0588 | VAL: 1.2208 0.8152 | 0.6761 0.9888 | 0.7191 0.9732 | Time: 2.3759 | TEST: 1.2286 0.8171 | 0.7640 0.9426 | 0.8206 0.9611 | Time: 2.8206
Epoch: 0017 | TRAIN: 0.7711 0.9297 | 0.1427 1.0000 | 0.2025 1.0000 | Time: 116.6066 | VAL: 1.1836 0.8152 | 0.6682 1.0000 | 0.6978 0.9732 | Time: 2.3815 | TEST: 1.1921 0.8222 | 0.7614 0.9344 | 0.7994 0.9667 | Time: 2.8046
