========================================
General Configuration:
	Wighting: MoDo
	Architecture: HPS
	Rep_Grad: False
	Multi_Input: True
	Seed: 0
	Device: cuda:0
MoDo Configuration:
	weighting: MoDo
	gamma_modo: 1.0
	rho_modo: 0.1
	modo_gn: none
Optimizer Configuration:
	optim: adam
	lr: 1e-05
	weight_decay: 1e-05
========================================
Total Params: 11487901
Trainable Params: 11487901
Non-trainable Params: 0
========================================
LOG FORMAT | amazon_LOSS Acc | dslr_LOSS Acc | webcam_LOSS Acc | TIME
Epoch: 0000 | TRAIN: 3.4348 0.0655 | 3.1601 0.1475 | 3.3329 0.1001 | Time: 116.6499 | VAL: 3.2473 0.1087 | 2.9199 0.2921 | 3.1435 0.1745 | Time: 2.4108 | TEST: 3.2087 0.1368 | 2.9228 0.3279 | 3.1276 0.2444 | Time: 2.8660
Epoch: 0001 | TRAIN: 3.1151 0.1662 | 2.4705 0.5015 | 2.7857 0.3209 | Time: 116.2426 | VAL: 3.0012 0.2663 | 2.4827 0.5955 | 2.6661 0.4698 | Time: 2.3733 | TEST: 2.9652 0.3094 | 2.4934 0.6148 | 2.6812 0.4778 | Time: 2.8468
Epoch: 0002 | TRAIN: 2.8770 0.2885 | 1.9805 0.7722 | 2.2679 0.5895 | Time: 116.0691 | VAL: 2.7951 0.3786 | 2.1046 0.7191 | 2.2997 0.6443 | Time: 2.3900 | TEST: 2.7633 0.4120 | 2.1183 0.7213 | 2.3268 0.6667 | Time: 2.8658
Epoch: 0003 | TRAIN: 2.6991 0.3675 | 1.5336 0.9195 | 1.8662 0.7644 | Time: 116.1780 | VAL: 2.6112 0.4873 | 1.8473 0.8090 | 2.0154 0.7315 | Time: 2.3884 | TEST: 2.5835 0.5111 | 1.8688 0.8197 | 2.0619 0.7722 | Time: 2.8177
Epoch: 0004 | TRAIN: 2.5284 0.4486 | 1.2806 0.9603 | 1.5396 0.8663 | Time: 116.5256 | VAL: 2.5197 0.5453 | 1.6468 0.8652 | 1.7287 0.8188 | Time: 2.3835 | TEST: 2.4944 0.5624 | 1.6706 0.8525 | 1.7873 0.8556 | Time: 2.8266
Epoch: 0005 | TRAIN: 2.4443 0.4979 | 1.0435 0.9877 | 1.2545 0.9300 | Time: 116.1929 | VAL: 2.4800 0.5707 | 1.4342 0.8989 | 1.5398 0.8792 | Time: 2.3777 | TEST: 2.4598 0.5829 | 1.4725 0.8689 | 1.6061 0.8944 | Time: 2.8396
Epoch: 0006 | TRAIN: 2.4072 0.5105 | 0.8324 0.9955 | 1.0362 0.9660 | Time: 116.1582 | VAL: 2.4433 0.5833 | 1.2663 0.9101 | 1.3829 0.8993 | Time: 2.3913 | TEST: 2.4301 0.5880 | 1.3143 0.9016 | 1.4624 0.8944 | Time: 2.8472
Epoch: 0007 | TRAIN: 2.3468 0.5379 | 0.6844 0.9973 | 0.8744 0.9811 | Time: 116.5117 | VAL: 2.3767 0.5996 | 1.1341 0.9551 | 1.2354 0.8993 | Time: 2.3824 | TEST: 2.3630 0.6205 | 1.1867 0.9180 | 1.3124 0.9167 | Time: 2.8168
Epoch: 0008 | TRAIN: 2.2360 0.5742 | 0.5788 0.9991 | 0.7473 0.9949 | Time: 116.9958 | VAL: 2.2469 0.6522 | 1.0549 0.9663 | 1.1491 0.9262 | Time: 2.4148 | TEST: 2.2368 0.6598 | 1.1158 0.9262 | 1.2368 0.9278 | Time: 2.8729
Epoch: 0009 | TRAIN: 2.1144 0.6181 | 0.5099 1.0000 | 0.6584 0.9946 | Time: 116.5160 | VAL: 2.1545 0.6649 | 0.9832 0.9775 | 1.0686 0.9396 | Time: 2.4176 | TEST: 2.1418 0.6803 | 1.0463 0.9262 | 1.1596 0.9333 | Time: 2.8785
Epoch: 0010 | TRAIN: 1.9883 0.6487 | 0.4445 1.0000 | 0.5737 0.9970 | Time: 117.0939 | VAL: 2.0414 0.6812 | 0.9313 0.9775 | 1.0283 0.9396 | Time: 2.3888 | TEST: 2.0307 0.6991 | 1.0087 0.9180 | 1.1232 0.9278 | Time: 2.8463
Epoch: 0011 | TRAIN: 1.8491 0.6980 | 0.4003 1.0000 | 0.5088 0.9979 | Time: 116.9284 | VAL: 1.9328 0.7283 | 0.8929 0.9663 | 0.9483 0.9597 | Time: 2.3834 | TEST: 1.9327 0.7094 | 0.9716 0.9262 | 1.0465 0.9444 | Time: 2.8340
Epoch: 0012 | TRAIN: 1.7245 0.7302 | 0.3671 1.0000 | 0.4458 0.9991 | Time: 116.8262 | VAL: 1.7882 0.7319 | 0.8487 0.9888 | 0.9172 0.9664 | Time: 2.3680 | TEST: 1.7863 0.7248 | 0.9301 0.9262 | 1.0225 0.9389 | Time: 2.8387
Epoch: 0013 | TRAIN: 1.5641 0.7584 | 0.3335 1.0000 | 0.4283 0.9994 | Time: 116.8581 | VAL: 1.6612 0.7464 | 0.8396 0.9775 | 0.8996 0.9597 | Time: 2.4221 | TEST: 1.6629 0.7402 | 0.9185 0.9344 | 1.0020 0.9500 | Time: 2.8782
Epoch: 0014 | TRAIN: 1.4408 0.7791 | 0.3130 1.0000 | 0.3887 0.9994 | Time: 116.4939 | VAL: 1.5638 0.7482 | 0.8045 0.9775 | 0.8411 0.9732 | Time: 2.3705 | TEST: 1.5687 0.7641 | 0.8889 0.9262 | 0.9463 0.9444 | Time: 2.8146
Epoch: 0015 | TRAIN: 1.3518 0.8038 | 0.2947 1.0000 | 0.3615 1.0000 | Time: 116.5692 | VAL: 1.4921 0.7681 | 0.7934 0.9888 | 0.8417 0.9732 | Time: 2.4260 | TEST: 1.4967 0.7624 | 0.8750 0.9344 | 0.9504 0.9500 | Time: 2.8591
Epoch: 0016 | TRAIN: 1.2264 0.8263 | 0.2706 1.0000 | 0.3301 1.0000 | Time: 116.1085 | VAL: 1.4110 0.7880 | 0.7667 0.9888 | 0.8108 0.9732 | Time: 2.4114 | TEST: 1.4183 0.7726 | 0.8428 0.9344 | 0.9127 0.9500 | Time: 2.8648
Epoch: 0017 | TRAIN: 1.1332 0.8495 | 0.2548 1.0000 | 0.3103 1.0000 | Time: 116.0821 | VAL: 1.3489 0.7862 | 0.7483 0.9888 | 0.7870 0.9732 | Time: 2.3872 | TEST: 1.3589 0.7846 | 0.8300 0.9344 | 0.8938 0.9611 | Time: 2.8413
Epoch: 0018 | TRAIN: 1.0532 0.8648 | 0.2339 1.0000 | 0.2900 1.0000 | Time: 116.1396 | VAL: 1.2973 0.7862 | 0.7212 0.9888 | 0.7677 0.9732 | Time: 2.3950 | TEST: 1.3099 0.7932 | 0.8102 0.9262 | 0.8679 0.9556 | Time: 2.8115
Epoch: 0019 | TRAIN: 0.9889 0.8759 | 0.2177 1.0000 | 0.2692 1.0000 | Time: 116.5172 | VAL: 1.2603 0.8007 | 0.6954 0.9888 | 0.7361 0.9732 | Time: 2.3811 | TEST: 1.2698 0.7949 | 0.7884 0.9426 | 0.8401 0.9556 | Time: 2.8256
Epoch: 0020 | TRAIN: 0.9423 0.8828 | 0.2010 1.0000 | 0.2504 1.0000 | Time: 116.0313 | VAL: 1.2343 0.8098 | 0.6606 0.9888 | 0.7018 0.9732 | Time: 2.3843 | TEST: 1.2427 0.7983 | 0.7553 0.9344 | 0.8014 0.9611 | Time: 2.8253
Epoch: 0021 | TRAIN: 0.8888 0.8993 | 0.1872 1.0000 | 0.2342 1.0000 | Time: 116.4913 | VAL: 1.2051 0.8098 | 0.6444 0.9888 | 0.6936 0.9732 | Time: 2.3811 | TEST: 1.2156 0.8068 | 0.7395 0.9344 | 0.7920 0.9611 | Time: 2.7993
Epoch: 0022 | TRAIN: 0.8451 0.9069 | 0.1718 1.0000 | 0.2136 1.0000 | Time: 116.5061 | VAL: 1.1835 0.8152 | 0.6196 0.9888 | 0.6718 0.9732 | Time: 2.3655 | TEST: 1.1943 0.8171 | 0.7214 0.9426 | 0.7730 0.9611 | Time: 2.8456
Epoch: 0023 | TRAIN: 0.8021 0.9156 | 0.1601 1.0000 | 0.1937 1.0000 | Time: 116.1547 | VAL: 1.1624 0.8188 | 0.6187 1.0000 | 0.6612 0.9732 | Time: 2.4102 | TEST: 1.1721 0.8205 | 0.7189 0.9344 | 0.7611 0.9611 | Time: 2.8549
Epoch: 0024 | TRAIN: 0.7543 0.9270 | 0.1508 1.0000 | 0.1889 1.0000 | Time: 116.7376 | VAL: 1.1278 0.8279 | 0.5984 1.0000 | 0.6443 0.9732 | Time: 2.3814 | TEST: 1.1403 0.8222 | 0.6970 0.9508 | 0.7414 0.9611 | Time: 2.8308
Epoch: 0025 | TRAIN: 0.7262 0.9294 | 0.1392 1.0000 | 0.1723 1.0000 | Time: 116.1112 | VAL: 1.1085 0.8279 | 0.5866 0.9888 | 0.6190 0.9799 | Time: 2.3662 | TEST: 1.1229 0.8222 | 0.6829 0.9426 | 0.7234 0.9611 | Time: 2.8385
Epoch: 0026 | TRAIN: 0.6825 0.9360 | 0.1318 1.0000 | 0.1629 1.0000 | Time: 116.2151 | VAL: 1.1057 0.8279 | 0.5803 1.0000 | 0.6101 0.9732 | Time: 2.3835 | TEST: 1.1173 0.8188 | 0.6814 0.9262 | 0.7015 0.9556 | Time: 2.8049
Epoch: 0027 | TRAIN: 0.6486 0.9444 | 0.1197 1.0000 | 0.1563 1.0000 | Time: 116.4393 | VAL: 1.0844 0.8297 | 0.5593 1.0000 | 0.5962 0.9732 | Time: 2.3716 | TEST: 1.0992 0.8222 | 0.6599 0.9426 | 0.6931 0.9500 | Time: 2.8256
Epoch: 0028 | TRAIN: 0.6208 0.9471 | 0.1147 1.0000 | 0.1453 1.0000 | Time: 116.5506 | VAL: 1.0636 0.8297 | 0.5521 1.0000 | 0.5817 0.9732 | Time: 2.3919 | TEST: 1.0804 0.8222 | 0.6463 0.9426 | 0.6856 0.9556 | Time: 2.8477
Epoch: 0029 | TRAIN: 0.5848 0.9519 | 0.1060 1.0000 | 0.1335 1.0000 | Time: 116.4435 | VAL: 1.0595 0.8406 | 0.5355 1.0000 | 0.5795 0.9732 | Time: 2.4188 | TEST: 1.0762 0.8222 | 0.6363 0.9426 | 0.6746 0.9500 | Time: 2.8693
Epoch: 0030 | TRAIN: 0.5715 0.9564 | 0.1008 1.0000 | 0.1262 1.0000 | Time: 116.5051 | VAL: 1.0437 0.8370 | 0.5210 1.0000 | 0.5559 0.9732 | Time: 2.3667 | TEST: 1.0570 0.8256 | 0.6265 0.9426 | 0.6457 0.9556 | Time: 2.8005
Epoch: 0031 | TRAIN: 0.5449 0.9615 | 0.0937 1.0000 | 0.1192 1.0000 | Time: 116.6497 | VAL: 1.0372 0.8370 | 0.5183 1.0000 | 0.5419 0.9732 | Time: 2.3793 | TEST: 1.0553 0.8274 | 0.6228 0.9508 | 0.6399 0.9556 | Time: 2.8149
