========================================
General Configuration:
	Wighting: MoDo
	Architecture: HPS
	Rep_Grad: False
	Multi_Input: True
	Seed: 0
	Device: cuda:0
MoDo Configuration:
	weighting: MoDo
	gamma_modo: 0.01
	rho_modo: 0.01
	modo_gn: none
Optimizer Configuration:
	optim: adam
	lr: 0.001
	weight_decay: 1e-05
========================================
Total Params: 11487901
Trainable Params: 11487901
Non-trainable Params: 0
========================================
LOG FORMAT | amazon_LOSS Acc | dslr_LOSS Acc | webcam_LOSS Acc | TIME
Epoch: 0000 | TRAIN: 1.3241 0.6857 | 0.5587 0.9231 | 0.6059 0.9008 | Time: 117.1391 | VAL: 0.9779 0.7663 | 0.1811 0.9888 | 0.2218 0.9799 | Time: 2.3811 | TEST: 0.9274 0.7744 | 0.2654 0.9590 | 0.2474 0.9667 | Time: 2.8232
Epoch: 0001 | TRAIN: 0.2729 0.9477 | 0.0282 1.0000 | 0.0337 0.9997 | Time: 117.0339 | VAL: 0.8493 0.7917 | 0.1714 0.9775 | 0.1635 0.9732 | Time: 2.3942 | TEST: 0.7961 0.8000 | 0.1873 0.9672 | 0.1935 0.9611 | Time: 2.8527
Epoch: 0002 | TRAIN: 0.0970 0.9811 | 0.0117 1.0000 | 0.0137 1.0000 | Time: 117.3956 | VAL: 0.9252 0.7681 | 0.1152 1.0000 | 0.1237 0.9866 | Time: 2.3842 | TEST: 0.8347 0.7846 | 0.1708 0.9672 | 0.1457 0.9667 | Time: 2.8375
Epoch: 0003 | TRAIN: 0.0692 0.9886 | 0.0089 1.0000 | 0.0114 0.9991 | Time: 116.9738 | VAL: 0.8968 0.7808 | 0.1056 0.9888 | 0.1314 0.9799 | Time: 2.4197 | TEST: 0.8766 0.7795 | 0.1166 0.9754 | 0.1366 0.9611 | Time: 2.8686
Epoch: 0004 | TRAIN: 0.0641 0.9871 | 0.0070 1.0000 | 0.0086 0.9994 | Time: 116.8088 | VAL: 0.9651 0.7754 | 0.0706 0.9888 | 0.1531 0.9799 | Time: 2.4193 | TEST: 0.8224 0.7880 | 0.1073 0.9918 | 0.1567 0.9500 | Time: 2.8774
Epoch: 0005 | TRAIN: 0.0823 0.9838 | 0.0066 1.0000 | 0.0082 1.0000 | Time: 116.5105 | VAL: 0.9753 0.7754 | 0.0680 0.9775 | 0.1218 0.9664 | Time: 2.4362 | TEST: 0.8383 0.8068 | 0.0899 0.9836 | 0.0999 0.9778 | Time: 2.8979
Epoch: 0006 | TRAIN: 0.1548 0.9579 | 0.0166 0.9979 | 0.0176 0.9979 | Time: 116.4439 | VAL: 1.2293 0.6830 | 0.1849 0.9438 | 0.2410 0.9396 | Time: 2.3998 | TEST: 1.0661 0.7231 | 0.2809 0.9016 | 0.2177 0.9444 | Time: 2.8529
Epoch: 0007 | TRAIN: 0.1042 0.9697 | 0.0072 0.9997 | 0.0122 0.9994 | Time: 116.7793 | VAL: 1.0138 0.7554 | 0.0958 0.9888 | 0.0949 0.9866 | Time: 2.4003 | TEST: 0.8815 0.7675 | 0.1595 0.9426 | 0.1401 0.9611 | Time: 2.8594
Epoch: 0008 | TRAIN: 0.0442 0.9892 | 0.0041 0.9997 | 0.0065 0.9991 | Time: 116.2915 | VAL: 1.0644 0.7337 | 0.0272 1.0000 | 0.1639 0.9664 | Time: 2.4038 | TEST: 0.9892 0.7692 | 0.1646 0.9590 | 0.1740 0.9444 | Time: 2.8104
Epoch: 0009 | TRAIN: 0.0353 0.9928 | 0.0029 1.0000 | 0.0037 0.9997 | Time: 116.6918 | VAL: 1.0552 0.7645 | 0.0556 0.9888 | 0.1327 0.9597 | Time: 2.3831 | TEST: 0.8716 0.8000 | 0.1159 0.9754 | 0.0723 0.9722 | Time: 2.8169
Epoch: 0010 | TRAIN: 0.0110 0.9982 | 0.0013 1.0000 | 0.0017 0.9997 | Time: 116.4244 | VAL: 0.9506 0.7935 | 0.0305 0.9888 | 0.1508 0.9664 | Time: 2.3757 | TEST: 0.7733 0.8205 | 0.0756 0.9672 | 0.0570 0.9778 | Time: 2.8224
