========================================
General Configuration:
	Wighting: MoDo
	Architecture: HPS
	Rep_Grad: False
	Multi_Input: True
	Seed: 0
	Device: cuda:0
MoDo Configuration:
	weighting: MoDo
	gamma_modo: 0.1
	rho_modo: 1.0
	modo_gn: none
Optimizer Configuration:
	optim: adam
	lr: 0.001
	weight_decay: 1e-05
========================================
Total Params: 11487901
Trainable Params: 11487901
Non-trainable Params: 0
========================================
LOG FORMAT | amazon_LOSS Acc | dslr_LOSS Acc | webcam_LOSS Acc | TIME
Epoch: 0000 | TRAIN: 1.4463 0.6559 | 0.6795 0.8888 | 0.6545 0.8867 | Time: 121.8401 | VAL: 0.9848 0.7591 | 0.1944 0.9663 | 0.2157 0.9866 | Time: 2.5154 | TEST: 0.9643 0.7744 | 0.2519 0.9508 | 0.2121 0.9778 | Time: 2.9360
Epoch: 0001 | TRAIN: 0.2865 0.9399 | 0.0265 1.0000 | 0.0305 1.0000 | Time: 122.2359 | VAL: 0.8350 0.7953 | 0.1329 0.9775 | 0.1791 0.9732 | Time: 2.5044 | TEST: 0.8155 0.7966 | 0.1935 0.9590 | 0.1489 0.9722 | Time: 2.9536
Epoch: 0002 | TRAIN: 0.1763 0.9591 | 0.0184 1.0000 | 0.0233 0.9994 | Time: 121.1914 | VAL: 0.9555 0.7591 | 0.1796 0.9663 | 0.2445 0.9262 | Time: 2.5722 | TEST: 0.9068 0.7658 | 0.1726 0.9672 | 0.2245 0.9556 | Time: 3.0378
Epoch: 0003 | TRAIN: 0.1485 0.9684 | 0.0171 0.9991 | 0.0208 0.9988 | Time: 121.3861 | VAL: 1.0938 0.7464 | 0.1490 0.9663 | 0.2457 0.9262 | Time: 2.5602 | TEST: 1.0485 0.7333 | 0.2475 0.9426 | 0.2604 0.9389 | Time: 3.0244
Epoch: 0004 | TRAIN: 0.1620 0.9585 | 0.0125 1.0000 | 0.0164 0.9994 | Time: 122.5588 | VAL: 1.0483 0.7500 | 0.1766 0.9663 | 0.1673 0.9732 | Time: 2.4352 | TEST: 1.0170 0.7385 | 0.2348 0.9508 | 0.1580 0.9722 | Time: 2.9166
Epoch: 0005 | TRAIN: 0.1187 0.9684 | 0.0086 1.0000 | 0.0113 1.0000 | Time: 121.8049 | VAL: 1.1772 0.7083 | 0.1562 0.9663 | 0.2264 0.9396 | Time: 2.5024 | TEST: 1.2569 0.6906 | 0.3358 0.9098 | 0.2634 0.9389 | Time: 3.2398
Epoch: 0006 | TRAIN: 0.1129 0.9733 | 0.0085 0.9994 | 0.0094 0.9997 | Time: 121.8086 | VAL: 1.0130 0.7554 | 0.1068 0.9663 | 0.2331 0.9396 | Time: 2.5156 | TEST: 0.8936 0.7692 | 0.2315 0.9590 | 0.2165 0.9389 | Time: 2.9035
Epoch: 0007 | TRAIN: 0.1087 0.9681 | 0.0106 0.9991 | 0.0147 0.9991 | Time: 121.9823 | VAL: 1.2454 0.7228 | 0.1401 0.9663 | 0.2754 0.9262 | Time: 2.5337 | TEST: 1.1989 0.7145 | 0.2546 0.9180 | 0.2432 0.9556 | Time: 2.8768
Epoch: 0008 | TRAIN: 0.0960 0.9733 | 0.0098 0.9991 | 0.0180 0.9964 | Time: 122.0043 | VAL: 1.2210 0.7210 | 0.1552 0.9551 | 0.1866 0.9597 | Time: 2.5908 | TEST: 1.2224 0.6923 | 0.1764 0.9508 | 0.2299 0.9389 | Time: 3.0564
Epoch: 0009 | TRAIN: 0.0514 0.9859 | 0.0042 1.0000 | 0.0052 0.9997 | Time: 121.9034 | VAL: 1.1343 0.7319 | 0.1785 0.9213 | 0.1897 0.9530 | Time: 2.7215 | TEST: 1.1785 0.7282 | 0.2071 0.9508 | 0.1755 0.9500 | Time: 3.0132
Epoch: 0010 | TRAIN: 0.0689 0.9799 | 0.0046 1.0000 | 0.0099 0.9982 | Time: 121.8712 | VAL: 1.0822 0.7627 | 0.0641 1.0000 | 0.1893 0.9597 | Time: 2.4331 | TEST: 1.0839 0.7487 | 0.2260 0.9344 | 0.1431 0.9611 | Time: 3.1013
