========================================
General Configuration:
	Wighting: MoDo
	Architecture: HPS
	Rep_Grad: False
	Multi_Input: True
	Seed: 0
	Device: cuda:0
MoDo Configuration:
	weighting: MoDo
	gamma_modo: 1.0
	rho_modo: 1.0
	modo_gn: none
Optimizer Configuration:
	optim: adam
	lr: 0.001
	weight_decay: 1e-05
========================================
Total Params: 11487901
Trainable Params: 11487901
Non-trainable Params: 0
========================================
LOG FORMAT | amazon_LOSS Acc | dslr_LOSS Acc | webcam_LOSS Acc | TIME
Epoch: 0000 | TRAIN: 1.8676 0.5270 | 0.9589 0.8215 | 0.9885 0.7975 | Time: 116.7183 | VAL: 1.2559 0.7047 | 0.2731 1.0000 | 0.2411 0.9799 | Time: 2.3962 | TEST: 1.2331 0.7111 | 0.2979 0.9344 | 0.2448 0.9556 | Time: 2.8619
Epoch: 0001 | TRAIN: 0.4670 0.8984 | 0.0381 1.0000 | 0.0471 0.9997 | Time: 116.8770 | VAL: 1.1164 0.7192 | 0.1930 0.9888 | 0.1681 0.9664 | Time: 2.3787 | TEST: 1.0795 0.7197 | 0.2499 0.9508 | 0.1508 0.9722 | Time: 2.8354
Epoch: 0002 | TRAIN: 0.1362 0.9790 | 0.0178 1.0000 | 0.0196 1.0000 | Time: 116.4241 | VAL: 1.1508 0.6938 | 0.1121 0.9775 | 0.1393 0.9732 | Time: 2.3961 | TEST: 1.1283 0.6957 | 0.1532 0.9754 | 0.1567 0.9611 | Time: 2.8419
Epoch: 0003 | TRAIN: 0.0963 0.9838 | 0.0120 1.0000 | 0.0156 0.9994 | Time: 116.5569 | VAL: 1.0442 0.7355 | 0.1283 0.9888 | 0.1700 0.9732 | Time: 2.4130 | TEST: 0.9395 0.7607 | 0.1745 0.9508 | 0.1494 0.9778 | Time: 2.8708
Epoch: 0004 | TRAIN: 0.0853 0.9835 | 0.0105 1.0000 | 0.0138 1.0000 | Time: 116.8394 | VAL: 1.0295 0.7428 | 0.0582 1.0000 | 0.1293 0.9732 | Time: 2.3670 | TEST: 0.9503 0.7453 | 0.1911 0.9344 | 0.1304 0.9722 | Time: 2.8451
Epoch: 0005 | TRAIN: 0.1005 0.9754 | 0.0092 0.9997 | 0.0109 1.0000 | Time: 116.5323 | VAL: 1.1334 0.7029 | 0.1632 0.9663 | 0.1933 0.9597 | Time: 2.3917 | TEST: 1.1833 0.6923 | 0.2955 0.9180 | 0.1408 0.9667 | Time: 2.8457
Epoch: 0006 | TRAIN: 0.1388 0.9669 | 0.0105 1.0000 | 0.0170 0.9982 | Time: 116.5090 | VAL: 1.2247 0.7083 | 0.2937 0.9213 | 0.2267 0.9195 | Time: 2.4341 | TEST: 1.2352 0.7111 | 0.3080 0.8934 | 0.2223 0.9556 | Time: 2.8811
Epoch: 0007 | TRAIN: 0.1403 0.9642 | 0.0168 0.9985 | 0.0195 0.9979 | Time: 116.7872 | VAL: 1.2486 0.6866 | 0.1176 0.9663 | 0.1547 0.9463 | Time: 2.4248 | TEST: 1.2998 0.6735 | 0.1762 0.9426 | 0.1597 0.9611 | Time: 2.8881
Epoch: 0008 | TRAIN: 0.1535 0.9549 | 0.0094 0.9997 | 0.0132 0.9991 | Time: 116.7373 | VAL: 1.1080 0.7518 | 0.1491 0.9551 | 0.1360 0.9597 | Time: 2.4235 | TEST: 1.0598 0.7607 | 0.2423 0.9426 | 0.1470 0.9667 | Time: 2.8627
Epoch: 0009 | TRAIN: 0.0867 0.9778 | 0.0071 0.9997 | 0.0094 0.9991 | Time: 116.7302 | VAL: 1.0254 0.7518 | 0.1088 0.9775 | 0.1208 0.9597 | Time: 2.4194 | TEST: 0.9967 0.7624 | 0.1236 0.9590 | 0.1189 0.9833 | Time: 2.8768
Epoch: 0010 | TRAIN: 0.0399 0.9904 | 0.0030 1.0000 | 0.0047 0.9997 | Time: 116.4380 | VAL: 1.1680 0.7319 | 0.2039 0.9551 | 0.2240 0.9195 | Time: 2.4227 | TEST: 1.1450 0.7214 | 0.2195 0.9098 | 0.1948 0.9611 | Time: 2.8958
