========================================
General Configuration:
	Wighting: ITL
	Architecture: HPS
	Rep_Grad: False
	Multi_Input: True
	Seed: 0
	Device: cuda:0
ITL Configuration:
	weighting: ITL
	task_idx: 0
Optimizer Configuration:
	optim: adam
	lr: 0.001
	weight_decay: 1e-06
========================================
Total Params: 11573572
Trainable Params: 11573572
Non-trainable Params: 0
========================================
LOG FORMAT | Art_LOSS Acc | Clipart_LOSS Acc | Product_LOSS Acc | Real_World_LOSS Acc | TIME
Epoch: 0000 | TRAIN: 2.8899 0.3323 | 4.2444 0.0149 | 4.2334 0.0175 | 4.2507 0.0145 | Time: 189.3286 | VAL: 2.7616 0.3527 | 4.1787 0.0095 | 4.1737 0.0140 | 4.1840 0.0083 | Time: 62.8956 | TEST: 2.9795 0.2903 | 4.1792 0.0206 | 4.1758 0.0159 | 4.1855 0.0108 | Time: 51.0477
Epoch: 0001 | TRAIN: 1.3340 0.6917 | 4.1828 0.0133 | 4.1773 0.0168 | 4.1725 0.0210 | Time: 129.3678 | VAL: 2.1993 0.4473 | 4.1741 0.0201 | 4.1750 0.0163 | 4.1728 0.0225 | Time: 36.6644 | TEST: 2.2874 0.4535 | 4.1746 0.0184 | 4.1755 0.0117 | 4.1728 0.0195 | Time: 38.1715
Epoch: 0002 | TRAIN: 0.5395 0.8979 | 4.1745 0.0122 | 4.1746 0.0137 | 4.1740 0.0194 | Time: 127.6101 | VAL: 2.0966 0.4667 | 4.1744 0.0189 | 4.1744 0.0093 | 4.1744 0.0083 | Time: 36.7310 | TEST: 2.2041 0.4687 | 4.1744 0.0184 | 4.1743 0.0127 | 4.1744 0.0086 | Time: 37.3685
Epoch: 0003 | TRAIN: 0.2312 0.9607 | 4.1744 0.0160 | 4.1744 0.0130 | 4.1744 0.0107 | Time: 127.1595 | VAL: 2.2799 0.4796 | 4.1744 0.0130 | 4.1744 0.0058 | 4.1744 0.0059 | Time: 35.2252 | TEST: 2.3706 0.4516 | 4.1744 0.0206 | 4.1744 0.0064 | 4.1744 0.0032 | Time: 37.2888
Epoch: 0004 | TRAIN: 0.1221 0.9821 | 4.1744 0.0179 | 4.1744 0.0126 | 4.1744 0.0133 | Time: 123.7602 | VAL: 2.1081 0.5419 | 4.1744 0.0201 | 4.1744 0.0081 | 4.1744 0.0106 | Time: 36.4671 | TEST: 2.2695 0.4820 | 4.1744 0.0195 | 4.1744 0.0074 | 4.1744 0.0086 | Time: 38.0088
Epoch: 0005 | TRAIN: 0.1064 0.9844 | 4.1744 0.0168 | 4.1744 0.0141 | 4.1744 0.0213 | Time: 127.6684 | VAL: 2.5159 0.4538 | 4.1744 0.0296 | 4.1744 0.0047 | 4.1744 0.0165 | Time: 36.3210 | TEST: 2.6172 0.4099 | 4.1744 0.0184 | 4.1744 0.0074 | 4.1744 0.0162 | Time: 37.8405
Epoch: 0006 | TRAIN: 0.0741 0.9874 | 4.1744 0.0149 | 4.1744 0.0091 | 4.1744 0.0118 | Time: 126.5750 | VAL: 2.2839 0.4968 | 4.1744 0.0272 | 4.1744 0.0198 | 4.1744 0.0106 | Time: 35.6361 | TEST: 2.4505 0.4649 | 4.1744 0.0303 | 4.1744 0.0148 | 4.1744 0.0065 | Time: 37.0498
Epoch: 0007 | TRAIN: 0.0561 0.9893 | 4.1744 0.0229 | 4.1744 0.0168 | 4.1744 0.0164 | Time: 124.9592 | VAL: 2.3110 0.5161 | 4.1744 0.0165 | 4.1744 0.0186 | 4.1744 0.0177 | Time: 36.3335 | TEST: 2.4549 0.4630 | 4.1744 0.0173 | 4.1744 0.0201 | 4.1744 0.0173 | Time: 37.0737
Epoch: 0008 | TRAIN: 0.1074 0.9771 | 4.1744 0.0145 | 4.1744 0.0179 | 4.1744 0.0152 | Time: 130.0092 | VAL: 3.0710 0.4151 | 4.1744 0.0177 | 4.1744 0.0186 | 4.1744 0.0154 | Time: 35.9020 | TEST: 3.2616 0.3890 | 4.1744 0.0184 | 4.1744 0.0180 | 4.1744 0.0162 | Time: 36.8053
Epoch: 0009 | TRAIN: 0.3152 0.9223 | 4.1744 0.0194 | 4.1744 0.0183 | 4.1744 0.0171 | Time: 127.6151 | VAL: 3.3867 0.3785 | 4.1744 0.0177 | 4.1744 0.0186 | 4.1744 0.0154 | Time: 35.5360 | TEST: 3.5776 0.3359 | 4.1744 0.0184 | 4.1744 0.0180 | 4.1744 0.0162 | Time: 36.8238
Epoch: 0010 | TRAIN: 0.4344 0.8910 | 4.1744 0.0145 | 4.1744 0.0183 | 4.1744 0.0149 | Time: 122.6453 | VAL: 2.8150 0.4344 | 4.1744 0.0177 | 4.1744 0.0186 | 4.1744 0.0154 | Time: 36.0622 | TEST: 3.0682 0.3852 | 4.1744 0.0184 | 4.1744 0.0180 | 4.1744 0.0162 | Time: 37.2440
