========================================
General Configuration:
	Wighting: ITL
	Architecture: HPS
	Rep_Grad: False
	Multi_Input: True
	Seed: 0
	Device: cuda:0
ITL Configuration:
	weighting: ITL
	task_idx: 0
Optimizer Configuration:
	optim: adam
	lr: 0.0001
	weight_decay: 0.0001
========================================
Total Params: 11573572
Trainable Params: 11573572
Non-trainable Params: 0
========================================
LOG FORMAT | Art_LOSS Acc | Clipart_LOSS Acc | Product_LOSS Acc | Real_World_LOSS Acc | TIME
Epoch: 0000 | TRAIN: 3.1329 0.3647 | 4.3223 0.0168 | 4.2848 0.0152 | 4.3280 0.0114 | Time: 116.2819 | VAL: 2.5143 0.4753 | 4.2231 0.0189 | 4.1950 0.0116 | 4.2554 0.0083 | Time: 28.1065 | TEST: 2.5940 0.4459 | 4.2309 0.0152 | 4.2061 0.0148 | 4.2588 0.0086 | Time: 28.8742
Epoch: 0001 | TRAIN: 1.5903 0.7934 | 4.3139 0.0141 | 4.2773 0.0149 | 4.2780 0.0168 | Time: 114.8767 | VAL: 2.0786 0.5806 | 4.2249 0.0201 | 4.2094 0.0140 | 4.2352 0.0071 | Time: 27.6540 | TEST: 2.1673 0.5617 | 4.2396 0.0184 | 4.2086 0.0191 | 4.2338 0.0119 | Time: 28.3182
Epoch: 0002 | TRAIN: 0.8785 0.9436 | 4.2644 0.0145 | 4.2550 0.0160 | 4.2537 0.0111 | Time: 113.2702 | VAL: 1.9030 0.6086 | 4.2130 0.0118 | 4.2063 0.0151 | 4.2152 0.0059 | Time: 27.5725 | TEST: 1.9873 0.5920 | 4.2246 0.0184 | 4.2045 0.0180 | 4.2183 0.0108 | Time: 28.0731
Epoch: 0003 | TRAIN: 0.4703 0.9855 | 4.2597 0.0149 | 4.2253 0.0152 | 4.2281 0.0164 | Time: 112.6077 | VAL: 1.7775 0.6344 | 4.2017 0.0154 | 4.1962 0.0128 | 4.2072 0.0106 | Time: 27.4145 | TEST: 1.8662 0.6186 | 4.2136 0.0173 | 4.1926 0.0180 | 4.2136 0.0076 | Time: 27.9667
Epoch: 0004 | TRAIN: 0.2786 0.9912 | 4.2237 0.0137 | 4.2120 0.0133 | 4.2315 0.0133 | Time: 141.5419 | VAL: 1.7150 0.6516 | 4.1925 0.0095 | 4.1914 0.0140 | 4.1984 0.0106 | Time: 42.1209 | TEST: 1.8057 0.6300 | 4.2006 0.0173 | 4.1893 0.0159 | 4.2010 0.0097 | Time: 39.9342
Epoch: 0005 | TRAIN: 0.1818 0.9939 | 4.2168 0.0171 | 4.2115 0.0175 | 4.2058 0.0152 | Time: 155.2746 | VAL: 1.6587 0.6495 | 4.1877 0.0095 | 4.1880 0.0140 | 4.1915 0.0118 | Time: 38.7142 | TEST: 1.7442 0.6338 | 4.1954 0.0173 | 4.1872 0.0159 | 4.1956 0.0119 | Time: 36.9726
Epoch: 0006 | TRAIN: 0.1353 0.9920 | 4.2007 0.0133 | 4.2037 0.0133 | 4.1983 0.0137 | Time: 158.8648 | VAL: 1.6154 0.6516 | 4.1802 0.0189 | 4.1859 0.0140 | 4.1875 0.0118 | Time: 34.8714 | TEST: 1.6971 0.6471 | 4.1890 0.0141 | 4.1844 0.0148 | 4.1893 0.0119 | Time: 40.8496
Epoch: 0007 | TRAIN: 0.1017 0.9928 | 4.1925 0.0152 | 4.1920 0.0137 | 4.1904 0.0149 | Time: 153.7468 | VAL: 1.5767 0.6559 | 4.1790 0.0118 | 4.1827 0.0174 | 4.1850 0.0095 | Time: 39.1323 | TEST: 1.6619 0.6376 | 4.1851 0.0152 | 4.1824 0.0169 | 4.1850 0.0141 | Time: 40.4449
Epoch: 0008 | TRAIN: 0.0818 0.9935 | 4.1897 0.0137 | 4.1906 0.0118 | 4.1868 0.0122 | Time: 151.3592 | VAL: 1.5765 0.6602 | 4.1768 0.0106 | 4.1818 0.0128 | 4.1810 0.0118 | Time: 39.8911 | TEST: 1.6596 0.6414 | 4.1822 0.0152 | 4.1812 0.0127 | 4.1809 0.0162 | Time: 41.0597
Epoch: 0009 | TRAIN: 0.0760 0.9916 | 4.1829 0.0202 | 4.1861 0.0149 | 4.1839 0.0133 | Time: 151.1761 | VAL: 1.5599 0.6538 | 4.1755 0.0142 | 4.1795 0.0128 | 4.1783 0.0118 | Time: 39.3134 | TEST: 1.6467 0.6452 | 4.1801 0.0163 | 4.1789 0.0148 | 4.1771 0.0173 | Time: 41.0981
Epoch: 0010 | TRAIN: 0.0655 0.9916 | 4.1785 0.0160 | 4.1844 0.0114 | 4.1771 0.0168 | Time: 144.6183 | VAL: 1.5466 0.6624 | 4.1739 0.0154 | 4.1783 0.0186 | 4.1769 0.0130 | Time: 44.2852 | TEST: 1.6323 0.6490 | 4.1779 0.0173 | 4.1783 0.0117 | 4.1767 0.0195 | Time: 39.5132
Epoch: 0011 | TRAIN: 0.0573 0.9931 | 4.1764 0.0191 | 4.1803 0.0099 | 4.1760 0.0130 | Time: 136.1180 | VAL: 1.5327 0.6559 | 4.1733 0.0118 | 4.1776 0.0128 | 4.1764 0.0154 | Time: 43.2085 | TEST: 1.6104 0.6584 | 4.1766 0.0228 | 4.1774 0.0117 | 4.1763 0.0162 | Time: 38.6155
Epoch: 0012 | TRAIN: 0.0542 0.9924 | 4.1783 0.0145 | 4.1788 0.0168 | 4.1736 0.0179 | Time: 169.9012 | VAL: 1.5265 0.6538 | 4.1729 0.0177 | 4.1769 0.0116 | 4.1756 0.0142 | Time: 39.4328 | TEST: 1.6001 0.6603 | 4.1757 0.0260 | 4.1765 0.0106 | 4.1752 0.0162 | Time: 42.6245
Epoch: 0013 | TRAIN: 0.0482 0.9924 | 4.1754 0.0175 | 4.1785 0.0111 | 4.1754 0.0133 | Time: 170.5013 | VAL: 1.4979 0.6645 | 4.1726 0.0165 | 4.1763 0.0081 | 4.1745 0.0154 | Time: 40.7771 | TEST: 1.5720 0.6471 | 4.1750 0.0228 | 4.1760 0.0127 | 4.1741 0.0141 | Time: 45.8362
Epoch: 0014 | TRAIN: 0.0446 0.9935 | 4.1767 0.0149 | 4.1775 0.0141 | 4.1740 0.0171 | Time: 162.6447 | VAL: 1.5295 0.6495 | 4.1733 0.0177 | 4.1759 0.0081 | 4.1748 0.0165 | Time: 41.3292 | TEST: 1.5919 0.6452 | 4.1753 0.0228 | 4.1754 0.0106 | 4.1744 0.0162 | Time: 40.5706
Epoch: 0015 | TRAIN: 0.0433 0.9928 | 4.1737 0.0164 | 4.1760 0.0091 | 4.1747 0.0164 | Time: 166.3645 | VAL: 1.4936 0.6516 | 4.1732 0.0189 | 4.1756 0.0093 | 4.1744 0.0142 | Time: 39.3091 | TEST: 1.5778 0.6471 | 4.1745 0.0260 | 4.1751 0.0095 | 4.1741 0.0130 | Time: 43.2163
Epoch: 0016 | TRAIN: 0.0386 0.9924 | 4.1746 0.0175 | 4.1754 0.0122 | 4.1747 0.0149 | Time: 165.6465 | VAL: 1.5106 0.6581 | 4.1734 0.0201 | 4.1754 0.0116 | 4.1743 0.0177 | Time: 40.4209 | TEST: 1.5818 0.6490 | 4.1745 0.0228 | 4.1751 0.0138 | 4.1740 0.0108 | Time: 41.8854
Epoch: 0017 | TRAIN: 0.0351 0.9931 | 4.1742 0.0137 | 4.1756 0.0107 | 4.1738 0.0175 | Time: 162.4142 | VAL: 1.5018 0.6495 | 4.1737 0.0189 | 4.1749 0.0140 | 4.1744 0.0201 | Time: 41.0566 | TEST: 1.5699 0.6471 | 4.1745 0.0195 | 4.1748 0.0117 | 4.1741 0.0097 | Time: 40.7704
Epoch: 0018 | TRAIN: 0.0327 0.9924 | 4.1741 0.0145 | 4.1751 0.0099 | 4.1747 0.0122 | Time: 165.2727 | VAL: 1.4853 0.6688 | 4.1739 0.0201 | 4.1748 0.0093 | 4.1743 0.0225 | Time: 42.5102 | TEST: 1.5703 0.6433 | 4.1746 0.0206 | 4.1747 0.0138 | 4.1741 0.0141 | Time: 36.8398
Epoch: 0019 | TRAIN: 0.0300 0.9947 | 4.1743 0.0213 | 4.1748 0.0130 | 4.1740 0.0149 | Time: 161.3754 | VAL: 1.4909 0.6624 | 4.1740 0.0165 | 4.1749 0.0128 | 4.1743 0.0213 | Time: 36.2703 | TEST: 1.5758 0.6471 | 4.1745 0.0206 | 4.1747 0.0106 | 4.1741 0.0151 | Time: 40.5557
