========================================
General Configuration:
	Wighting: MoCo
	Architecture: HPS
	Rep_Grad: False
	Multi_Input: True
	Seed: 0
	Device: cuda:0
MoCo Configuration:
	weighting: MoCo
	beta_moco: 1.0
	gamma_moco: 0.01
	rho_moco: 1.0
	moco_gn: none
Optimizer Configuration:
	optim: adam
	lr: 0.001
	weight_decay: 1e-05
========================================
Total Params: 11487901
Trainable Params: 11487901
Non-trainable Params: 0
========================================
LOG FORMAT | amazon_LOSS Acc | dslr_LOSS Acc | webcam_LOSS Acc | TIME
Epoch: 0000 | TRAIN: 2.0308 0.5126 | 0.7924 0.8696 | 1.0198 0.8197 | Time: 44.5546 | VAL: 1.5122 0.6848 | 0.1824 0.9888 | 0.3205 0.9664 | Time: 2.7468 | TEST: 1.4768 0.6855 | 0.2479 0.9672 | 0.3327 0.9722 | Time: 3.1557
Epoch: 0001 | TRAIN: 0.9236 0.7873 | 0.0359 1.0000 | 0.0567 1.0000 | Time: 43.7839 | VAL: 1.1496 0.7518 | 0.0660 1.0000 | 0.1450 0.9866 | Time: 2.6933 | TEST: 1.1137 0.7726 | 0.0969 0.9836 | 0.1363 0.9722 | Time: 3.1647
Epoch: 0002 | TRAIN: 0.4851 0.8882 | 0.0119 1.0000 | 0.0161 1.0000 | Time: 43.7542 | VAL: 0.9775 0.7935 | 0.0449 1.0000 | 0.1358 0.9732 | Time: 2.5671 | TEST: 0.9353 0.7966 | 0.1020 0.9836 | 0.1030 0.9889 | Time: 2.9378
Epoch: 0003 | TRAIN: 0.2148 0.9688 | 0.0074 1.0000 | 0.0100 1.0000 | Time: 44.2114 | VAL: 0.9343 0.7717 | 0.0535 0.9888 | 0.1463 0.9799 | Time: 2.7062 | TEST: 0.8947 0.7932 | 0.1020 0.9836 | 0.1187 0.9778 | Time: 3.0818
Epoch: 0004 | TRAIN: 0.0938 0.9922 | 0.0057 1.0000 | 0.0075 1.0000 | Time: 44.7370 | VAL: 0.8294 0.8043 | 0.0526 0.9888 | 0.1109 0.9866 | Time: 3.1494 | TEST: 0.7766 0.8256 | 0.1101 0.9672 | 0.1052 0.9833 | Time: 3.0145
Epoch: 0005 | TRAIN: 0.0643 0.9928 | 0.0050 1.0000 | 0.0064 1.0000 | Time: 43.5823 | VAL: 0.8200 0.7953 | 0.0605 0.9888 | 0.1188 0.9732 | Time: 2.5870 | TEST: 0.8105 0.8085 | 0.1017 0.9754 | 0.1338 0.9722 | Time: 3.2869
Epoch: 0006 | TRAIN: 0.0715 0.9904 | 0.0043 1.0000 | 0.0064 1.0000 | Time: 44.0267 | VAL: 0.8150 0.7899 | 0.0442 1.0000 | 0.1296 0.9732 | Time: 2.4681 | TEST: 0.8059 0.8017 | 0.1377 0.9754 | 0.1257 0.9667 | Time: 3.0155
Epoch: 0007 | TRAIN: 0.0743 0.9862 | 0.0042 1.0000 | 0.0056 1.0000 | Time: 44.1174 | VAL: 0.8919 0.7663 | 0.0419 1.0000 | 0.0960 0.9799 | Time: 2.8356 | TEST: 0.8768 0.7795 | 0.0791 0.9836 | 0.1180 0.9722 | Time: 3.0347
Epoch: 0008 | TRAIN: 0.0711 0.9880 | 0.0038 1.0000 | 0.0052 1.0000 | Time: 43.6641 | VAL: 0.7252 0.8207 | 0.0557 0.9888 | 0.0968 0.9866 | Time: 2.5816 | TEST: 0.7304 0.8222 | 0.0941 0.9672 | 0.1443 0.9667 | Time: 3.3959
Epoch: 0009 | TRAIN: 0.0706 0.9856 | 0.0033 1.0000 | 0.0043 1.0000 | Time: 44.4094 | VAL: 0.7366 0.8279 | 0.0896 0.9775 | 0.0879 0.9866 | Time: 2.5827 | TEST: 0.7249 0.8171 | 0.2108 0.9344 | 0.1239 0.9611 | Time: 3.0941
Epoch: 0010 | TRAIN: 0.0390 0.9958 | 0.0027 1.0000 | 0.0034 1.0000 | Time: 43.7996 | VAL: 0.7838 0.7971 | 0.0619 1.0000 | 0.1100 0.9866 | Time: 2.5663 | TEST: 0.7419 0.8222 | 0.1398 0.9590 | 0.0909 0.9778 | Time: 3.0385
Epoch: 0011 | TRAIN: 0.0452 0.9910 | 0.0026 1.0000 | 0.0029 1.0000 | Time: 43.5331 | VAL: 0.8993 0.7681 | 0.1908 0.9438 | 0.1391 0.9664 | Time: 2.5112 | TEST: 0.8895 0.7590 | 0.1454 0.9754 | 0.2105 0.9667 | Time: 3.0538
Epoch: 0012 | TRAIN: 0.0688 0.9856 | 0.0030 1.0000 | 0.0040 1.0000 | Time: 44.2693 | VAL: 0.8673 0.7699 | 0.0594 0.9888 | 0.1175 0.9732 | Time: 2.5417 | TEST: 0.8435 0.7846 | 0.0984 0.9672 | 0.1719 0.9556 | Time: 3.0361
Epoch: 0013 | TRAIN: 0.0865 0.9790 | 0.0125 0.9976 | 0.0329 0.9910 | Time: 44.4398 | VAL: 4.5271 0.2681 | 3.6442 0.4045 | 4.9066 0.3087 | Time: 2.7952 | TEST: 4.5763 0.2479 | 4.1724 0.3279 | 5.2824 0.2889 | Time: 3.1507
Epoch: 0014 | TRAIN: 1.0564 0.7133 | 0.1352 0.9669 | 0.1924 0.9537 | Time: 44.3753 | VAL: 1.8147 0.5181 | 0.6231 0.8427 | 0.4548 0.8926 | Time: 2.5450 | TEST: 1.7967 0.5197 | 0.6119 0.8197 | 0.5307 0.8556 | Time: 3.3535
Epoch: 0015 | TRAIN: 1.0823 0.6959 | 0.0318 0.9946 | 0.0690 0.9868 | Time: 44.0989 | VAL: 1.5171 0.6033 | 0.3752 0.8427 | 0.1910 0.9597 | Time: 2.6271 | TEST: 1.4239 0.6188 | 0.4288 0.8607 | 0.2628 0.9167 | Time: 3.0166
Epoch: 0016 | TRAIN: 0.7027 0.8017 | 0.0099 0.9988 | 0.0293 0.9946 | Time: 44.5769 | VAL: 1.1947 0.6775 | 0.1286 0.9663 | 0.1735 0.9664 | Time: 2.6454 | TEST: 1.2366 0.6598 | 0.0673 0.9836 | 0.1331 0.9556 | Time: 3.1590
Epoch: 0017 | TRAIN: 0.3419 0.9087 | 0.0022 1.0000 | 0.0030 1.0000 | Time: 44.0244 | VAL: 1.0423 0.7120 | 0.0691 0.9775 | 0.1099 0.9799 | Time: 2.6182 | TEST: 1.0888 0.7299 | 0.0998 0.9672 | 0.1155 0.9667 | Time: 3.4765
Epoch: 0018 | TRAIN: 0.1197 0.9730 | 0.0011 1.0000 | 0.0019 1.0000 | Time: 44.8417 | VAL: 0.9215 0.7772 | 0.1165 0.9663 | 0.0906 0.9799 | Time: 2.5532 | TEST: 0.9391 0.7624 | 0.0813 0.9672 | 0.1257 0.9667 | Time: 2.9915
Epoch: 0019 | TRAIN: 0.0608 0.9898 | 0.0009 1.0000 | 0.0013 1.0000 | Time: 44.1213 | VAL: 0.9144 0.7772 | 0.1180 0.9663 | 0.0826 0.9799 | Time: 2.5393 | TEST: 0.9644 0.7590 | 0.0622 0.9836 | 0.1273 0.9667 | Time: 2.9774
