========================================
General Configuration:
	Wighting: MoCo
	Architecture: HPS
	Rep_Grad: False
	Multi_Input: True
	Seed: 0
	Device: cuda:0
MoCo Configuration:
	weighting: MoCo
	beta_moco: 1.0
	gamma_moco: 0.1
	rho_moco: 0.1
	moco_gn: none
Optimizer Configuration:
	optim: adam
	lr: 0.001
	weight_decay: 1e-05
========================================
Total Params: 11487901
Trainable Params: 11487901
Non-trainable Params: 0
========================================
LOG FORMAT | amazon_LOSS Acc | dslr_LOSS Acc | webcam_LOSS Acc | TIME
Epoch: 0000 | TRAIN: 2.2697 0.4309 | 1.4079 0.7308 | 1.3992 0.7121 | Time: 44.3214 | VAL: 1.8589 0.5616 | 0.4777 0.9438 | 0.5091 0.9396 | Time: 2.7712 | TEST: 1.8417 0.5829 | 0.5020 0.9426 | 0.5807 0.9111 | Time: 2.9911
Epoch: 0001 | TRAIN: 1.2807 0.6971 | 0.0831 1.0000 | 0.1238 0.9958 | Time: 43.7671 | VAL: 1.4559 0.6703 | 0.0848 1.0000 | 0.1526 0.9866 | Time: 2.5955 | TEST: 1.4568 0.7043 | 0.1704 0.9590 | 0.1697 0.9611 | Time: 3.0544
Epoch: 0002 | TRAIN: 0.9496 0.7656 | 0.0172 1.0000 | 0.0257 1.0000 | Time: 43.6844 | VAL: 1.2845 0.6830 | 0.0490 1.0000 | 0.1107 0.9799 | Time: 2.6076 | TEST: 1.2747 0.7043 | 0.1332 0.9590 | 0.1108 0.9778 | Time: 3.0473
Epoch: 0003 | TRAIN: 0.7924 0.7849 | 0.0097 1.0000 | 0.0135 1.0000 | Time: 43.7698 | VAL: 1.2005 0.7029 | 0.0458 0.9888 | 0.1022 0.9799 | Time: 2.5738 | TEST: 1.1985 0.7094 | 0.1287 0.9672 | 0.1019 0.9722 | Time: 3.2327
Epoch: 0004 | TRAIN: 0.6837 0.8233 | 0.0071 1.0000 | 0.0094 1.0000 | Time: 43.2991 | VAL: 1.1263 0.7156 | 0.0504 0.9775 | 0.1119 0.9732 | Time: 2.5322 | TEST: 1.1164 0.7197 | 0.1390 0.9672 | 0.0899 0.9778 | Time: 3.1553
Epoch: 0005 | TRAIN: 0.5841 0.8540 | 0.0062 1.0000 | 0.0073 1.0000 | Time: 43.4538 | VAL: 1.0878 0.7083 | 0.0402 1.0000 | 0.0947 0.9799 | Time: 2.5793 | TEST: 1.0797 0.7368 | 0.1045 0.9754 | 0.0822 0.9778 | Time: 2.9994
Epoch: 0006 | TRAIN: 0.5087 0.8654 | 0.0047 1.0000 | 0.0056 1.0000 | Time: 43.3707 | VAL: 1.0467 0.7174 | 0.0327 1.0000 | 0.0914 0.9799 | Time: 2.5267 | TEST: 1.0410 0.7419 | 0.1238 0.9672 | 0.0669 0.9778 | Time: 2.9448
Epoch: 0007 | TRAIN: 0.4586 0.8762 | 0.0041 1.0000 | 0.0046 1.0000 | Time: 43.5735 | VAL: 1.0207 0.7373 | 0.0291 1.0000 | 0.0895 0.9799 | Time: 2.5094 | TEST: 1.0037 0.7641 | 0.1131 0.9672 | 0.0671 0.9778 | Time: 3.2309
Epoch: 0008 | TRAIN: 0.3542 0.9117 | 0.0033 1.0000 | 0.0039 1.0000 | Time: 43.6737 | VAL: 0.9919 0.7283 | 0.0310 1.0000 | 0.0877 0.9799 | Time: 2.5470 | TEST: 0.9869 0.7521 | 0.1101 0.9672 | 0.0683 0.9889 | Time: 3.0767
Epoch: 0009 | TRAIN: 0.2967 0.9345 | 0.0029 1.0000 | 0.0034 1.0000 | Time: 43.0773 | VAL: 0.9976 0.7228 | 0.0306 1.0000 | 0.0898 0.9732 | Time: 2.8166 | TEST: 0.9897 0.7556 | 0.1175 0.9672 | 0.0688 0.9778 | Time: 3.0288
Epoch: 0010 | TRAIN: 0.2361 0.9591 | 0.0025 1.0000 | 0.0030 1.0000 | Time: 43.8164 | VAL: 0.9610 0.7301 | 0.0270 1.0000 | 0.0895 0.9799 | Time: 2.5945 | TEST: 0.9520 0.7590 | 0.1092 0.9672 | 0.0652 0.9833 | Time: 3.0803
