========================================
General Configuration:
	Wighting: MoCo
	Architecture: HPS
	Rep_Grad: False
	Multi_Input: True
	Seed: 0
	Device: cuda:0
MoCo Configuration:
	weighting: MoCo
	beta_moco: 1.0
	gamma_moco: 1.0
	rho_moco: 0.1
	moco_gn: none
Optimizer Configuration:
	optim: adam
	lr: 0.001
	weight_decay: 1e-05
========================================
Total Params: 11487901
Trainable Params: 11487901
Non-trainable Params: 0
========================================
LOG FORMAT | amazon_LOSS Acc | dslr_LOSS Acc | webcam_LOSS Acc | TIME
Epoch: 0000 | TRAIN: 2.1201 0.4657 | 1.5761 0.6989 | 2.0165 0.5270 | Time: 40.2474 | VAL: 1.5603 0.6232 | 0.8295 0.8764 | 0.8835 0.8188 | Time: 2.4669 | TEST: 1.5204 0.6188 | 0.9802 0.8115 | 0.8991 0.8333 | Time: 2.8715
Epoch: 0001 | TRAIN: 1.1833 0.7133 | 0.2844 0.9868 | 0.3322 0.9585 | Time: 39.9395 | VAL: 1.1611 0.7156 | 0.3229 0.9663 | 0.2899 0.9597 | Time: 2.4056 | TEST: 1.1342 0.7231 | 0.3090 0.9426 | 0.3327 0.9444 | Time: 2.8530
Epoch: 0002 | TRAIN: 0.7347 0.8185 | 0.0336 1.0000 | 0.0703 0.9982 | Time: 39.9648 | VAL: 0.9750 0.7482 | 0.1337 0.9663 | 0.1554 0.9799 | Time: 2.4327 | TEST: 0.9421 0.7487 | 0.1801 0.9508 | 0.1643 0.9722 | Time: 2.8967
Epoch: 0003 | TRAIN: 0.5097 0.8786 | 0.0116 1.0000 | 0.0231 1.0000 | Time: 39.9124 | VAL: 0.9020 0.7627 | 0.0743 0.9888 | 0.1034 0.9933 | Time: 2.4034 | TEST: 0.8515 0.7761 | 0.1276 0.9590 | 0.1215 0.9778 | Time: 2.8496
Epoch: 0004 | TRAIN: 0.4044 0.9032 | 0.0082 1.0000 | 0.0136 1.0000 | Time: 39.8546 | VAL: 0.8521 0.7862 | 0.0753 0.9775 | 0.0896 0.9866 | Time: 2.4297 | TEST: 0.8143 0.7795 | 0.1325 0.9590 | 0.1026 0.9667 | Time: 2.8847
Epoch: 0005 | TRAIN: 0.3161 0.9297 | 0.0067 1.0000 | 0.0098 1.0000 | Time: 39.8751 | VAL: 0.8231 0.7953 | 0.0627 0.9888 | 0.0809 0.9866 | Time: 2.4050 | TEST: 0.7815 0.7949 | 0.1236 0.9590 | 0.0929 0.9667 | Time: 2.8607
Epoch: 0006 | TRAIN: 0.2483 0.9375 | 0.0055 1.0000 | 0.0077 1.0000 | Time: 39.9059 | VAL: 0.7994 0.8043 | 0.0577 1.0000 | 0.0717 0.9866 | Time: 2.4191 | TEST: 0.7697 0.7897 | 0.1363 0.9590 | 0.0784 0.9722 | Time: 2.8604
Epoch: 0007 | TRAIN: 0.1975 0.9597 | 0.0045 1.0000 | 0.0057 1.0000 | Time: 39.9480 | VAL: 0.7936 0.8062 | 0.0509 1.0000 | 0.0716 0.9866 | Time: 2.4266 | TEST: 0.7581 0.7949 | 0.1243 0.9590 | 0.0765 0.9667 | Time: 2.8513
Epoch: 0008 | TRAIN: 0.1383 0.9760 | 0.0039 1.0000 | 0.0049 1.0000 | Time: 40.0563 | VAL: 0.8015 0.7971 | 0.0493 0.9888 | 0.0721 0.9866 | Time: 2.4428 | TEST: 0.7632 0.8000 | 0.1110 0.9672 | 0.0701 0.9722 | Time: 2.9048
Epoch: 0009 | TRAIN: 0.1116 0.9790 | 0.0034 1.0000 | 0.0041 1.0000 | Time: 40.1104 | VAL: 0.7871 0.7971 | 0.0433 1.0000 | 0.0677 0.9866 | Time: 2.4305 | TEST: 0.7420 0.8017 | 0.1231 0.9590 | 0.0748 0.9667 | Time: 2.8828
Epoch: 0010 | TRAIN: 0.0781 0.9850 | 0.0030 1.0000 | 0.0039 1.0000 | Time: 40.1176 | VAL: 0.7854 0.7989 | 0.0421 1.0000 | 0.0691 0.9799 | Time: 2.4210 | TEST: 0.7299 0.8051 | 0.1176 0.9590 | 0.0744 0.9667 | Time: 2.9092
