========================================
General Configuration:
	Wighting: MoCo
	Architecture: HPS
	Rep_Grad: False
	Multi_Input: True
	Seed: 0
	Device: cuda:0
MoCo Configuration:
	weighting: MoCo
	beta_moco: 1.0
	gamma_moco: 0.01
	rho_moco: 0.1
	moco_gn: none
Optimizer Configuration:
	optim: adam
	lr: 1e-05
	weight_decay: 1e-05
========================================
Total Params: 11487901
Trainable Params: 11487901
Non-trainable Params: 0
========================================
LOG FORMAT | amazon_LOSS Acc | dslr_LOSS Acc | webcam_LOSS Acc | TIME
Epoch: 0000 | TRAIN: 3.4866 0.0487 | 3.3400 0.0835 | 3.3615 0.0865 | Time: 40.3410 | VAL: 3.3509 0.0670 | 3.1943 0.1236 | 3.1832 0.1745 | Time: 2.4216 | TEST: 3.3129 0.0718 | 3.2034 0.1066 | 3.1671 0.2222 | Time: 2.8990
Epoch: 0001 | TRAIN: 3.2633 0.1046 | 2.9359 0.2188 | 2.9183 0.2566 | Time: 39.7637 | VAL: 3.1539 0.1884 | 2.9381 0.2921 | 2.8824 0.3758 | Time: 2.3979 | TEST: 3.1195 0.2222 | 2.9525 0.3443 | 2.8872 0.3611 | Time: 2.8462
Epoch: 0002 | TRAIN: 3.0478 0.2055 | 2.6086 0.4153 | 2.5632 0.4309 | Time: 39.8926 | VAL: 2.9711 0.2790 | 2.6929 0.4607 | 2.6123 0.4832 | Time: 2.4022 | TEST: 2.9397 0.3248 | 2.7148 0.4590 | 2.6344 0.5278 | Time: 2.8569
Epoch: 0003 | TRAIN: 2.8695 0.2963 | 2.2493 0.6316 | 2.2288 0.6094 | Time: 39.8593 | VAL: 2.8170 0.3804 | 2.4547 0.5730 | 2.3822 0.5973 | Time: 2.4284 | TEST: 2.7878 0.4222 | 2.4793 0.5902 | 2.4162 0.6111 | Time: 2.8733
Epoch: 0004 | TRAIN: 2.6955 0.3864 | 1.9653 0.7776 | 1.9723 0.7260 | Time: 39.6849 | VAL: 2.6859 0.4583 | 2.2374 0.7303 | 2.2035 0.6846 | Time: 2.4083 | TEST: 2.6586 0.4803 | 2.2643 0.6803 | 2.2459 0.6833 | Time: 2.8619
Epoch: 0005 | TRAIN: 2.5703 0.4327 | 1.6857 0.8870 | 1.7532 0.8185 | Time: 39.6722 | VAL: 2.5821 0.5054 | 2.0517 0.7978 | 2.0495 0.7248 | Time: 2.4130 | TEST: 2.5593 0.5316 | 2.0848 0.7705 | 2.0977 0.7444 | Time: 2.8754
Epoch: 0006 | TRAIN: 2.4389 0.5102 | 1.4358 0.9507 | 1.5578 0.8720 | Time: 39.7585 | VAL: 2.4920 0.5543 | 1.8716 0.8427 | 1.9065 0.7852 | Time: 2.3709 | TEST: 2.4705 0.5812 | 1.9108 0.7951 | 1.9612 0.8056 | Time: 2.8101
Epoch: 0007 | TRAIN: 2.3740 0.5180 | 1.2469 0.9790 | 1.4150 0.9062 | Time: 39.7677 | VAL: 2.4102 0.5888 | 1.7065 0.8764 | 1.7742 0.8322 | Time: 2.3873 | TEST: 2.3905 0.6017 | 1.7588 0.8361 | 1.8357 0.8444 | Time: 2.8594
Epoch: 0008 | TRAIN: 2.2402 0.5781 | 1.0630 0.9880 | 1.2410 0.9453 | Time: 39.7439 | VAL: 2.3504 0.6051 | 1.5683 0.8764 | 1.6738 0.8523 | Time: 2.3720 | TEST: 2.3332 0.6188 | 1.6303 0.8689 | 1.7382 0.8500 | Time: 2.8200
Epoch: 0009 | TRAIN: 2.1853 0.5877 | 0.9131 0.9976 | 1.1315 0.9573 | Time: 39.7000 | VAL: 2.2899 0.6250 | 1.4566 0.8876 | 1.5891 0.8591 | Time: 2.4154 | TEST: 2.2741 0.6393 | 1.5196 0.8852 | 1.6600 0.8778 | Time: 2.8747
Epoch: 0010 | TRAIN: 2.1222 0.6274 | 0.7838 0.9982 | 1.0198 0.9712 | Time: 39.6037 | VAL: 2.2508 0.6504 | 1.3321 0.9101 | 1.5156 0.8859 | Time: 2.4295 | TEST: 2.2358 0.6564 | 1.4080 0.9016 | 1.5886 0.8889 | Time: 2.8855
