========================================
General Configuration:
	Wighting: MoCo
	Architecture: HPS
	Rep_Grad: False
	Multi_Input: True
	Seed: 0
	Device: cuda:0
MoCo Configuration:
	weighting: MoCo
	beta_moco: 1.0
	gamma_moco: 1.0
	rho_moco: 0.1
	moco_gn: none
Optimizer Configuration:
	optim: adam
	lr: 1e-05
	weight_decay: 1e-05
========================================
Total Params: 11487901
Trainable Params: 11487901
Non-trainable Params: 0
========================================
LOG FORMAT | amazon_LOSS Acc | dslr_LOSS Acc | webcam_LOSS Acc | TIME
Epoch: 0000 | TRAIN: 3.4810 0.0523 | 3.4423 0.0607 | 3.4596 0.0571 | Time: 40.3186 | VAL: 3.3454 0.0634 | 3.2619 0.1124 | 3.3674 0.0805 | Time: 2.4218 | TEST: 3.3060 0.0855 | 3.2636 0.0984 | 3.3316 0.1056 | Time: 2.8886
Epoch: 0001 | TRAIN: 3.2509 0.1154 | 3.0418 0.1749 | 3.2375 0.1280 | Time: 39.9834 | VAL: 3.1659 0.1793 | 3.0155 0.2584 | 3.1778 0.1879 | Time: 2.4098 | TEST: 3.1281 0.2085 | 3.0188 0.2541 | 3.1597 0.2278 | Time: 2.8791
Epoch: 0002 | TRAIN: 3.0623 0.1923 | 2.6724 0.3792 | 3.0192 0.2019 | Time: 39.9968 | VAL: 3.0280 0.2591 | 2.7303 0.4607 | 2.9777 0.3020 | Time: 2.4452 | TEST: 2.9933 0.2821 | 2.7458 0.4754 | 2.9731 0.3056 | Time: 2.9030
Epoch: 0003 | TRAIN: 2.9490 0.2548 | 2.2746 0.6346 | 2.6936 0.3762 | Time: 40.0311 | VAL: 2.9168 0.3116 | 2.4853 0.5618 | 2.7450 0.4161 | Time: 2.4322 | TEST: 2.8825 0.3470 | 2.5023 0.5820 | 2.7570 0.4444 | Time: 2.8754
Epoch: 0004 | TRAIN: 2.8056 0.3281 | 1.9819 0.7668 | 2.4600 0.5012 | Time: 39.9450 | VAL: 2.8040 0.3804 | 2.2655 0.6742 | 2.5985 0.4966 | Time: 2.4217 | TEST: 2.7722 0.3983 | 2.2841 0.6557 | 2.6223 0.5278 | Time: 2.8857
Epoch: 0005 | TRAIN: 2.7098 0.3600 | 1.7245 0.8642 | 2.2373 0.6202 | Time: 39.8784 | VAL: 2.7552 0.4058 | 2.1046 0.7303 | 2.3768 0.6040 | Time: 2.4122 | TEST: 2.7261 0.4410 | 2.1214 0.7459 | 2.4135 0.6167 | Time: 2.8718
Epoch: 0006 | TRAIN: 2.6595 0.4026 | 1.4904 0.9351 | 1.9547 0.7392 | Time: 39.9466 | VAL: 2.7397 0.4293 | 1.9331 0.8090 | 2.1660 0.7047 | Time: 2.4388 | TEST: 2.7116 0.4581 | 1.9528 0.7951 | 2.2107 0.7000 | Time: 2.8878
Epoch: 0007 | TRAIN: 2.6901 0.3750 | 1.3169 0.9712 | 1.7306 0.8293 | Time: 40.0640 | VAL: 2.7423 0.4366 | 1.7778 0.8539 | 1.9717 0.7517 | Time: 2.4157 | TEST: 2.7158 0.4564 | 1.8094 0.8443 | 2.0257 0.7833 | Time: 2.8416
Epoch: 0008 | TRAIN: 2.6466 0.4069 | 1.1437 0.9796 | 1.4859 0.8858 | Time: 39.8810 | VAL: 2.7510 0.4384 | 1.6521 0.8652 | 1.8209 0.8322 | Time: 2.4270 | TEST: 2.7259 0.4632 | 1.6922 0.8443 | 1.8834 0.8278 | Time: 2.8845
Epoch: 0009 | TRAIN: 2.6680 0.3888 | 1.0095 0.9934 | 1.3267 0.9195 | Time: 39.5853 | VAL: 2.7499 0.4438 | 1.5491 0.8539 | 1.6900 0.8389 | Time: 2.4059 | TEST: 2.7232 0.4752 | 1.5918 0.8770 | 1.7632 0.8444 | Time: 2.8550
Epoch: 0010 | TRAIN: 2.6711 0.3990 | 0.8972 0.9970 | 1.1708 0.9537 | Time: 39.6571 | VAL: 2.7578 0.4275 | 1.4367 0.8989 | 1.5771 0.8725 | Time: 2.4138 | TEST: 2.7324 0.4667 | 1.4889 0.9016 | 1.6569 0.8667 | Time: 2.8728
