========================================
General Configuration:
	Wighting: MoDo
	Architecture: HPS
	Rep_Grad: False
	Multi_Input: True
	Seed: 0
	Device: cuda:0
MoDo Configuration:
	weighting: MoDo
	gamma_modo: 0.1
	rho_modo: 0.01
	modo_gn: none
Optimizer Configuration:
	optim: adam
	lr: 0.001
	weight_decay: 1e-05
========================================
Total Params: 11487901
Trainable Params: 11487901
Non-trainable Params: 0
========================================
LOG FORMAT | amazon_LOSS Acc | dslr_LOSS Acc | webcam_LOSS Acc | TIME
Epoch: 0000 | TRAIN: 1.4385 0.6553 | 0.6823 0.8867 | 0.6495 0.8861 | Time: 122.4092 | VAL: 0.9967 0.7645 | 0.1493 0.9888 | 0.1651 0.9866 | Time: 2.5182 | TEST: 0.9805 0.7829 | 0.2135 0.9672 | 0.1735 0.9722 | Time: 2.9412
Epoch: 0001 | TRAIN: 0.2989 0.9402 | 0.0175 1.0000 | 0.0195 1.0000 | Time: 121.8785 | VAL: 0.8635 0.7989 | 0.0619 1.0000 | 0.1198 0.9866 | Time: 2.5614 | TEST: 0.8120 0.8103 | 0.1082 0.9836 | 0.1178 0.9833 | Time: 3.0997
Epoch: 0002 | TRAIN: 0.0845 0.9928 | 0.0082 1.0000 | 0.0083 1.0000 | Time: 121.7975 | VAL: 0.8110 0.7917 | 0.0352 1.0000 | 0.0963 0.9866 | Time: 2.5864 | TEST: 0.7731 0.8120 | 0.0946 0.9836 | 0.0968 0.9722 | Time: 3.0085
Epoch: 0003 | TRAIN: 0.0279 0.9991 | 0.0045 1.0000 | 0.0048 1.0000 | Time: 121.8631 | VAL: 0.7984 0.8098 | 0.0298 1.0000 | 0.0947 0.9866 | Time: 2.5784 | TEST: 0.7535 0.8017 | 0.0937 0.9754 | 0.0925 0.9833 | Time: 3.0467
Epoch: 0004 | TRAIN: 0.0277 0.9961 | 0.0036 1.0000 | 0.0035 1.0000 | Time: 121.4886 | VAL: 0.8155 0.8116 | 0.0217 1.0000 | 0.1013 0.9799 | Time: 2.5305 | TEST: 0.7766 0.8034 | 0.0719 0.9836 | 0.0880 0.9778 | Time: 3.0156
Epoch: 0005 | TRAIN: 0.0365 0.9940 | 0.0028 1.0000 | 0.0030 1.0000 | Time: 121.8576 | VAL: 0.7665 0.8134 | 0.0354 1.0000 | 0.0852 0.9866 | Time: 2.4726 | TEST: 0.7216 0.8188 | 0.0942 0.9836 | 0.1222 0.9667 | Time: 2.9706
Epoch: 0006 | TRAIN: 0.0624 0.9877 | 0.0025 1.0000 | 0.0027 1.0000 | Time: 122.2455 | VAL: 0.9747 0.7627 | 0.0291 1.0000 | 0.0978 0.9866 | Time: 2.6823 | TEST: 0.8864 0.7709 | 0.1043 0.9672 | 0.1225 0.9722 | Time: 3.0212
Epoch: 0007 | TRAIN: 0.0358 0.9919 | 0.0021 1.0000 | 0.0023 1.0000 | Time: 122.1677 | VAL: 0.8331 0.8062 | 0.0238 1.0000 | 0.0997 0.9799 | Time: 2.5853 | TEST: 0.7520 0.8051 | 0.0933 0.9836 | 0.0934 0.9778 | Time: 3.0179
Epoch: 0008 | TRAIN: 0.0289 0.9943 | 0.0015 1.0000 | 0.0017 1.0000 | Time: 122.5572 | VAL: 0.7817 0.7989 | 0.0431 0.9888 | 0.1028 0.9799 | Time: 2.4882 | TEST: 0.7239 0.8120 | 0.0725 0.9754 | 0.0687 0.9833 | Time: 3.0031
Epoch: 0009 | TRAIN: 0.0073 0.9997 | 0.0012 1.0000 | 0.0012 1.0000 | Time: 122.2017 | VAL: 0.7593 0.8062 | 0.0260 1.0000 | 0.0913 0.9799 | Time: 2.5634 | TEST: 0.6872 0.8188 | 0.0731 0.9754 | 0.0748 0.9778 | Time: 3.0410
Epoch: 0010 | TRAIN: 0.0034 1.0000 | 0.0009 1.0000 | 0.0009 1.0000 | Time: 122.3251 | VAL: 0.7762 0.8025 | 0.0184 1.0000 | 0.0906 0.9866 | Time: 2.6358 | TEST: 0.7072 0.8188 | 0.0698 0.9836 | 0.0797 0.9778 | Time: 3.0216
