========================================
General Configuration:
	Wighting: MoDo
	Architecture: HPS
	Rep_Grad: False
	Multi_Input: True
	Seed: 0
	Device: cuda:0
MoDo Configuration:
	weighting: MoDo
	gamma_modo: 1.0
	rho_modo: 1.0
	modo_gn: none
Optimizer Configuration:
	optim: adam
	lr: 0.0001
	weight_decay: 1e-05
========================================
Total Params: 11487901
Trainable Params: 11487901
Non-trainable Params: 0
========================================
LOG FORMAT | amazon_LOSS Acc | dslr_LOSS Acc | webcam_LOSS Acc | TIME
Epoch: 0000 | TRAIN: 2.4080 0.4594 | 1.7766 0.7350 | 2.1228 0.5712 | Time: 117.0738 | VAL: 1.8344 0.7192 | 1.3020 0.9213 | 1.2315 0.8792 | Time: 2.4276 | TEST: 1.8293 0.7282 | 1.3221 0.8852 | 1.2879 0.9111 | Time: 2.8855
Epoch: 0001 | TRAIN: 1.4558 0.7614 | 0.5087 0.9958 | 0.5447 0.9907 | Time: 116.6837 | VAL: 1.2644 0.7790 | 0.6639 1.0000 | 0.7885 0.9530 | Time: 2.3946 | TEST: 1.2775 0.7880 | 0.7497 0.9426 | 0.8810 0.9611 | Time: 2.8397
Epoch: 0002 | TRAIN: 0.8778 0.8720 | 0.2099 1.0000 | 0.2670 1.0000 | Time: 116.5418 | VAL: 1.0256 0.8261 | 0.4934 1.0000 | 0.5491 0.9732 | Time: 2.3876 | TEST: 1.0486 0.8205 | 0.5886 0.9590 | 0.6328 0.9611 | Time: 2.8408
Epoch: 0003 | TRAIN: 0.5576 0.9372 | 0.1183 1.0000 | 0.1457 1.0000 | Time: 116.9809 | VAL: 0.8786 0.8478 | 0.4464 1.0000 | 0.4518 0.9799 | Time: 2.4244 | TEST: 0.9059 0.8342 | 0.5325 0.9754 | 0.5355 0.9611 | Time: 2.8664
Epoch: 0004 | TRAIN: 0.3364 0.9733 | 0.0838 1.0000 | 0.0950 1.0000 | Time: 116.4461 | VAL: 0.8119 0.8605 | 0.3938 1.0000 | 0.3719 0.9799 | Time: 2.4124 | TEST: 0.8376 0.8479 | 0.4719 0.9754 | 0.4568 0.9611 | Time: 2.8648
Epoch: 0005 | TRAIN: 0.2069 0.9916 | 0.0597 1.0000 | 0.0702 1.0000 | Time: 116.9068 | VAL: 0.7757 0.8605 | 0.3699 1.0000 | 0.3576 0.9732 | Time: 2.3625 | TEST: 0.7888 0.8427 | 0.4629 0.9754 | 0.4386 0.9611 | Time: 2.8425
Epoch: 0006 | TRAIN: 0.1329 0.9991 | 0.0460 1.0000 | 0.0504 1.0000 | Time: 116.5262 | VAL: 0.7526 0.8569 | 0.3526 1.0000 | 0.3399 0.9799 | Time: 2.3948 | TEST: 0.7669 0.8496 | 0.4491 0.9672 | 0.4261 0.9556 | Time: 2.8746
Epoch: 0007 | TRAIN: 0.0902 1.0000 | 0.0379 1.0000 | 0.0423 1.0000 | Time: 116.7542 | VAL: 0.7180 0.8587 | 0.3275 1.0000 | 0.3152 0.9799 | Time: 2.3803 | TEST: 0.7271 0.8530 | 0.4265 0.9754 | 0.3896 0.9611 | Time: 2.8319
Epoch: 0008 | TRAIN: 0.0653 1.0000 | 0.0302 1.0000 | 0.0349 1.0000 | Time: 116.7732 | VAL: 0.6891 0.8605 | 0.3312 1.0000 | 0.2992 0.9799 | Time: 2.3962 | TEST: 0.7008 0.8564 | 0.4195 0.9754 | 0.3729 0.9611 | Time: 2.8249
Epoch: 0009 | TRAIN: 0.0497 1.0000 | 0.0260 1.0000 | 0.0289 1.0000 | Time: 116.7220 | VAL: 0.6776 0.8551 | 0.3257 1.0000 | 0.2880 0.9799 | Time: 2.3835 | TEST: 0.6862 0.8513 | 0.4042 0.9754 | 0.3632 0.9667 | Time: 2.8353
Epoch: 0010 | TRAIN: 0.0401 1.0000 | 0.0219 1.0000 | 0.0247 1.0000 | Time: 116.1839 | VAL: 0.6691 0.8605 | 0.3041 1.0000 | 0.2831 0.9799 | Time: 2.4007 | TEST: 0.6745 0.8462 | 0.3964 0.9754 | 0.3562 0.9556 | Time: 2.8474
Epoch: 0011 | TRAIN: 0.0328 1.0000 | 0.0192 1.0000 | 0.0212 1.0000 | Time: 116.4640 | VAL: 0.6504 0.8623 | 0.2998 1.0000 | 0.2729 0.9799 | Time: 2.4082 | TEST: 0.6668 0.8479 | 0.3902 0.9754 | 0.3469 0.9667 | Time: 2.8384
Epoch: 0012 | TRAIN: 0.0297 1.0000 | 0.0165 1.0000 | 0.0173 1.0000 | Time: 116.8468 | VAL: 0.6580 0.8605 | 0.2944 1.0000 | 0.2651 0.9799 | Time: 2.3902 | TEST: 0.6666 0.8462 | 0.3861 0.9672 | 0.3452 0.9611 | Time: 2.8570
Epoch: 0013 | TRAIN: 0.0253 1.0000 | 0.0142 1.0000 | 0.0166 1.0000 | Time: 116.7064 | VAL: 0.6466 0.8641 | 0.2908 1.0000 | 0.2629 0.9799 | Time: 2.4310 | TEST: 0.6520 0.8530 | 0.3784 0.9672 | 0.3361 0.9667 | Time: 2.8890
Epoch: 0014 | TRAIN: 0.0227 1.0000 | 0.0128 1.0000 | 0.0145 1.0000 | Time: 116.7707 | VAL: 0.6387 0.8641 | 0.2814 1.0000 | 0.2402 0.9799 | Time: 2.3974 | TEST: 0.6472 0.8479 | 0.3658 0.9672 | 0.3124 0.9611 | Time: 2.8667
Epoch: 0015 | TRAIN: 0.0198 1.0000 | 0.0123 1.0000 | 0.0132 1.0000 | Time: 116.4375 | VAL: 0.6365 0.8641 | 0.2846 1.0000 | 0.2444 0.9799 | Time: 2.3770 | TEST: 0.6483 0.8513 | 0.3595 0.9754 | 0.3227 0.9611 | Time: 2.8153
Epoch: 0016 | TRAIN: 0.0171 1.0000 | 0.0108 1.0000 | 0.0111 1.0000 | Time: 116.4151 | VAL: 0.6334 0.8641 | 0.2702 1.0000 | 0.2300 0.9799 | Time: 2.3885 | TEST: 0.6442 0.8547 | 0.3526 0.9754 | 0.3077 0.9611 | Time: 2.8366
Epoch: 0017 | TRAIN: 0.0153 1.0000 | 0.0100 1.0000 | 0.0104 1.0000 | Time: 116.3976 | VAL: 0.6332 0.8623 | 0.2738 0.9888 | 0.2292 0.9799 | Time: 2.3847 | TEST: 0.6383 0.8410 | 0.3547 0.9672 | 0.3074 0.9611 | Time: 2.8306
Epoch: 0018 | TRAIN: 0.0141 1.0000 | 0.0087 1.0000 | 0.0095 1.0000 | Time: 116.6517 | VAL: 0.6246 0.8605 | 0.2620 0.9888 | 0.2404 0.9799 | Time: 2.3952 | TEST: 0.6356 0.8513 | 0.3482 0.9672 | 0.3034 0.9556 | Time: 2.8226
Epoch: 0019 | TRAIN: 0.0128 1.0000 | 0.0078 1.0000 | 0.0089 1.0000 | Time: 116.3775 | VAL: 0.6210 0.8678 | 0.2586 1.0000 | 0.2253 0.9799 | Time: 2.3962 | TEST: 0.6243 0.8564 | 0.3392 0.9754 | 0.2959 0.9611 | Time: 2.8589
