========================================
General Configuration:
	Wighting: MoDo
	Architecture: HPS
	Rep_Grad: False
	Multi_Input: True
	Seed: 0
	Device: cuda:0
MoDo Configuration:
	weighting: MoDo
	gamma_modo: 0.01
	rho_modo: 0.1
	modo_gn: none
Optimizer Configuration:
	optim: adam
	lr: 1e-05
	weight_decay: 1e-05
========================================
Total Params: 11487901
Trainable Params: 11487901
Non-trainable Params: 0
========================================
LOG FORMAT | amazon_LOSS Acc | dslr_LOSS Acc | webcam_LOSS Acc | TIME
Epoch: 0000 | TRAIN: 3.3019 0.1124 | 3.1165 0.1632 | 3.1976 0.1460 | Time: 117.2904 | VAL: 2.9831 0.2880 | 2.8693 0.3483 | 2.9399 0.3221 | Time: 2.4111 | TEST: 2.9470 0.3214 | 2.8782 0.3689 | 2.9453 0.3222 | Time: 2.8569
Epoch: 0001 | TRAIN: 2.7209 0.3576 | 2.3661 0.5619 | 2.4944 0.4766 | Time: 116.8267 | VAL: 2.5471 0.5217 | 2.3541 0.6404 | 2.4224 0.5906 | Time: 2.4194 | TEST: 2.5148 0.5453 | 2.3640 0.6393 | 2.4526 0.6278 | Time: 2.8719
Epoch: 0002 | TRAIN: 2.3361 0.5358 | 1.7789 0.8419 | 1.9756 0.7197 | Time: 117.1220 | VAL: 2.2546 0.6232 | 1.9175 0.8427 | 2.0707 0.7383 | Time: 2.4260 | TEST: 2.2291 0.6410 | 1.9469 0.7869 | 2.1165 0.7722 | Time: 2.8659
Epoch: 0003 | TRAIN: 2.0678 0.6385 | 1.2908 0.9669 | 1.6018 0.8555 | Time: 117.4199 | VAL: 2.0515 0.7029 | 1.6047 0.8876 | 1.8153 0.8121 | Time: 2.4188 | TEST: 2.0339 0.6889 | 1.6492 0.8361 | 1.8743 0.8333 | Time: 2.8780
Epoch: 0004 | TRAIN: 1.8560 0.7049 | 0.9799 0.9907 | 1.3222 0.9294 | Time: 117.1077 | VAL: 1.9068 0.7319 | 1.3753 0.8989 | 1.6029 0.8658 | Time: 2.3946 | TEST: 1.8943 0.7094 | 1.4207 0.8852 | 1.6694 0.8722 | Time: 2.8927
Epoch: 0005 | TRAIN: 1.7095 0.7500 | 0.7302 0.9970 | 1.1014 0.9606 | Time: 117.0035 | VAL: 1.8000 0.7428 | 1.1647 0.9326 | 1.4649 0.9195 | Time: 2.4270 | TEST: 1.7921 0.7350 | 1.2389 0.9180 | 1.5407 0.9111 | Time: 2.8735
Epoch: 0006 | TRAIN: 1.5989 0.7560 | 0.5498 1.0000 | 0.9273 0.9811 | Time: 116.8266 | VAL: 1.7399 0.7536 | 1.0248 0.9663 | 1.3480 0.9195 | Time: 2.4097 | TEST: 1.7355 0.7385 | 1.1032 0.9262 | 1.4300 0.9111 | Time: 2.9212
Epoch: 0007 | TRAIN: 1.4995 0.7870 | 0.4309 1.0000 | 0.7989 0.9919 | Time: 116.7701 | VAL: 1.6557 0.7609 | 0.8979 0.9888 | 1.2400 0.9329 | Time: 2.4009 | TEST: 1.6528 0.7436 | 0.9827 0.9180 | 1.3205 0.9278 | Time: 2.8368
Epoch: 0008 | TRAIN: 1.4129 0.8098 | 0.3386 1.0000 | 0.7033 0.9967 | Time: 116.8390 | VAL: 1.6063 0.7627 | 0.8264 0.9888 | 1.1719 0.9530 | Time: 2.3842 | TEST: 1.6070 0.7692 | 0.9145 0.9262 | 1.2586 0.9222 | Time: 2.8888
Epoch: 0009 | TRAIN: 1.3471 0.8260 | 0.2843 1.0000 | 0.6201 0.9970 | Time: 117.0751 | VAL: 1.5693 0.7754 | 0.7604 0.9888 | 1.0934 0.9530 | Time: 2.4519 | TEST: 1.5654 0.7709 | 0.8442 0.9262 | 1.1847 0.9389 | Time: 2.8722
Epoch: 0010 | TRAIN: 1.2927 0.8308 | 0.2372 1.0000 | 0.5363 0.9988 | Time: 116.9901 | VAL: 1.5504 0.7681 | 0.7164 1.0000 | 1.0466 0.9597 | Time: 2.3707 | TEST: 1.5453 0.7744 | 0.8093 0.9262 | 1.1392 0.9444 | Time: 2.8189
Epoch: 0011 | TRAIN: 1.2293 0.8537 | 0.2064 1.0000 | 0.4742 0.9994 | Time: 117.1721 | VAL: 1.5091 0.7808 | 0.6775 0.9888 | 0.9791 0.9664 | Time: 2.4126 | TEST: 1.5112 0.7778 | 0.7700 0.9344 | 1.0767 0.9556 | Time: 2.8506
Epoch: 0012 | TRAIN: 1.1894 0.8558 | 0.1788 1.0000 | 0.4138 0.9994 | Time: 117.2307 | VAL: 1.4766 0.7808 | 0.6436 0.9888 | 0.9333 0.9732 | Time: 2.4234 | TEST: 1.4800 0.7880 | 0.7377 0.9344 | 1.0352 0.9444 | Time: 2.8802
Epoch: 0013 | TRAIN: 1.1424 0.8657 | 0.1567 1.0000 | 0.3824 1.0000 | Time: 116.9487 | VAL: 1.4461 0.7826 | 0.6301 0.9888 | 0.9041 0.9664 | Time: 2.4270 | TEST: 1.4509 0.7829 | 0.7223 0.9508 | 1.0010 0.9556 | Time: 2.8586
