========================================
General Configuration:
	Wighting: MoDo
	Architecture: HPS
	Rep_Grad: False
	Multi_Input: True
	Seed: 0
	Device: cuda:0
MoDo Configuration:
	weighting: MoDo
	gamma_modo: 0.1
	rho_modo: 1.0
	modo_gn: none
Optimizer Configuration:
	optim: adam
	lr: 1e-05
	weight_decay: 1e-05
========================================
Total Params: 11487901
Trainable Params: 11487901
Non-trainable Params: 0
========================================
LOG FORMAT | amazon_LOSS Acc | dslr_LOSS Acc | webcam_LOSS Acc | TIME
Epoch: 0000 | TRAIN: 3.4302 0.0640 | 3.1495 0.1496 | 3.2305 0.1334 | Time: 117.2603 | VAL: 3.2453 0.1123 | 2.9261 0.2809 | 2.9548 0.3221 | Time: 2.3606 | TEST: 3.2058 0.1419 | 2.9136 0.3525 | 2.9586 0.3167 | Time: 2.8392
Epoch: 0001 | TRAIN: 3.0775 0.1794 | 2.4137 0.5285 | 2.5830 0.4348 | Time: 116.8804 | VAL: 2.9278 0.3062 | 2.4238 0.5955 | 2.5320 0.5503 | Time: 2.4020 | TEST: 2.8919 0.3590 | 2.4099 0.5984 | 2.5539 0.5611 | Time: 2.8274
Epoch: 0002 | TRAIN: 2.7742 0.3344 | 1.8859 0.7963 | 2.1080 0.6656 | Time: 116.6761 | VAL: 2.6831 0.4420 | 2.0392 0.7528 | 2.1650 0.7047 | Time: 2.3729 | TEST: 2.6527 0.4803 | 2.0385 0.7623 | 2.1987 0.7111 | Time: 2.8195
Epoch: 0003 | TRAIN: 2.5575 0.4420 | 1.4467 0.9351 | 1.7057 0.8224 | Time: 116.7044 | VAL: 2.5017 0.5435 | 1.7612 0.8652 | 1.8789 0.7987 | Time: 2.3912 | TEST: 2.4771 0.5573 | 1.7762 0.8361 | 1.9347 0.7889 | Time: 2.8388
Epoch: 0004 | TRAIN: 2.3522 0.5346 | 1.1631 0.9739 | 1.4193 0.8942 | Time: 116.5438 | VAL: 2.3363 0.6232 | 1.5400 0.8764 | 1.6584 0.8456 | Time: 2.3715 | TEST: 2.3168 0.6308 | 1.5599 0.8607 | 1.7216 0.8778 | Time: 2.8248
Epoch: 0005 | TRAIN: 2.1874 0.5956 | 0.9142 0.9934 | 1.1941 0.9423 | Time: 116.9132 | VAL: 2.2038 0.6667 | 1.3260 0.9101 | 1.5130 0.8926 | Time: 2.4244 | TEST: 2.1900 0.6667 | 1.3743 0.9016 | 1.5876 0.8944 | Time: 2.8807
Epoch: 0006 | TRAIN: 2.0626 0.6448 | 0.7135 0.9982 | 1.0085 0.9721 | Time: 117.1910 | VAL: 2.1131 0.6884 | 1.1644 0.9438 | 1.3832 0.9060 | Time: 2.4379 | TEST: 2.1032 0.6889 | 1.2271 0.9098 | 1.4651 0.9000 | Time: 2.8608
Epoch: 0007 | TRAIN: 1.9461 0.6734 | 0.5703 0.9991 | 0.8656 0.9856 | Time: 116.3134 | VAL: 2.0074 0.7138 | 1.0192 0.9775 | 1.2632 0.9195 | Time: 2.3801 | TEST: 1.9990 0.7060 | 1.0904 0.9344 | 1.3433 0.9278 | Time: 2.8322
Epoch: 0008 | TRAIN: 1.8429 0.7004 | 0.4545 1.0000 | 0.7578 0.9928 | Time: 116.5631 | VAL: 1.9386 0.7355 | 0.9294 0.9775 | 1.1783 0.9329 | Time: 2.3870 | TEST: 1.9346 0.7111 | 1.0094 0.9180 | 1.2634 0.9278 | Time: 2.8214
Epoch: 0009 | TRAIN: 1.7625 0.7332 | 0.3849 1.0000 | 0.6606 0.9949 | Time: 116.7389 | VAL: 1.8840 0.7355 | 0.8527 0.9775 | 1.0922 0.9530 | Time: 2.3688 | TEST: 1.8766 0.7214 | 0.9312 0.9344 | 1.1816 0.9333 | Time: 2.8120
Epoch: 0010 | TRAIN: 1.6885 0.7377 | 0.3240 1.0000 | 0.5646 0.9979 | Time: 116.7149 | VAL: 1.8418 0.7264 | 0.7979 0.9888 | 1.0366 0.9463 | Time: 2.3876 | TEST: 1.8329 0.7248 | 0.8902 0.9262 | 1.1283 0.9278 | Time: 2.8249
Epoch: 0011 | TRAIN: 1.6007 0.7677 | 0.2830 1.0000 | 0.4939 0.9985 | Time: 116.5696 | VAL: 1.7813 0.7482 | 0.7499 0.9775 | 0.9579 0.9664 | Time: 2.3819 | TEST: 1.7784 0.7368 | 0.8432 0.9426 | 1.0539 0.9444 | Time: 2.8406
Epoch: 0012 | TRAIN: 1.5434 0.7840 | 0.2477 1.0000 | 0.4245 0.9994 | Time: 117.1332 | VAL: 1.7170 0.7409 | 0.7132 0.9888 | 0.9023 0.9732 | Time: 2.3928 | TEST: 1.7147 0.7470 | 0.8108 0.9344 | 1.0035 0.9389 | Time: 2.8366
Epoch: 0013 | TRAIN: 1.4651 0.7918 | 0.2203 1.0000 | 0.3844 1.0000 | Time: 116.8162 | VAL: 1.6619 0.7554 | 0.7025 0.9888 | 0.8629 0.9732 | Time: 2.3913 | TEST: 1.6610 0.7487 | 0.7963 0.9426 | 0.9593 0.9500 | Time: 2.8415
Epoch: 0014 | TRAIN: 1.3946 0.8023 | 0.2028 1.0000 | 0.3341 1.0000 | Time: 116.8522 | VAL: 1.6043 0.7609 | 0.6696 0.9888 | 0.7897 0.9732 | Time: 2.4269 | TEST: 1.6055 0.7590 | 0.7666 0.9262 | 0.8873 0.9500 | Time: 2.8645
Epoch: 0015 | TRAIN: 1.3461 0.8140 | 0.1911 1.0000 | 0.2975 1.0000 | Time: 116.6353 | VAL: 1.5670 0.7754 | 0.6687 0.9888 | 0.7706 0.9732 | Time: 2.4031 | TEST: 1.5685 0.7692 | 0.7601 0.9426 | 0.8738 0.9500 | Time: 2.8245
