========================================
General Configuration:
	Wighting: MoDo
	Architecture: HPS
	Rep_Grad: False
	Multi_Input: True
	Seed: 0
	Device: cuda:0
MoDo Configuration:
	weighting: MoDo
	gamma_modo: 1.0
	rho_modo: 1.0
	modo_gn: none
Optimizer Configuration:
	optim: adam
	lr: 1e-05
	weight_decay: 1e-05
========================================
Total Params: 11487901
Trainable Params: 11487901
Non-trainable Params: 0
========================================
LOG FORMAT | amazon_LOSS Acc | dslr_LOSS Acc | webcam_LOSS Acc | TIME
Epoch: 0000 | TRAIN: 3.4368 0.0634 | 3.1526 0.1526 | 3.3400 0.0977 | Time: 117.3588 | VAL: 3.2555 0.1087 | 2.9112 0.2921 | 3.1510 0.1745 | Time: 2.3778 | TEST: 3.2169 0.1350 | 2.9144 0.3279 | 3.1316 0.2389 | Time: 2.8255
Epoch: 0001 | TRAIN: 3.1339 0.1572 | 2.4463 0.5117 | 2.7917 0.3185 | Time: 117.2990 | VAL: 3.0386 0.2500 | 2.4507 0.5955 | 2.6677 0.4698 | Time: 2.4260 | TEST: 3.0035 0.2803 | 2.4606 0.6148 | 2.6778 0.4833 | Time: 2.8865
Epoch: 0002 | TRAIN: 2.9507 0.2491 | 1.9181 0.7891 | 2.2478 0.6025 | Time: 116.2922 | VAL: 2.8822 0.3279 | 2.0464 0.7640 | 2.2821 0.6577 | Time: 2.4058 | TEST: 2.8514 0.3795 | 2.0696 0.7295 | 2.3045 0.6611 | Time: 2.8289
Epoch: 0003 | TRAIN: 2.8203 0.3023 | 1.4478 0.9372 | 1.8447 0.7731 | Time: 116.6941 | VAL: 2.7724 0.4058 | 1.7433 0.8539 | 1.9766 0.7584 | Time: 2.3953 | TEST: 2.7463 0.4359 | 1.7829 0.8279 | 2.0189 0.7778 | Time: 2.8203
Epoch: 0004 | TRAIN: 2.7078 0.3705 | 1.1742 0.9745 | 1.4983 0.8759 | Time: 116.0649 | VAL: 2.6911 0.4565 | 1.5487 0.8652 | 1.7006 0.8389 | Time: 2.4071 | TEST: 2.6652 0.4786 | 1.5863 0.8689 | 1.7558 0.8722 | Time: 2.8964
Epoch: 0005 | TRAIN: 2.6429 0.4087 | 0.9482 0.9922 | 1.2186 0.9357 | Time: 116.6024 | VAL: 2.6695 0.4801 | 1.3515 0.8989 | 1.4998 0.8859 | Time: 2.4178 | TEST: 2.6470 0.5043 | 1.4034 0.8852 | 1.5663 0.8944 | Time: 2.8802
Epoch: 0006 | TRAIN: 2.6157 0.4141 | 0.7612 0.9955 | 0.9927 0.9706 | Time: 116.9156 | VAL: 2.6350 0.5072 | 1.2048 0.9101 | 1.3383 0.9060 | Time: 2.3937 | TEST: 2.6194 0.5197 | 1.2657 0.9016 | 1.4193 0.9000 | Time: 2.8542
Epoch: 0007 | TRAIN: 2.5573 0.4402 | 0.6361 0.9976 | 0.8286 0.9850 | Time: 117.1825 | VAL: 2.5713 0.5308 | 1.0813 0.9775 | 1.1912 0.9128 | Time: 2.4054 | TEST: 2.5550 0.5590 | 1.1441 0.9180 | 1.2696 0.9167 | Time: 2.8420
Epoch: 0008 | TRAIN: 2.4774 0.4766 | 0.5317 0.9994 | 0.7014 0.9967 | Time: 116.8668 | VAL: 2.4733 0.5761 | 1.0012 0.9663 | 1.1027 0.9396 | Time: 2.4425 | TEST: 2.4637 0.5829 | 1.0743 0.9344 | 1.1916 0.9167 | Time: 2.8396
Epoch: 0009 | TRAIN: 2.3737 0.5162 | 0.4648 1.0000 | 0.6132 0.9952 | Time: 117.0290 | VAL: 2.3825 0.6087 | 0.9280 0.9775 | 1.0242 0.9463 | Time: 2.3600 | TEST: 2.3714 0.6239 | 1.0018 0.9262 | 1.1180 0.9389 | Time: 2.8331
Epoch: 0010 | TRAIN: 2.2384 0.5595 | 0.4027 0.9997 | 0.5367 0.9976 | Time: 116.7259 | VAL: 2.2555 0.6395 | 0.8793 0.9888 | 0.9931 0.9396 | Time: 2.4295 | TEST: 2.2468 0.6581 | 0.9673 0.9180 | 1.0876 0.9389 | Time: 2.8921
Epoch: 0011 | TRAIN: 2.0507 0.6361 | 0.3650 1.0000 | 0.4846 0.9982 | Time: 116.5929 | VAL: 2.0702 0.6975 | 0.8483 0.9775 | 0.9310 0.9530 | Time: 2.4209 | TEST: 2.0702 0.6974 | 0.9357 0.9262 | 1.0275 0.9444 | Time: 2.8570
