Looking in indexes: https://pypi.org/simple, https://pip.repos.neuron.amazonaws.com
Collecting cvxpy
  Downloading cvxpy-1.3.1-cp38-cp38-manylinux_2_17_x86_64.manylinux2014_x86_64.whl (4.0 MB)
     ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━ 4.0/4.0 MB 20.2 MB/s eta 0:00:00
Collecting osqp>=0.4.1 (from cvxpy)
  Downloading osqp-0.6.2.post9-cp38-cp38-manylinux_2_5_x86_64.manylinux1_x86_64.manylinux_2_17_x86_64.manylinux2014_x86_64.whl (299 kB)
     ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━ 299.7/299.7 kB 59.0 MB/s eta 0:00:00
Collecting ecos>=2 (from cvxpy)
  Downloading ecos-2.0.12-cp38-cp38-manylinux_2_17_x86_64.manylinux2014_x86_64.whl (221 kB)
     ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━ 221.6/221.6 kB 44.1 MB/s eta 0:00:00
Collecting scs>=1.1.6 (from cvxpy)
  Downloading scs-3.2.3-cp38-cp38-manylinux_2_17_x86_64.manylinux2014_x86_64.whl (10.7 MB)
     ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━ 10.7/10.7 MB 35.9 MB/s eta 0:00:00
Requirement already satisfied: numpy>=1.15 in /home/ec2-user/anaconda3/envs/libmtl/lib/python3.8/site-packages (from cvxpy) (1.24.3)
Requirement already satisfied: scipy>=1.1.0 in /home/ec2-user/anaconda3/envs/libmtl/lib/python3.8/site-packages (from cvxpy) (1.10.1)
Requirement already satisfied: setuptools>65.5.1 in /home/ec2-user/anaconda3/envs/libmtl/lib/python3.8/site-packages (from cvxpy) (67.7.2)
Collecting qdldl (from osqp>=0.4.1->cvxpy)
  Downloading qdldl-0.1.7-cp38-cp38-manylinux_2_17_x86_64.manylinux2014_x86_64.whl (1.0 MB)
     ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━ 1.0/1.0 MB 5.3 MB/s eta 0:00:00
Installing collected packages: scs, qdldl, ecos, osqp, cvxpy
Successfully installed cvxpy-1.3.1 ecos-2.0.12 osqp-0.6.2.post9 qdldl-0.1.7 scs-3.2.3
========================================
General Configuration:
	Wighting: EW
	Architecture: HPS
	Rep_Grad: False
	Multi_Input: True
	Seed: 3
	Device: cuda:0
EW Configuration:
	weighting: EW
Optimizer Configuration:
	optim: adam
	lr: 0.0001
	weight_decay: 0.001
========================================
Total Params: 11487901
Trainable Params: 11487901
Non-trainable Params: 0
========================================
LOG FORMAT | amazon_LOSS Acc | dslr_LOSS Acc | webcam_LOSS Acc | TIME
Epoch: 0000 | TRAIN: 2.7691 0.3371 | 1.8909 0.7043 | 2.0690 0.6575 | Time: 42.0982 | VAL: 1.9989 0.6703 | 1.3122 0.9775 | 1.4712 0.8658 | Time: 3.3269 | TEST: 2.0207 0.6838 | 1.4323 0.8934 | 1.5242 0.8778 | Time: 3.8683
Epoch: 0001 | TRAIN: 1.5773 0.7416 | 0.6001 0.9958 | 0.7237 0.9904 | Time: 42.0379 | VAL: 1.4618 0.7808 | 0.8971 0.9663 | 1.0033 0.9597 | Time: 3.3880 | TEST: 1.5009 0.7692 | 1.0064 0.9426 | 1.0662 0.9667 | Time: 3.9321
Epoch: 0002 | TRAIN: 1.0270 0.8660 | 0.2891 1.0000 | 0.3394 0.9994 | Time: 41.9903 | VAL: 1.1611 0.8116 | 0.7492 0.9663 | 0.7861 0.9732 | Time: 3.3672 | TEST: 1.1968 0.8154 | 0.8665 0.9508 | 0.8622 0.9778 | Time: 3.9193
Epoch: 0003 | TRAIN: 0.7033 0.9255 | 0.1784 1.0000 | 0.2070 1.0000 | Time: 42.0796 | VAL: 1.0174 0.8370 | 0.6742 0.9663 | 0.6860 0.9799 | Time: 3.3488 | TEST: 1.0553 0.8239 | 0.7912 0.9426 | 0.7507 0.9778 | Time: 3.9294
Epoch: 0004 | TRAIN: 0.4604 0.9712 | 0.1274 1.0000 | 0.1411 1.0000 | Time: 47.6941 | VAL: 0.9334 0.8533 | 0.6310 0.9551 | 0.6389 0.9732 | Time: 3.3204 | TEST: 0.9798 0.8376 | 0.7393 0.9262 | 0.6957 0.9778 | Time: 3.8609
Epoch: 0005 | TRAIN: 0.2990 0.9898 | 0.0952 1.0000 | 0.1070 1.0000 | Time: 42.3198 | VAL: 0.8638 0.8551 | 0.6149 0.9551 | 0.5888 0.9732 | Time: 3.6282 | TEST: 0.9135 0.8462 | 0.7142 0.9344 | 0.6540 0.9722 | Time: 4.5394
Epoch: 0006 | TRAIN: 0.1977 0.9982 | 0.0749 1.0000 | 0.0816 1.0000 | Time: 45.6874 | VAL: 0.8171 0.8533 | 0.5843 0.9663 | 0.5607 0.9732 | Time: 3.6534 | TEST: 0.8706 0.8393 | 0.6933 0.9426 | 0.6339 0.9722 | Time: 4.3822
Epoch: 0007 | TRAIN: 0.1395 1.0000 | 0.0610 1.0000 | 0.0684 1.0000 | Time: 45.0176 | VAL: 0.7794 0.8641 | 0.5507 0.9663 | 0.5405 0.9799 | Time: 3.8425 | TEST: 0.8365 0.8376 | 0.6671 0.9344 | 0.6065 0.9722 | Time: 4.3355
Epoch: 0008 | TRAIN: 0.1076 1.0000 | 0.0509 1.0000 | 0.0572 1.0000 | Time: 46.8009 | VAL: 0.7604 0.8605 | 0.5525 0.9663 | 0.5208 0.9732 | Time: 3.7095 | TEST: 0.8128 0.8342 | 0.6556 0.9426 | 0.5814 0.9667 | Time: 4.4217
Epoch: 0009 | TRAIN: 0.0847 1.0000 | 0.0452 1.0000 | 0.0464 1.0000 | Time: 44.8696 | VAL: 0.7309 0.8696 | 0.5344 0.9551 | 0.5151 0.9597 | Time: 3.5127 | TEST: 0.7928 0.8359 | 0.6458 0.9344 | 0.5764 0.9667 | Time: 4.1273
Epoch: 0010 | TRAIN: 0.0701 1.0000 | 0.0373 1.0000 | 0.0404 1.0000 | Time: 45.6393 | VAL: 0.7301 0.8551 | 0.5377 0.9663 | 0.5091 0.9664 | Time: 3.6754 | TEST: 0.7799 0.8325 | 0.6371 0.9344 | 0.5684 0.9722 | Time: 4.2329
Epoch: 0011 | TRAIN: 0.0601 1.0000 | 0.0311 1.0000 | 0.0346 1.0000 | Time: 45.2379 | VAL: 0.6995 0.8696 | 0.5112 0.9663 | 0.4835 0.9732 | Time: 3.6679 | TEST: 0.7559 0.8427 | 0.6179 0.9344 | 0.5480 0.9667 | Time: 5.0185
Epoch: 0012 | TRAIN: 0.0496 1.0000 | 0.0283 1.0000 | 0.0298 1.0000 | Time: 45.3582 | VAL: 0.6944 0.8678 | 0.5193 0.9551 | 0.4919 0.9664 | Time: 3.6307 | TEST: 0.7493 0.8393 | 0.6339 0.9262 | 0.5450 0.9667 | Time: 4.2438
Epoch: 0013 | TRAIN: 0.0431 1.0000 | 0.0266 1.0000 | 0.0293 1.0000 | Time: 45.2100 | VAL: 0.6842 0.8678 | 0.5209 0.9663 | 0.4792 0.9664 | Time: 3.7195 | TEST: 0.7399 0.8462 | 0.6258 0.9426 | 0.5412 0.9611 | Time: 4.3266
Epoch: 0014 | TRAIN: 0.0378 1.0000 | 0.0229 1.0000 | 0.0243 1.0000 | Time: 45.1980 | VAL: 0.6890 0.8678 | 0.5120 0.9551 | 0.4672 0.9664 | Time: 3.7355 | TEST: 0.7416 0.8342 | 0.6217 0.9344 | 0.5289 0.9667 | Time: 4.3879
Epoch: 0015 | TRAIN: 0.0353 1.0000 | 0.0205 1.0000 | 0.0211 1.0000 | Time: 45.9106 | VAL: 0.6698 0.8605 | 0.5028 0.9663 | 0.4635 0.9664 | Time: 3.7556 | TEST: 0.7243 0.8376 | 0.6157 0.9344 | 0.5264 0.9667 | Time: 4.4217
Epoch: 0016 | TRAIN: 0.0326 1.0000 | 0.0202 1.0000 | 0.0212 1.0000 | Time: 45.4238 | VAL: 0.6645 0.8750 | 0.4980 0.9551 | 0.4549 0.9664 | Time: 3.6742 | TEST: 0.7244 0.8291 | 0.6117 0.9344 | 0.5157 0.9667 | Time: 4.2530
Epoch: 0017 | TRAIN: 0.0274 1.0000 | 0.0171 1.0000 | 0.0190 1.0000 | Time: 45.3418 | VAL: 0.6606 0.8659 | 0.5039 0.9551 | 0.4582 0.9664 | Time: 3.6852 | TEST: 0.7182 0.8393 | 0.6124 0.9344 | 0.5175 0.9778 | Time: 4.3662
Epoch: 0018 | TRAIN: 0.0248 1.0000 | 0.0163 1.0000 | 0.0181 1.0000 | Time: 45.9348 | VAL: 0.6546 0.8659 | 0.5009 0.9551 | 0.4488 0.9664 | Time: 3.6429 | TEST: 0.7104 0.8479 | 0.6045 0.9426 | 0.5053 0.9611 | Time: 4.2226
Epoch: 0019 | TRAIN: 0.0241 1.0000 | 0.0160 1.0000 | 0.0167 1.0000 | Time: 45.0489 | VAL: 0.6543 0.8678 | 0.4901 0.9663 | 0.4571 0.9664 | Time: 3.6282 | TEST: 0.7104 0.8393 | 0.5948 0.9426 | 0.5079 0.9722 | Time: 4.2457
Epoch: 0020 | TRAIN: 0.0230 1.0000 | 0.0142 1.0000 | 0.0158 1.0000 | Time: 45.2486 | VAL: 0.6503 0.8659 | 0.4850 0.9551 | 0.4413 0.9664 | Time: 3.5477 | TEST: 0.7021 0.8427 | 0.6026 0.9344 | 0.4996 0.9611 | Time: 4.2036
Epoch: 0021 | TRAIN: 0.0219 1.0000 | 0.0129 1.0000 | 0.0145 1.0000 | Time: 44.9680 | VAL: 0.6499 0.8714 | 0.4957 0.9551 | 0.4368 0.9664 | Time: 3.6033 | TEST: 0.7028 0.8462 | 0.6085 0.9344 | 0.4964 0.9611 | Time: 4.2649
Epoch: 0022 | TRAIN: 0.0194 1.0000 | 0.0121 1.0000 | 0.0138 1.0000 | Time: 45.5812 | VAL: 0.6428 0.8732 | 0.4847 0.9551 | 0.4374 0.9664 | Time: 3.6265 | TEST: 0.7043 0.8427 | 0.5979 0.9344 | 0.4928 0.9611 | Time: 4.3419
Epoch: 0023 | TRAIN: 0.0179 1.0000 | 0.0121 1.0000 | 0.0128 1.0000 | Time: 44.9455 | VAL: 0.6403 0.8750 | 0.4858 0.9551 | 0.4402 0.9664 | Time: 3.5272 | TEST: 0.6994 0.8427 | 0.5988 0.9426 | 0.4952 0.9611 | Time: 4.2521
Epoch: 0024 | TRAIN: 0.0165 1.0000 | 0.0111 1.0000 | 0.0121 1.0000 | Time: 44.4983 | VAL: 0.6408 0.8696 | 0.4872 0.9551 | 0.4354 0.9664 | Time: 3.6593 | TEST: 0.6958 0.8462 | 0.6047 0.9344 | 0.4940 0.9611 | Time: 4.2163
Epoch: 0025 | TRAIN: 0.0157 1.0000 | 0.0104 1.0000 | 0.0118 1.0000 | Time: 45.5829 | VAL: 0.6321 0.8750 | 0.4828 0.9551 | 0.4216 0.9664 | Time: 3.6831 | TEST: 0.6866 0.8496 | 0.5943 0.9508 | 0.4756 0.9611 | Time: 4.1631
Epoch: 0026 | TRAIN: 0.0155 1.0000 | 0.0097 1.0000 | 0.0105 1.0000 | Time: 44.8739 | VAL: 0.6268 0.8696 | 0.4871 0.9551 | 0.4303 0.9664 | Time: 3.5669 | TEST: 0.6787 0.8462 | 0.6097 0.9344 | 0.4809 0.9667 | Time: 4.2971
Epoch: 0027 | TRAIN: 0.0143 1.0000 | 0.0099 1.0000 | 0.0107 1.0000 | Time: 45.5575 | VAL: 0.6343 0.8623 | 0.4810 0.9551 | 0.4243 0.9664 | Time: 3.7061 | TEST: 0.6854 0.8376 | 0.5926 0.9344 | 0.4801 0.9667 | Time: 4.1820
Epoch: 0028 | TRAIN: 0.0136 1.0000 | 0.0095 1.0000 | 0.0098 1.0000 | Time: 45.3564 | VAL: 0.6314 0.8678 | 0.4762 0.9551 | 0.4252 0.9664 | Time: 3.9704 | TEST: 0.6820 0.8427 | 0.5900 0.9426 | 0.4799 0.9611 | Time: 4.3038
Epoch: 0029 | TRAIN: 0.0134 1.0000 | 0.0087 1.0000 | 0.0094 1.0000 | Time: 44.9284 | VAL: 0.6308 0.8659 | 0.4834 0.9551 | 0.4415 0.9664 | Time: 3.6175 | TEST: 0.6814 0.8427 | 0.6047 0.9344 | 0.4910 0.9611 | Time: 4.2716
Epoch: 0030 | TRAIN: 0.0133 1.0000 | 0.0079 1.0000 | 0.0094 1.0000 | Time: 44.6498 | VAL: 0.6244 0.8696 | 0.4727 0.9551 | 0.4208 0.9664 | Time: 3.6830 | TEST: 0.6704 0.8410 | 0.5955 0.9344 | 0.4786 0.9611 | Time: 4.1699
Epoch: 0031 | TRAIN: 0.0131 1.0000 | 0.0080 1.0000 | 0.0091 1.0000 | Time: 44.7598 | VAL: 0.6310 0.8641 | 0.4781 0.9551 | 0.4187 0.9664 | Time: 3.7513 | TEST: 0.6717 0.8479 | 0.6000 0.9426 | 0.4750 0.9667 | Time: 4.2375
Epoch: 0032 | TRAIN: 0.0121 1.0000 | 0.0079 1.0000 | 0.0086 1.0000 | Time: 45.8232 | VAL: 0.6266 0.8714 | 0.4829 0.9551 | 0.4232 0.9664 | Time: 3.7027 | TEST: 0.6733 0.8376 | 0.6009 0.9426 | 0.4784 0.9667 | Time: 4.5357
Epoch: 0033 | TRAIN: 0.0111 1.0000 | 0.0075 1.0000 | 0.0082 1.0000 | Time: 44.8065 | VAL: 0.6201 0.8732 | 0.4854 0.9551 | 0.4143 0.9664 | Time: 3.7327 | TEST: 0.6672 0.8444 | 0.6053 0.9426 | 0.4747 0.9667 | Time: 4.1298
Epoch: 0034 | TRAIN: 0.0112 1.0000 | 0.0072 1.0000 | 0.0078 1.0000 | Time: 45.0060 | VAL: 0.6201 0.8696 | 0.4815 0.9551 | 0.4141 0.9664 | Time: 3.5332 | TEST: 0.6655 0.8513 | 0.5997 0.9426 | 0.4705 0.9667 | Time: 4.1873
Epoch: 0035 | TRAIN: 0.0111 1.0000 | 0.0070 1.0000 | 0.0076 1.0000 | Time: 46.0612 | VAL: 0.6245 0.8659 | 0.4826 0.9551 | 0.4085 0.9664 | Time: 3.6984 | TEST: 0.6673 0.8479 | 0.6080 0.9344 | 0.4634 0.9667 | Time: 4.2134
Epoch: 0036 | TRAIN: 0.0106 1.0000 | 0.0069 1.0000 | 0.0072 1.0000 | Time: 44.1583 | VAL: 0.6158 0.8641 | 0.4780 0.9551 | 0.4125 0.9664 | Time: 3.5698 | TEST: 0.6611 0.8479 | 0.6023 0.9426 | 0.4647 0.9667 | Time: 4.3205
Epoch: 0037 | TRAIN: 0.0099 1.0000 | 0.0064 1.0000 | 0.0071 1.0000 | Time: 45.0461 | VAL: 0.6148 0.8678 | 0.4690 0.9551 | 0.4192 0.9664 | Time: 3.5359 | TEST: 0.6578 0.8462 | 0.6011 0.9344 | 0.4760 0.9611 | Time: 4.1557
Epoch: 0038 | TRAIN: 0.0097 1.0000 | 0.0066 1.0000 | 0.0065 1.0000 | Time: 44.9846 | VAL: 0.6199 0.8696 | 0.4770 0.9551 | 0.4224 0.9664 | Time: 3.6732 | TEST: 0.6654 0.8444 | 0.6051 0.9426 | 0.4788 0.9611 | Time: 4.2908
Epoch: 0039 | TRAIN: 0.0095 1.0000 | 0.0061 1.0000 | 0.0065 1.0000 | Time: 45.4634 | VAL: 0.6079 0.8696 | 0.4723 0.9551 | 0.4170 0.9664 | Time: 3.7021 | TEST: 0.6549 0.8479 | 0.6094 0.9344 | 0.4717 0.9667 | Time: 4.4960
Epoch: 0040 | TRAIN: 0.0085 1.0000 | 0.0061 1.0000 | 0.0066 1.0000 | Time: 44.4341 | VAL: 0.6193 0.8732 | 0.4849 0.9551 | 0.4107 0.9664 | Time: 3.5707 | TEST: 0.6678 0.8427 | 0.6135 0.9344 | 0.4631 0.9667 | Time: 4.1876
Epoch: 0041 | TRAIN: 0.0092 1.0000 | 0.0058 1.0000 | 0.0062 1.0000 | Time: 45.0334 | VAL: 0.6061 0.8678 | 0.4799 0.9551 | 0.4126 0.9664 | Time: 3.6507 | TEST: 0.6484 0.8547 | 0.6143 0.9262 | 0.4624 0.9667 | Time: 4.3008
Epoch: 0042 | TRAIN: 0.0083 1.0000 | 0.0058 1.0000 | 0.0061 1.0000 | Time: 45.4946 | VAL: 0.6072 0.8678 | 0.4796 0.9663 | 0.4063 0.9664 | Time: 3.5247 | TEST: 0.6518 0.8513 | 0.6118 0.9344 | 0.4672 0.9667 | Time: 4.4120
Epoch: 0043 | TRAIN: 0.0093 1.0000 | 0.0054 1.0000 | 0.0061 1.0000 | Time: 44.8923 | VAL: 0.5967 0.8678 | 0.4821 0.9663 | 0.4065 0.9732 | Time: 3.6315 | TEST: 0.6489 0.8530 | 0.6274 0.9426 | 0.4643 0.9667 | Time: 4.1989
Epoch: 0044 | TRAIN: 0.0085 1.0000 | 0.0055 1.0000 | 0.0056 1.0000 | Time: 44.7090 | VAL: 0.6061 0.8714 | 0.4786 0.9551 | 0.4101 0.9664 | Time: 3.6695 | TEST: 0.6474 0.8530 | 0.6137 0.9426 | 0.4656 0.9667 | Time: 4.2236
Epoch: 0045 | TRAIN: 0.0081 1.0000 | 0.0052 1.0000 | 0.0054 1.0000 | Time: 45.3358 | VAL: 0.6042 0.8678 | 0.4799 0.9551 | 0.3978 0.9664 | Time: 4.0057 | TEST: 0.6568 0.8496 | 0.6196 0.9426 | 0.4523 0.9667 | Time: 4.1573
Epoch: 0046 | TRAIN: 0.0084 1.0000 | 0.0050 1.0000 | 0.0054 1.0000 | Time: 45.1134 | VAL: 0.6087 0.8659 | 0.4822 0.9663 | 0.4030 0.9664 | Time: 3.5836 | TEST: 0.6509 0.8530 | 0.6315 0.9262 | 0.4631 0.9611 | Time: 4.3575
Epoch: 0047 | TRAIN: 0.0074 1.0000 | 0.0051 1.0000 | 0.0053 1.0000 | Time: 45.0169 | VAL: 0.6071 0.8659 | 0.4769 0.9551 | 0.3952 0.9664 | Time: 3.7082 | TEST: 0.6464 0.8530 | 0.6141 0.9426 | 0.4531 0.9611 | Time: 4.3432
Epoch: 0048 | TRAIN: 0.0077 1.0000 | 0.0049 1.0000 | 0.0055 1.0000 | Time: 44.9965 | VAL: 0.5859 0.8659 | 0.4709 0.9663 | 0.4031 0.9664 | Time: 3.7643 | TEST: 0.6376 0.8513 | 0.6095 0.9426 | 0.4584 0.9667 | Time: 4.2082
Epoch: 0049 | TRAIN: 0.0078 1.0000 | 0.0048 1.0000 | 0.0052 1.0000 | Time: 45.3947 | VAL: 0.6144 0.8678 | 0.4765 0.9663 | 0.4057 0.9664 | Time: 3.7499 | TEST: 0.6631 0.8444 | 0.6107 0.9262 | 0.4609 0.9667 | Time: 4.2544
Epoch: 0050 | TRAIN: 0.0073 1.0000 | 0.0051 1.0000 | 0.0051 1.0000 | Time: 44.4748 | VAL: 0.5943 0.8641 | 0.4902 0.9663 | 0.4096 0.9597 | Time: 3.5782 | TEST: 0.6458 0.8444 | 0.6308 0.9426 | 0.4673 0.9667 | Time: 4.1896
Epoch: 0051 | TRAIN: 0.0070 1.0000 | 0.0047 1.0000 | 0.0047 1.0000 | Time: 45.0741 | VAL: 0.5948 0.8696 | 0.4893 0.9663 | 0.4031 0.9664 | Time: 3.5019 | TEST: 0.6500 0.8496 | 0.6290 0.9426 | 0.4642 0.9722 | Time: 4.2184
