Looking in indexes: https://pypi.org/simple, https://pip.repos.neuron.amazonaws.com
Collecting cvxpy
  Downloading cvxpy-1.3.1-cp38-cp38-manylinux_2_17_x86_64.manylinux2014_x86_64.whl (4.0 MB)
     ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━ 4.0/4.0 MB 15.7 MB/s eta 0:00:00
Collecting osqp>=0.4.1 (from cvxpy)
  Downloading osqp-0.6.2.post9-cp38-cp38-manylinux_2_5_x86_64.manylinux1_x86_64.manylinux_2_17_x86_64.manylinux2014_x86_64.whl (299 kB)
     ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━ 299.7/299.7 kB 50.3 MB/s eta 0:00:00
Collecting ecos>=2 (from cvxpy)
  Downloading ecos-2.0.12-cp38-cp38-manylinux_2_17_x86_64.manylinux2014_x86_64.whl (221 kB)
     ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━ 221.6/221.6 kB 40.1 MB/s eta 0:00:00
Collecting scs>=1.1.6 (from cvxpy)
  Downloading scs-3.2.3-cp38-cp38-manylinux_2_17_x86_64.manylinux2014_x86_64.whl (10.7 MB)
     ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━ 10.7/10.7 MB 39.9 MB/s eta 0:00:00
Requirement already satisfied: numpy>=1.15 in /home/ec2-user/anaconda3/envs/libmtl/lib/python3.8/site-packages (from cvxpy) (1.24.3)
Requirement already satisfied: scipy>=1.1.0 in /home/ec2-user/anaconda3/envs/libmtl/lib/python3.8/site-packages (from cvxpy) (1.10.1)
Requirement already satisfied: setuptools>65.5.1 in /home/ec2-user/anaconda3/envs/libmtl/lib/python3.8/site-packages (from cvxpy) (67.7.2)
Collecting qdldl (from osqp>=0.4.1->cvxpy)
  Downloading qdldl-0.1.7-cp38-cp38-manylinux_2_17_x86_64.manylinux2014_x86_64.whl (1.0 MB)
     ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━ 1.0/1.0 MB 18.2 MB/s eta 0:00:00
Installing collected packages: scs, qdldl, ecos, osqp, cvxpy
Successfully installed cvxpy-1.3.1 ecos-2.0.12 osqp-0.6.2.post9 qdldl-0.1.7 scs-3.2.3
========================================
General Configuration:
	Wighting: MGDA
	Architecture: HPS
	Rep_Grad: False
	Multi_Input: True
	Seed: 0
	Device: cuda:0
MGDA Configuration:
	weighting: MGDA
	mgda_gn: none
Optimizer Configuration:
	optim: adam
	lr: 0.0001
	weight_decay: 1e-07
========================================
Total Params: 11487901
Trainable Params: 11487901
Non-trainable Params: 0
========================================
LOG FORMAT | amazon_LOSS Acc | dslr_LOSS Acc | webcam_LOSS Acc | TIME
Epoch: 0000 | TRAIN: 2.7809 0.3341 | 1.8617 0.7145 | 2.0901 0.6208 | Time: 66.4706 | VAL: 2.1751 0.6649 | 1.2639 0.9213 | 1.4774 0.8859 | Time: 3.3173 | TEST: 2.1709 0.6598 | 1.2988 0.9098 | 1.5356 0.8722 | Time: 3.8864
Epoch: 0001 | TRAIN: 1.8668 0.6917 | 0.4359 0.9988 | 0.7288 0.9844 | Time: 67.0318 | VAL: 1.9197 0.7355 | 0.6464 0.9888 | 0.9954 0.9530 | Time: 3.3454 | TEST: 1.9183 0.7179 | 0.7171 0.9508 | 1.0994 0.9444 | Time: 4.0039
Epoch: 0002 | TRAIN: 1.6058 0.7560 | 0.1476 1.0000 | 0.4067 1.0000 | Time: 67.5064 | VAL: 1.8639 0.7428 | 0.4414 1.0000 | 0.8576 0.9732 | Time: 3.3947 | TEST: 1.8682 0.7333 | 0.5205 0.9590 | 0.9543 0.9556 | Time: 4.0009
Epoch: 0003 | TRAIN: 1.5146 0.7843 | 0.0793 1.0000 | 0.3091 1.0000 | Time: 67.9290 | VAL: 1.8203 0.7518 | 0.3722 1.0000 | 0.7983 0.9732 | Time: 3.3244 | TEST: 1.8307 0.7368 | 0.4652 0.9590 | 0.8860 0.9611 | Time: 3.9840
Epoch: 0004 | TRAIN: 1.4356 0.7963 | 0.0570 1.0000 | 0.2470 1.0000 | Time: 67.8339 | VAL: 1.7671 0.7536 | 0.3402 1.0000 | 0.7582 0.9732 | Time: 3.3371 | TEST: 1.7744 0.7453 | 0.4189 0.9590 | 0.8408 0.9556 | Time: 3.9601
Epoch: 0005 | TRAIN: 1.3603 0.8113 | 0.0449 1.0000 | 0.2112 1.0000 | Time: 68.3295 | VAL: 1.7069 0.7627 | 0.3120 1.0000 | 0.6998 0.9732 | Time: 3.3304 | TEST: 1.7167 0.7453 | 0.3901 0.9672 | 0.7838 0.9556 | Time: 3.9297
Epoch: 0006 | TRAIN: 1.3004 0.8161 | 0.0359 1.0000 | 0.1773 1.0000 | Time: 68.1216 | VAL: 1.6551 0.7663 | 0.2943 1.0000 | 0.6590 0.9732 | Time: 3.3709 | TEST: 1.6661 0.7573 | 0.3679 0.9672 | 0.7472 0.9667 | Time: 3.9498
Epoch: 0007 | TRAIN: 1.2700 0.8161 | 0.0313 1.0000 | 0.1557 1.0000 | Time: 68.4148 | VAL: 1.6060 0.7645 | 0.2765 1.0000 | 0.6152 0.9799 | Time: 3.3224 | TEST: 1.6156 0.7624 | 0.3498 0.9754 | 0.6932 0.9611 | Time: 3.9375
Epoch: 0008 | TRAIN: 1.1845 0.8263 | 0.0265 1.0000 | 0.1323 1.0000 | Time: 68.0531 | VAL: 1.5647 0.7717 | 0.2596 1.0000 | 0.5764 0.9732 | Time: 3.3202 | TEST: 1.5742 0.7709 | 0.3249 0.9754 | 0.6503 0.9611 | Time: 3.9309
Epoch: 0009 | TRAIN: 1.1608 0.8287 | 0.0240 1.0000 | 0.1175 1.0000 | Time: 67.6998 | VAL: 1.5245 0.7736 | 0.2615 1.0000 | 0.5570 0.9732 | Time: 3.2880 | TEST: 1.5339 0.7795 | 0.3348 0.9672 | 0.6264 0.9667 | Time: 3.9290
Epoch: 0010 | TRAIN: 1.1106 0.8227 | 0.0211 1.0000 | 0.1039 1.0000 | Time: 68.0678 | VAL: 1.4968 0.7717 | 0.2388 1.0000 | 0.5334 0.9732 | Time: 3.3289 | TEST: 1.5018 0.7880 | 0.3140 0.9590 | 0.5981 0.9667 | Time: 3.9136
