========================================
General Configuration:
	Wighting: MoDo
	Architecture: HPS
	Rep_Grad: False
	Multi_Input: True
	Seed: 1
	Device: cuda:2
MoDo Configuration:
	weighting: MoDo
	gamma_modo: 0.001
	rho_modo: 0.0
	modo_gn: none
Optimizer Configuration:
	optim: adam
	lr: 0.0001
	weight_decay: 1e-05
========================================
Total Params: 11487901
Trainable Params: 11487901
Non-trainable Params: 0
========================================
LOG FORMAT | amazon_LOSS Acc | dslr_LOSS Acc | webcam_LOSS Acc | TIME
Epoch: 0000 | TRAIN: 2.2235 0.5009 | 1.3316 0.8275 | 1.5188 0.7800 | Time: 135.6603 | VAL: 1.5214 0.7681 | 0.8493 0.9663 | 0.9924 0.9396 | Time: 3.4628 | TEST: 1.5187 0.7573 | 0.9756 0.9590 | 1.0627 0.9444 | Time: 4.1235
Epoch: 0001 | TRAIN: 0.9599 0.8621 | 0.2540 0.9997 | 0.3414 0.9994 | Time: 135.9107 | VAL: 1.0693 0.8388 | 0.6184 0.9888 | 0.6626 0.9732 | Time: 3.4622 | TEST: 1.0658 0.8376 | 0.7458 0.9508 | 0.7198 0.9778 | Time: 4.1471
Epoch: 0002 | TRAIN: 0.4557 0.9663 | 0.1204 1.0000 | 0.1551 1.0000 | Time: 135.2844 | VAL: 0.8762 0.8533 | 0.5385 0.9775 | 0.5376 0.9664 | Time: 3.3921 | TEST: 0.8881 0.8444 | 0.6687 0.9508 | 0.6038 0.9778 | Time: 4.3839
Epoch: 0003 | TRAIN: 0.2210 0.9955 | 0.0740 1.0000 | 0.0912 1.0000 | Time: 135.0511 | VAL: 0.8266 0.8623 | 0.5042 0.9775 | 0.4545 0.9732 | Time: 3.3862 | TEST: 0.8415 0.8462 | 0.6351 0.9590 | 0.5239 0.9722 | Time: 4.0759
Epoch: 0004 | TRAIN: 0.1210 0.9997 | 0.0517 1.0000 | 0.0621 1.0000 | Time: 135.3447 | VAL: 0.7704 0.8623 | 0.4773 0.9663 | 0.4261 0.9732 | Time: 3.4899 | TEST: 0.7809 0.8444 | 0.6103 0.9590 | 0.4980 0.9833 | Time: 4.1492
Epoch: 0005 | TRAIN: 0.0824 1.0000 | 0.0369 1.0000 | 0.0468 1.0000 | Time: 136.0577 | VAL: 0.7224 0.8641 | 0.4534 0.9775 | 0.3898 0.9732 | Time: 3.4717 | TEST: 0.7311 0.8427 | 0.5741 0.9508 | 0.4613 0.9833 | Time: 4.1136
Epoch: 0006 | TRAIN: 0.0586 1.0000 | 0.0305 1.0000 | 0.0353 1.0000 | Time: 135.8552 | VAL: 0.7147 0.8587 | 0.4455 0.9775 | 0.3815 0.9732 | Time: 3.4751 | TEST: 0.7199 0.8462 | 0.5696 0.9590 | 0.4478 0.9833 | Time: 4.1333
Epoch: 0007 | TRAIN: 0.0458 1.0000 | 0.0233 1.0000 | 0.0292 1.0000 | Time: 134.9279 | VAL: 0.6861 0.8605 | 0.4367 0.9775 | 0.3618 0.9732 | Time: 3.4254 | TEST: 0.7074 0.8513 | 0.5561 0.9672 | 0.4285 0.9778 | Time: 4.0904
Epoch: 0008 | TRAIN: 0.0376 1.0000 | 0.0202 1.0000 | 0.0247 1.0000 | Time: 135.4360 | VAL: 0.6812 0.8533 | 0.4320 0.9775 | 0.3485 0.9732 | Time: 3.4800 | TEST: 0.6789 0.8444 | 0.5519 0.9590 | 0.4137 0.9778 | Time: 4.1306
Epoch: 0009 | TRAIN: 0.0304 1.0000 | 0.0160 1.0000 | 0.0194 1.0000 | Time: 135.2693 | VAL: 0.6635 0.8587 | 0.4334 0.9663 | 0.3462 0.9732 | Time: 3.4187 | TEST: 0.6721 0.8444 | 0.5501 0.9590 | 0.4059 0.9778 | Time: 4.0593
Epoch: 0010 | TRAIN: 0.0264 1.0000 | 0.0146 1.0000 | 0.0167 1.0000 | Time: 135.1899 | VAL: 0.6528 0.8641 | 0.4226 0.9775 | 0.3434 0.9732 | Time: 3.4496 | TEST: 0.6609 0.8462 | 0.5538 0.9590 | 0.4075 0.9722 | Time: 4.0845
Epoch: 0011 | TRAIN: 0.0223 1.0000 | 0.0127 1.0000 | 0.0149 1.0000 | Time: 135.9663 | VAL: 0.6512 0.8551 | 0.4136 0.9775 | 0.3328 0.9732 | Time: 3.5458 | TEST: 0.6652 0.8444 | 0.5337 0.9590 | 0.4016 0.9722 | Time: 4.0707
Epoch: 0012 | TRAIN: 0.0199 1.0000 | 0.0111 1.0000 | 0.0138 1.0000 | Time: 135.9317 | VAL: 0.6357 0.8605 | 0.4107 0.9775 | 0.3144 0.9732 | Time: 3.4581 | TEST: 0.6426 0.8479 | 0.5306 0.9590 | 0.3767 0.9667 | Time: 4.0946
Epoch: 0013 | TRAIN: 0.0167 1.0000 | 0.0096 1.0000 | 0.0114 1.0000 | Time: 136.6710 | VAL: 0.6370 0.8605 | 0.4067 0.9775 | 0.3145 0.9732 | Time: 3.5483 | TEST: 0.6469 0.8479 | 0.5305 0.9590 | 0.3821 0.9722 | Time: 4.2353
Epoch: 0014 | TRAIN: 0.0153 1.0000 | 0.0089 1.0000 | 0.0097 1.0000 | Time: 136.3293 | VAL: 0.6257 0.8569 | 0.4181 0.9775 | 0.3207 0.9732 | Time: 3.4844 | TEST: 0.6240 0.8530 | 0.5364 0.9590 | 0.3853 0.9722 | Time: 4.1313
Epoch: 0015 | TRAIN: 0.0138 1.0000 | 0.0074 1.0000 | 0.0095 1.0000 | Time: 135.4383 | VAL: 0.6334 0.8623 | 0.4008 0.9775 | 0.3019 0.9732 | Time: 3.4816 | TEST: 0.6409 0.8496 | 0.5203 0.9590 | 0.3739 0.9722 | Time: 4.1052
Epoch: 0016 | TRAIN: 0.0125 1.0000 | 0.0075 1.0000 | 0.0085 1.0000 | Time: 135.3368 | VAL: 0.6288 0.8569 | 0.3993 0.9775 | 0.2952 0.9732 | Time: 3.4967 | TEST: 0.6361 0.8427 | 0.5217 0.9508 | 0.3671 0.9833 | Time: 4.0998
Epoch: 0017 | TRAIN: 0.0115 1.0000 | 0.0068 1.0000 | 0.0078 1.0000 | Time: 135.2726 | VAL: 0.6260 0.8587 | 0.3910 0.9775 | 0.2996 0.9732 | Time: 3.7431 | TEST: 0.6314 0.8479 | 0.5112 0.9590 | 0.3682 0.9611 | Time: 4.5252
Epoch: 0018 | TRAIN: 0.0107 1.0000 | 0.0062 1.0000 | 0.0069 1.0000 | Time: 136.2124 | VAL: 0.6193 0.8587 | 0.3811 0.9775 | 0.2888 0.9732 | Time: 3.4152 | TEST: 0.6180 0.8513 | 0.5007 0.9508 | 0.3457 0.9833 | Time: 4.1283
Epoch: 0019 | TRAIN: 0.0097 1.0000 | 0.0052 1.0000 | 0.0063 1.0000 | Time: 135.6251 | VAL: 0.6255 0.8514 | 0.3922 0.9775 | 0.2905 0.9732 | Time: 3.5258 | TEST: 0.6202 0.8496 | 0.5039 0.9590 | 0.3584 0.9667 | Time: 4.2258
Epoch: 0020 | TRAIN: 0.0092 1.0000 | 0.0052 1.0000 | 0.0059 1.0000 | Time: 136.3543 | VAL: 0.6140 0.8551 | 0.3780 0.9775 | 0.2790 0.9732 | Time: 3.4079 | TEST: 0.6146 0.8547 | 0.4992 0.9508 | 0.3450 0.9722 | Time: 4.0786
Epoch: 0021 | TRAIN: 0.0082 1.0000 | 0.0050 1.0000 | 0.0056 1.0000 | Time: 135.1538 | VAL: 0.6066 0.8623 | 0.3886 0.9663 | 0.2841 0.9732 | Time: 3.4507 | TEST: 0.6140 0.8513 | 0.5109 0.9672 | 0.3548 0.9611 | Time: 4.0595
Epoch: 0022 | TRAIN: 0.0075 1.0000 | 0.0047 1.0000 | 0.0051 1.0000 | Time: 135.3175 | VAL: 0.6127 0.8551 | 0.3819 0.9775 | 0.2798 0.9732 | Time: 3.5768 | TEST: 0.6139 0.8444 | 0.4970 0.9672 | 0.3454 0.9667 | Time: 4.1237
Epoch: 0023 | TRAIN: 0.0070 1.0000 | 0.0041 1.0000 | 0.0045 1.0000 | Time: 135.8236 | VAL: 0.6021 0.8551 | 0.3783 0.9775 | 0.2757 0.9732 | Time: 3.4493 | TEST: 0.6104 0.8462 | 0.4932 0.9672 | 0.3418 0.9778 | Time: 4.0949
Epoch: 0024 | TRAIN: 0.0063 1.0000 | 0.0037 1.0000 | 0.0044 1.0000 | Time: 136.1768 | VAL: 0.6088 0.8569 | 0.3694 0.9775 | 0.2649 0.9732 | Time: 3.5160 | TEST: 0.6042 0.8496 | 0.4883 0.9508 | 0.3334 0.9722 | Time: 4.1707
Epoch: 0025 | TRAIN: 0.0059 1.0000 | 0.0035 1.0000 | 0.0043 1.0000 | Time: 136.3258 | VAL: 0.5943 0.8605 | 0.3728 0.9775 | 0.2746 0.9732 | Time: 3.3885 | TEST: 0.5941 0.8530 | 0.4977 0.9590 | 0.3359 0.9667 | Time: 4.1035
Epoch: 0026 | TRAIN: 0.0060 1.0000 | 0.0034 1.0000 | 0.0039 1.0000 | Time: 135.7323 | VAL: 0.5965 0.8569 | 0.3576 0.9663 | 0.2624 0.9732 | Time: 3.4250 | TEST: 0.6029 0.8496 | 0.4740 0.9508 | 0.3240 0.9722 | Time: 4.0351
Epoch: 0027 | TRAIN: 0.0053 1.0000 | 0.0030 1.0000 | 0.0037 1.0000 | Time: 135.4035 | VAL: 0.5945 0.8659 | 0.3717 0.9551 | 0.2694 0.9732 | Time: 3.4484 | TEST: 0.6063 0.8444 | 0.4903 0.9508 | 0.3306 0.9778 | Time: 4.2717
Epoch: 0028 | TRAIN: 0.0050 1.0000 | 0.0029 1.0000 | 0.0036 1.0000 | Time: 135.3990 | VAL: 0.5949 0.8605 | 0.3648 0.9663 | 0.2560 0.9732 | Time: 3.5029 | TEST: 0.6092 0.8496 | 0.4730 0.9508 | 0.3227 0.9667 | Time: 4.2248
Epoch: 0029 | TRAIN: 0.0045 1.0000 | 0.0028 1.0000 | 0.0034 1.0000 | Time: 135.6304 | VAL: 0.5970 0.8587 | 0.3516 0.9663 | 0.2570 0.9732 | Time: 3.4281 | TEST: 0.5996 0.8479 | 0.4733 0.9590 | 0.3239 0.9722 | Time: 4.0620
Epoch: 0030 | TRAIN: 0.0045 1.0000 | 0.0028 1.0000 | 0.0029 1.0000 | Time: 135.6687 | VAL: 0.5860 0.8623 | 0.3447 0.9663 | 0.2410 0.9732 | Time: 3.4577 | TEST: 0.5895 0.8581 | 0.4576 0.9590 | 0.3035 0.9722 | Time: 4.0745
Epoch: 0031 | TRAIN: 0.0042 1.0000 | 0.0026 1.0000 | 0.0028 1.0000 | Time: 135.3224 | VAL: 0.5874 0.8605 | 0.3649 0.9663 | 0.2472 0.9732 | Time: 3.4148 | TEST: 0.5958 0.8513 | 0.4777 0.9508 | 0.3161 0.9611 | Time: 4.0377
Epoch: 0032 | TRAIN: 0.0039 1.0000 | 0.0023 1.0000 | 0.0026 1.0000 | Time: 135.3917 | VAL: 0.5827 0.8641 | 0.3491 0.9775 | 0.2420 0.9732 | Time: 3.4073 | TEST: 0.5984 0.8513 | 0.4557 0.9590 | 0.3018 0.9722 | Time: 4.1480
Epoch: 0033 | TRAIN: 0.0037 1.0000 | 0.0022 1.0000 | 0.0025 1.0000 | Time: 135.6414 | VAL: 0.5745 0.8569 | 0.3543 0.9663 | 0.2473 0.9732 | Time: 3.4438 | TEST: 0.5934 0.8530 | 0.4624 0.9590 | 0.3124 0.9722 | Time: 4.1496
Epoch: 0034 | TRAIN: 0.0036 1.0000 | 0.0021 1.0000 | 0.0023 1.0000 | Time: 136.5312 | VAL: 0.5787 0.8605 | 0.3534 0.9663 | 0.2508 0.9732 | Time: 3.5147 | TEST: 0.5921 0.8564 | 0.4743 0.9508 | 0.3113 0.9667 | Time: 4.1810
Epoch: 0035 | TRAIN: 0.0034 1.0000 | 0.0020 1.0000 | 0.0025 1.0000 | Time: 135.5902 | VAL: 0.5807 0.8587 | 0.3443 0.9663 | 0.2504 0.9732 | Time: 3.4604 | TEST: 0.5840 0.8547 | 0.4663 0.9508 | 0.3057 0.9667 | Time: 4.0967
Epoch: 0036 | TRAIN: 0.0034 1.0000 | 0.0018 1.0000 | 0.0022 1.0000 | Time: 135.2501 | VAL: 0.5789 0.8587 | 0.3372 0.9663 | 0.2507 0.9732 | Time: 3.4290 | TEST: 0.5888 0.8513 | 0.4558 0.9590 | 0.3029 0.9611 | Time: 4.0680
Epoch: 0037 | TRAIN: 0.0031 1.0000 | 0.0018 1.0000 | 0.0021 1.0000 | Time: 136.2002 | VAL: 0.5848 0.8551 | 0.3455 0.9775 | 0.2453 0.9732 | Time: 3.4815 | TEST: 0.5934 0.8496 | 0.4573 0.9590 | 0.2973 0.9722 | Time: 4.2363
Epoch: 0038 | TRAIN: 0.0028 1.0000 | 0.0017 1.0000 | 0.0020 1.0000 | Time: 135.5452 | VAL: 0.5796 0.8569 | 0.3507 0.9551 | 0.2333 0.9732 | Time: 3.4265 | TEST: 0.5890 0.8496 | 0.4513 0.9508 | 0.2928 0.9667 | Time: 4.0889
Epoch: 0039 | TRAIN: 0.0027 1.0000 | 0.0016 1.0000 | 0.0018 1.0000 | Time: 135.9682 | VAL: 0.5791 0.8605 | 0.3432 0.9775 | 0.2272 0.9732 | Time: 3.4277 | TEST: 0.5896 0.8496 | 0.4504 0.9590 | 0.2957 0.9667 | Time: 4.0723
Epoch: 0040 | TRAIN: 0.0027 1.0000 | 0.0015 1.0000 | 0.0017 1.0000 | Time: 135.6662 | VAL: 0.5819 0.8587 | 0.3330 0.9663 | 0.2312 0.9732 | Time: 3.4108 | TEST: 0.5931 0.8496 | 0.4379 0.9590 | 0.2896 0.9667 | Time: 4.0450
Epoch: 0041 | TRAIN: 0.0025 1.0000 | 0.0015 1.0000 | 0.0018 1.0000 | Time: 136.2973 | VAL: 0.5746 0.8641 | 0.3359 0.9663 | 0.2247 0.9732 | Time: 3.4190 | TEST: 0.5863 0.8530 | 0.4419 0.9590 | 0.2882 0.9667 | Time: 4.1013
Epoch: 0042 | TRAIN: 0.0023 1.0000 | 0.0014 1.0000 | 0.0016 1.0000 | Time: 136.2375 | VAL: 0.5824 0.8551 | 0.3226 0.9663 | 0.2236 0.9732 | Time: 3.4945 | TEST: 0.5901 0.8479 | 0.4263 0.9672 | 0.2883 0.9722 | Time: 4.1790
Epoch: 0043 | TRAIN: 0.0023 1.0000 | 0.0014 1.0000 | 0.0015 1.0000 | Time: 135.4725 | VAL: 0.5841 0.8569 | 0.3315 0.9663 | 0.2200 0.9732 | Time: 3.4113 | TEST: 0.5861 0.8513 | 0.4473 0.9508 | 0.2848 0.9722 | Time: 4.0646
