========================================
General Configuration:
	Wighting: MoCo
	Architecture: HPS
	Rep_Grad: False
	Multi_Input: True
	Seed: 0
	Device: cuda:1
MoCo Configuration:
	beta_moco: 0.1
	gamma_moco: 0.1
	rho_moco: 0.1
	moco_gn: none
Optimizer Configuration:
	optim: adam
	lr: 0.0001
	weight_decay: 1e-05
========================================
Total Params: 11487901
Trainable Params: 11487901
Non-trainable Params: 0
========================================
LOG FORMAT | amazon_LOSS Acc | dslr_LOSS Acc | webcam_LOSS Acc | TIME
Epoch: 0000 | TRAIN: 2.5688 0.3846 | 1.8305 0.7260 | 1.9782 0.6382 | Time: 767.4124 | VAL: 1.7389 0.6920 | 1.1473 0.9438 | 1.2185 0.8725 | Time: 99.8574 | TEST: 1.7243 0.6957 | 1.1652 0.9180 | 1.3053 0.8500 | Time: 147.4470
Epoch: 0001 | TRAIN: 1.4254 0.7560 | 0.5049 0.9964 | 0.6474 0.9850 | Time: 770.6208 | VAL: 1.5103 0.7554 | 0.6701 1.0000 | 0.7854 0.9664 | Time: 87.9725 | TEST: 1.5108 0.7487 | 0.8107 0.9590 | 0.8787 0.9611 | Time: 105.6811
Epoch: 0002 | TRAIN: 1.0436 0.8474 | 0.2101 1.0000 | 0.3027 0.9988 | Time: 728.7268 | VAL: 1.4346 0.8062 | 0.4202 0.9888 | 0.5796 0.9597 | Time: 79.5347 | TEST: 1.4515 0.7880 | 0.4499 0.9836 | 0.6238 0.9500 | Time: 100.5827
Epoch: 0003 | TRAIN: 0.8542 0.8888 | 0.1174 1.0000 | 0.1759 1.0000 | Time: 754.1017 | VAL: 1.4994 0.8043 | 0.3620 1.0000 | 0.4292 0.9664 | Time: 107.5922 | TEST: 1.4912 0.8188 | 0.4790 0.9590 | 0.5203 0.9333 | Time: 115.2671
Epoch: 0004 | TRAIN: 0.7120 0.9093 | 0.0786 1.0000 | 0.1095 1.0000 | Time: 746.4666 | VAL: 1.3557 0.8080 | 0.3355 1.0000 | 0.3969 0.9866 | Time: 103.6740 | TEST: 1.3621 0.8051 | 0.3676 0.9918 | 0.4287 0.9833 | Time: 103.3290
Epoch: 0005 | TRAIN: 0.5690 0.9375 | 0.0570 1.0000 | 0.0744 1.0000 | Time: 755.7053 | VAL: 1.2321 0.8333 | 0.3029 1.0000 | 0.2623 0.9799 | Time: 105.9976 | TEST: 1.2704 0.8120 | 0.3690 0.9836 | 0.3305 0.9778 | Time: 93.4602
Epoch: 0006 | TRAIN: 0.4519 0.9525 | 0.0402 1.0000 | 0.0488 1.0000 | Time: 721.0711 | VAL: 1.1269 0.8333 | 0.2882 1.0000 | 0.2883 0.9866 | Time: 98.0749 | TEST: 1.1398 0.8256 | 0.3126 0.9836 | 0.3299 0.9722 | Time: 110.5667
Epoch: 0007 | TRAIN: 0.3373 0.9730 | 0.0312 1.0000 | 0.0380 1.0000 | Time: 724.6290 | VAL: 1.0519 0.8533 | 0.2783 1.0000 | 0.2331 0.9866 | Time: 81.9324 | TEST: 1.0680 0.8256 | 0.3410 0.9754 | 0.2836 0.9778 | Time: 125.0668
Epoch: 0008 | TRAIN: 0.2323 0.9898 | 0.0258 1.0000 | 0.0303 1.0000 | Time: 722.3179 | VAL: 0.9909 0.8460 | 0.2854 1.0000 | 0.2271 0.9866 | Time: 113.2412 | TEST: 1.0137 0.8222 | 0.3387 0.9836 | 0.3046 0.9722 | Time: 111.4727
Epoch: 0009 | TRAIN: 0.1654 0.9940 | 0.0227 1.0000 | 0.0260 1.0000 | Time: 732.4418 | VAL: 0.9432 0.8460 | 0.3038 1.0000 | 0.2294 0.9866 | Time: 86.2416 | TEST: 0.9693 0.8256 | 0.3583 0.9672 | 0.2907 0.9778 | Time: 112.1993
Epoch: 0010 | TRAIN: 0.1122 0.9988 | 0.0204 1.0000 | 0.0246 1.0000 | Time: 710.0565 | VAL: 0.8843 0.8460 | 0.3035 1.0000 | 0.2314 0.9866 | Time: 102.6922 | TEST: 0.9127 0.8137 | 0.3640 0.9754 | 0.2974 0.9722 | Time: 105.2118
