Namespace(batch_size=64, beta_moco=0.1, gamma_moco=0.1, gamma_modo=1.0, lr=1.0, moo_method='MoDo', num_epochs=1000, rho_moco=0.0, rho_modo=0.0, seed=1)

==================================================
Model parameter count per layer
==================================================
fc1.weight 	: 401408
fc1.bias 	: 512
fc2.weight 	: 5120
fc2.bias 	: 10
Total number of parametrs : 407050
--------------------------------------------------

==================================================
LOG FORMAT: Epoch: EPOCH | Descent Error: DESC ERROR
==================================================
Epoch:      0 | Descent Error: 0.01367
Epoch:     50 | Descent Error: 0.01506
Epoch:    100 | Descent Error: 0.01012
Epoch:    150 | Descent Error: 0.01173
Epoch:    200 | Descent Error: 0.0112
Epoch:    250 | Descent Error: 0.00705
Epoch:    300 | Descent Error: 0.00447
Epoch:    350 | Descent Error: 0.00538
Epoch:    400 | Descent Error: 0.00825
Epoch:    450 | Descent Error: 0.00538
Epoch:    500 | Descent Error: 0.00334
Epoch:    550 | Descent Error: 0.00606
Epoch:    600 | Descent Error: 0.00573
Epoch:    650 | Descent Error: 0.00781
Epoch:    700 | Descent Error: 0.00803
Epoch:    750 | Descent Error: 0.0078
Epoch:    800 | Descent Error: 0.00327
Epoch:    850 | Descent Error: 0.02407
Epoch:    900 | Descent Error: 0.00644
Epoch:    950 | Descent Error: 0.00901
