Namespace(batch_size=64, beta_moco=0.1, gamma_moco=0.1, gamma_modo=0.01, lr=0.1, moo_method='MoDo', num_epochs=100000, rho_moco=0.0, rho_modo=0.0, seed=1)

==================================================
Model parameter count per layer
==================================================
fc1.weight 	: 401408
fc1.bias 	: 512
fc2.weight 	: 5120
fc2.bias 	: 10
Total number of parametrs : 407050
--------------------------------------------------

====================================================================================================
LOG FORMAT: Epoch: EPOCH | Train: LOSS1 LOSS2 LOSS3 | Test: LOSS1 LOSS2 LOSS3 | Error: POP OPT GEN
====================================================================================================
Epoch:        0
Epoch:       10 | Train: 1.7607 0.0753 0.0116 | Test: 1.7488 0.075 0.0116 | Error: 0.00516 0.00504 0.00011
Epoch:       25 | Train: 1.2612 0.0557 0.0095 | Test: 1.2389 0.0548 0.0094 | Error: 0.00613 0.00602 0.00011
Epoch:       50 | Train: 0.902 0.0398 0.0074 | Test: 0.8796 0.0388 0.0073 | Error: 0.00558 0.00553 5e-05
Epoch:       75 | Train: 0.7462 0.0327 0.0063 | Test: 0.7237 0.0317 0.0061 | Error: 0.00508 0.00495 0.00013
Epoch:      100 | Train: 0.6604 0.0289 0.0055 | Test: 0.6365 0.0278 0.0054 | Error: 0.00381 0.00374 7e-05
Epoch:      250 | Train: 0.4739 0.0206 0.0039 | Test: 0.4534 0.0197 0.0038 | Error: 0.00386 0.00346 0.0004
Epoch:      500 | Train: 0.392 0.017 0.0031 | Test: 0.3736 0.0161 0.0029 | Error: 0.0023 0.00183 0.00047
Epoch:      750 | Train: 0.3615 0.0156 0.0027 | Test: 0.3454 0.0148 0.0026 | Error: 0.0017 0.00153 0.00017
Epoch:    1,000 | Train: 0.3458 0.015 0.0026 | Test: 0.3301 0.0142 0.0025 | Error: 0.002 0.00189 0.00011
Epoch:    2,000
Epoch:    2,500 | Train: 0.3096 0.0132 0.0022 | Test: 0.3023 0.0128 0.0021 | Error: 0.00172 0.00139 0.00033
Epoch:    3,000
Epoch:    4,000
Epoch:    5,000 | Train: 0.2954 0.0123 0.002 | Test: 0.29 0.0121 0.002 | Error: 0.00119 0.00112 6e-05
Epoch:    6,000
Epoch:    7,000
Epoch:    7,500 | Train: 0.2893 0.0119 0.002 | Test: 0.2871 0.0118 0.0019 | Error: 0.00119 0.00087 0.00032
Epoch:    8,000
Epoch:    9,000
Epoch:   10,000 | Train: 0.2845 0.0117 0.0019 | Test: 0.2864 0.0118 0.0019 | Error: 0.00155 0.00107 0.00047
Epoch:   11,000
Epoch:   12,000
Epoch:   13,000
Epoch:   14,000
Epoch:   15,000
Epoch:   16,000
Epoch:   17,000
Epoch:   18,000
Epoch:   19,000
Epoch:   20,000
Epoch:   21,000
Epoch:   22,000
Epoch:   23,000
Epoch:   24,000
Epoch:   25,000 | Train: 0.2775 0.0107 0.0017 | Test: 0.2857 0.0112 0.0017 | Error: 0.00128 0.00078 0.0005
Epoch:   26,000
Epoch:   27,000
Epoch:   28,000
Epoch:   29,000
Epoch:   30,000
Epoch:   31,000
Epoch:   32,000
Epoch:   33,000
Epoch:   34,000
Epoch:   35,000
Epoch:   36,000
Epoch:   37,000
Epoch:   38,000
Epoch:   39,000
Epoch:   40,000
Epoch:   41,000
Epoch:   42,000
Epoch:   43,000
Epoch:   44,000
Epoch:   45,000
Epoch:   46,000
Epoch:   47,000
Epoch:   48,000
Epoch:   49,000
Epoch:   50,000 | Train: 0.2759 0.01 0.0016 | Test: 0.2909 0.011 0.0016 | Error: 0.00135 0.00096 0.00039
Epoch:   51,000
Epoch:   52,000
Epoch:   53,000
Epoch:   54,000
Epoch:   55,000
Epoch:   56,000
Epoch:   57,000
Epoch:   58,000
Epoch:   59,000
Epoch:   60,000
Epoch:   61,000
Epoch:   62,000
Epoch:   63,000
Epoch:   64,000
Epoch:   65,000
Epoch:   66,000
Epoch:   67,000
Epoch:   68,000
Epoch:   69,000
Epoch:   70,000
Epoch:   71,000
Epoch:   72,000
Epoch:   73,000
Epoch:   74,000
Epoch:   75,000 | Train: 0.2702 0.0097 0.0015 | Test: 0.2915 0.011 0.0016 | Error: 0.00126 0.00087 0.00038
Epoch:   76,000
Epoch:   77,000
Epoch:   78,000
Epoch:   79,000
Epoch:   80,000
Epoch:   81,000
Epoch:   82,000
Epoch:   83,000
Epoch:   84,000
Epoch:   85,000
Epoch:   86,000
Epoch:   87,000
Epoch:   88,000
Epoch:   89,000
Epoch:   90,000
Epoch:   91,000
Epoch:   92,000
Epoch:   93,000
Epoch:   94,000
Epoch:   95,000
Epoch:   96,000
Epoch:   97,000
Epoch:   98,000
Epoch:   99,000
Epoch:  100,000 | Train: 0.2756 0.0093 0.0014 | Test: 0.3034 0.011 0.0016 | Error: 0.00115 0.00076 0.0004

====================================================================================================
PERF FORMAT: DATASET | Acuracy: ACC | Loss: LOSS1 LOSS2 LOSS3 | PS: PS
====================================================================================================
Train | Acuracy:  94.28% | Loss: 0.27563 0.00931 0.00142 | PS: 0.00076 
Val   | Acuracy:  92.81% | Loss: 0.30965 0.01131 0.00163 | PS: 0.00101 
Test  | Acuracy:  92.90% | Loss: 0.30345 0.01096 0.00156 | PS: 0.00115 
----------------------------------------------------------------------------------------------------
Optimization error  : 0.00076
Population error    : 0.00115
Generalization error: 0.0004
Script time: 15461.498151779175
