Namespace(batch_size=64, beta_moco=0.1, gamma_moco=0.1, gamma_modo=0.01, lr=0.1, moo_method='MoDo', num_epochs=100000, rho_moco=0.0, rho_modo=0.0, seed=9)

==================================================
Model parameter count per layer
==================================================
fc1.weight 	: 401408
fc1.bias 	: 512
fc2.weight 	: 5120
fc2.bias 	: 10
Total number of parametrs : 407050
--------------------------------------------------

==================================================
LOG FORMAT: Epoch: EPOCH | Descent Error: DESC ERROR
==================================================
Epoch:        0
Epoch:       10 | Descent Error: 0.3799550533
Epoch:       25 | Descent Error: 0.3266022652
Epoch:       50 | Descent Error: 0.2765419881
Epoch:       75 | Descent Error: 0.2348959409
Epoch:      100 | Descent Error: 0.2042340234
Epoch:      250 | Descent Error: 0.1786496242
Epoch:      500 | Descent Error: 0.1589234519
Epoch:      750 | Descent Error: 0.143238001
Epoch:    1,000 | Descent Error: 0.1295945367
Epoch:    2,000
Epoch:    2,500 | Descent Error: 0.1184973979
Epoch:    3,000
Epoch:    4,000
Epoch:    5,000 | Descent Error: 0.1088432356
Epoch:    6,000
Epoch:    7,000
Epoch:    7,500 | Descent Error: 0.1003028305
Epoch:    8,000
Epoch:    9,000
Epoch:   10,000 | Descent Error: 0.0933533042
Epoch:   11,000
Epoch:   12,000
Epoch:   13,000
Epoch:   14,000
Epoch:   15,000
Epoch:   16,000
Epoch:   17,000
Epoch:   18,000
Epoch:   19,000
Epoch:   20,000
Epoch:   21,000
Epoch:   22,000
Epoch:   23,000
Epoch:   24,000
Epoch:   25,000 | Descent Error: 0.0868527134
Epoch:   26,000
Epoch:   27,000
Epoch:   28,000
Epoch:   29,000
Epoch:   30,000
Epoch:   31,000
Epoch:   32,000
Epoch:   33,000
Epoch:   34,000
Epoch:   35,000
Epoch:   36,000
Epoch:   37,000
Epoch:   38,000
Epoch:   39,000
Epoch:   40,000
Epoch:   41,000
Epoch:   42,000
Epoch:   43,000
Epoch:   44,000
Epoch:   45,000
Epoch:   46,000
Epoch:   47,000
Epoch:   48,000
Epoch:   49,000
Epoch:   50,000 | Descent Error: 0.0811837045
Epoch:   51,000
Epoch:   52,000
Epoch:   53,000
Epoch:   54,000
Epoch:   55,000
Epoch:   56,000
Epoch:   57,000
Epoch:   58,000
Epoch:   59,000
Epoch:   60,000
Epoch:   61,000
Epoch:   62,000
Epoch:   63,000
Epoch:   64,000
Epoch:   65,000
Epoch:   66,000
Epoch:   67,000
Epoch:   68,000
Epoch:   69,000
Epoch:   70,000
Epoch:   71,000
Epoch:   72,000
Epoch:   73,000
Epoch:   74,000
Epoch:   75,000 | Descent Error: 0.0763719015
Epoch:   76,000
Epoch:   77,000
Epoch:   78,000
Epoch:   79,000
Epoch:   80,000
Epoch:   81,000
Epoch:   82,000
Epoch:   83,000
Epoch:   84,000
Epoch:   85,000
Epoch:   86,000
Epoch:   87,000
Epoch:   88,000
Epoch:   89,000
Epoch:   90,000
Epoch:   91,000
Epoch:   92,000
Epoch:   93,000
Epoch:   94,000
Epoch:   95,000
Epoch:   96,000
Epoch:   97,000
Epoch:   98,000
Epoch:   99,000
Epoch:  100,000 | Descent Error: 0.0720400931

====================================================================================================
PERF FORMAT: DATASET | Acuracy: ACC | Loss: LOSS1 LOSS2 LOSS3 | PS: PS
====================================================================================================
Train | Acuracy:  94.32% | Loss: 0.26639 0.00924 0.00141 | PS: 0.00089 
Val   | Acuracy:  92.56% | Loss: 0.31521 0.01149 0.00165 | PS: 0.00106 
Test  | Acuracy:  93.03% | Loss: 0.2959 0.01092 0.00156 | PS: 0.0014 
----------------------------------------------------------------------------------------------------
Optimization error  : 0.00089
Population error    : 0.0014
Generalization error: 0.00051
