Namespace(batch_size=64, beta_moco=0.1, gamma_moco=0.1, gamma_modo=0.01, lr=0.25, moo_method='MoDo', num_epochs=1000, rho_moco=0.0, rho_modo=0.0, seed=3)

==================================================
Model parameter count per layer
==================================================
fc1.weight 	: 401408
fc1.bias 	: 512
fc2.weight 	: 5120
fc2.bias 	: 10
Total number of parametrs : 407050
--------------------------------------------------

==================================================
LOG FORMAT: Epoch: EPOCH | Descent Error: DESC ERROR
==================================================
Epoch:      0 | Descent Error: 0.5322921276
Epoch:     50 | Descent Error: 0.3434095234
Epoch:    100 | Descent Error: 0.2589743882
Epoch:    150 | Descent Error: 0.2182224244
Epoch:    200 | Descent Error: 0.1925312579
Epoch:    250 | Descent Error: 0.1713706243
Epoch:    300 | Descent Error: 0.1554765755
Epoch:    350 | Descent Error: 0.1417058469
Epoch:    400 | Descent Error: 0.1307093091
Epoch:    450 | Descent Error: 0.1241762597
Epoch:    500 | Descent Error: 0.1159315289
Epoch:    550 | Descent Error: 0.1098108556
Epoch:    600 | Descent Error: 0.1037526136
Epoch:    650 | Descent Error: 0.0995215084
Epoch:    700 | Descent Error: 0.0963511974
Epoch:    750 | Descent Error: 0.0920414818
Epoch:    800 | Descent Error: 0.0888134563
Epoch:    850 | Descent Error: 0.0860300457
Epoch:    900 | Descent Error: 0.0847918411
